1007299507-f075 | http://is2.auto.ru/all/images/a8/cc/60x45/a8cc491d.jpg |  ВАЗ 2109 210931.5 MT (72 л.с.)  | #9c9999 | 65 000 |  2000  |  152 000 км  |  1.5 MT (72 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1007235469-7c657c | http://is3.auto.ru/all/images/11/44/60x45/1144ea5d.jpg |  ВАЗ 2109 21093-201.5 MT (78 л.с.)  | #9c9999 | 64 888 |  2005  |  164 000 км  |  1.5 MT (78 л.с.)хэтчбек, бензин, передний  | Санкт-Петербург | 22.01.15
1002207689-704e07 | http://is14.auto.ru/all/images/16/3c/60x45/163c5a3a.jpg |  ВАЗ 2109 210931.5 MT (72 л.с.)  | #FFFFFF | 39 000 |  1999  |  10 000 км  |  1.5 MT (72 л.с.)хэтчбек, бензин, передний  | Иваново | 22.01.15
1007182761-55516 | http://is6.auto.ru/all/images/59/b2/60x45/59b25ff6.jpg |  ВАЗ 2109 21093-201.5 MT (78 л.с.)  | #34ba2b | 95 000 |  2004  |  130 000 км  |  1.5 MT (78 л.с.)хэтчбек, бензин, передний  | Жуковский | 22.01.15
1007234119-17304e | http://is11.auto.ru/all/images/89/59/60x45/89594763.jpg |  ВАЗ 2109 210931.5 MT (72 л.с.)  | #0000FF | 70 000 |  2003  |  95 000 км  |  1.5 MT (72 л.с.)хэтчбек, бензин, передний  | Самара | 22.01.15
1007119397-d2c2fe | http://is4.auto.ru/all/images/9f/1a/60x45/9f1a64ec.jpg |  ВАЗ 2109 210931.5 MT (72 л.с.)  | #34ba2b | 55 000 |  2001  |  267 000 км  |  1.5 MT (72 л.с.)хэтчбек, бензин, передний  | Москва | 22.01.15
1007233725-a3513 | http://is12.auto.ru/all/images/26/e0/60x45/26e0216b.jpg |  ВАЗ 2109 210931.5 MT (72 л.с.)  | #34ba2b | 75 000 |  2004  |  146 000 км  |  1.5 MT (72 л.с.)хэтчбек, бензин, передний  | Владимир | 22.01.15
1005444359-8cfb | http://is12.auto.ru/all/images/5d/d7/60x45/5dd74056.jpg |  ВАЗ 2109 210931.5 MT (72 л.с.)  | #34ba2b | 40 000 |  2000  |  75 000 км  |  1.5 MT (72 л.с.)хэтчбек, бензин, передний  | Москва | 22.01.15
1006309301-d93c | http://is6.auto.ru/all/images/ad/0b/60x45/ad0b8d3f.jpg |  ВАЗ 2109 21093-201.5 MT (78 л.с.)  | #CACECB | 65 000 |  2002  |  150 000 км  |  1.5 MT (78 л.с.)хэтчбек, бензин, передний  | Подольск | 22.01.15
1007233121-8168a | http://is15.auto.ru/all/images/81/77/60x45/8177d647.jpg |  ВАЗ 2109 21093-201.5 MT (78 л.с.)  | #0000FF | 150 000 |  2000  |  78 000 км  |  1.5 MT (78 л.с.)хэтчбек, бензин, передний  | Сочи | 22.01.15
1007232965-720372 | http://is2.auto.ru/all/images/e9/11/60x45/e911bd8d.jpg |  ВАЗ 2109 210931.5 MT (72 л.с.)  | #0000FF | 110 000 |  1995  |  60 000 км  |  1.5 MT (72 л.с.)хэтчбек, бензин, передний  | Выкса | 22.01.15
1007221235-c1a0e | http://is18.auto.ru/all/images/3e/f2/60x45/3ef21482.jpg |  ВАЗ 2109 210931.5 MT (72 л.с.)  | #9c9999 | 60 000 |  2003  |  123 000 км  |  1.5 MT (72 л.с.)хэтчбек, бензин, передний  | Москва | 22.01.15
1007220455-cd1e2 | http://is16.auto.ru/all/images/4b/19/60x45/4b19fc5e.jpg |  ВАЗ 2109 210931.5 MT (72 л.с.)  | #FFFFFF | 55 000 |  1997  |  58 000 км  |  1.5 MT (72 л.с.)хэтчбек, бензин, передний  | Москва | 22.01.15
1007220093-4d45 | http://is9.auto.ru/all/images/46/ef/60x45/46efeb5b.jpg |  ВАЗ 2109 210931.5 MT (72 л.с.)  | #ffefd5 | 84 888 |  2003  |  92 000 км  |  1.5 MT (72 л.с.)хэтчбек, бензин, передний  | Санкт-Петербург | 22.01.15
1007217075-f4f39 | http://is6.auto.ru/all/images/67/15/60x45/67159b03.jpg |  ВАЗ 2109 21093-201.5 MT (78 л.с.)  | #34ba2b | 79 900 |  2002  |  105 000 км  |  1.5 MT (78 л.с.)хэтчбек, бензин, передний  | Санкт-Петербург | 22.01.15
1007215459-bacb | http://is17.auto.ru/all/images/3e/4f/60x45/3e4f542a.jpg |  ВАЗ 2109 210931.5 MT (72 л.с.)  | #34ba2b | 69 000 |  2004  |  200 000 км  |  1.5 MT (72 л.с.)хэтчбек, бензин, передний  | Москва | 22.01.15
1007215209-0e7d56 | http://is2.auto.ru/all/images/41/2b/60x45/412b95c1.jpg |  ВАЗ 2109 210931.5 MT (72 л.с.)  | #34ba2b | 70 000 |  1999  |  61 582 км  |  1.5 MT (72 л.с.)хэтчбек, бензин, передний  | Москва | 22.01.15
1007214979-278c | http://is7.auto.ru/all/images/14/42/60x45/1442a2dc.jpg |  ВАЗ 2109 21093-201.5 MT (78 л.с.)  | #0000FF | 129 888 |  2002  |  110 000 км  |  1.5 MT (78 л.с.)хэтчбек, бензин, передний  | Санкт-Петербург | 22.01.15
1007193645-15c55 | http://is15.auto.ru/all/images/bc/d2/60x45/bcd2903a.jpg |  ВАЗ 2109 210931.5 MT (72 л.с.)  | #34ba2b | 50 000 |  2003  |  130 000 км  |  1.5 MT (72 л.с.)хэтчбек, бензин, передний  | Балашиха | 22.01.15
1004956781-d3ce | http://is16.auto.ru/all/images/24/01/60x45/24018d5a.jpg |  ВАЗ 2109 210931.5 MT (72 л.с.)  | #0088ff | 85 000 |  2001  |  90 000 км  |  1.5 MT (72 л.с.)хэтчбек, бензин, передний  | Елец | 22.01.15
1005803833-b582 | http://is17.auto.ru/all/images/0e/87/60x45/0e876055.jpg |  ВАЗ 2109 210931.5 MT (72 л.с.)  | #34ba2b | 53 000 |  1999  |  138 000 км  |  1.5 MT (72 л.с.)хэтчбек, бензин, передний  | Иваново | 22.01.15
1007190577-627bd | http://is14.auto.ru/all/images/d7/21/60x45/d721c8b0.jpg |  ВАЗ 2109 21091.3 MT (64 л.с.)  | #FF0000 | 55 000 |  1989  |  145 000 км  |  1.3 MT (64 л.с.)хэтчбек, бензин, передний  | Ярославль | 22.01.15
1007174731-f0243 | http://is13.auto.ru/all/images/e9/04/60x45/e904163f.jpg |  ВАЗ 2109 210931.5 MT (72 л.с.)  | #CACECB | 96 000 |  2001  |  223 000 км  |  1.5 MT (72 л.с.)хэтчбек, бензин, передний  | Воскресенск | 22.01.15
1007190107-b6596 | http://is6.auto.ru/all/images/c5/b9/60x45/c5b9ca05.jpg |  ВАЗ 2109 21093-201.5 MT (78 л.с.)  | #CACECB | 75 000 |  2004  |  150 000 км  |  1.5 MT (78 л.с.)хэтчбек, бензин, передний  | Санкт-Петербург | 22.01.15
1006798883-30fa | http://is5.auto.ru/all/images/b3/f9/60x45/b3f9082a.jpg |  ВАЗ 2109 210931.5 MT (72 л.с.)  | #FFFFFF | 27 000 |  1999  |  170 000 км  |  1.5 MT (72 л.с.)хэтчбек, бензин, передний  | Москва | 21.01.15
1006933431-808f | http://is15.auto.ru/all/images/9a/e1/60x45/9ae18983.jpg |  ВАЗ 2109 21093-201.5 MT (78 л.с.)  | #9c9999 | 65 000 |  2002  |  100 000 км  |  1.5 MT (78 л.с.)хэтчбек, бензин, передний  | Нижний Ломов | 21.01.15
1007189167-ec42 | http://is2.auto.ru/all/images/87/3a/60x45/873a2c89.jpg |  ВАЗ 2109 21093-201.5 MT (78 л.с.)  | #34ba2b | 80 000 |  2002  |  160 000 км  |  1.5 MT (78 л.с.)хэтчбек, бензин, передний  | Мытищи | 21.01.15
1007176607-a859 | http://is17.auto.ru/all/images/ae/d5/60x45/aed55007.jpg |  ВАЗ 2109 210961.3 MT (64 л.с.)  | #0000FF | 110 000 |  1996  |  2 000 км  |  1.3 MT (64 л.с.)хэтчбек, бензин, передний  | Чехов | 21.01.15
1006748071-d5ad | http://is15.auto.ru/all/images/e3/b1/60x45/e3b11305.jpg |  ВАЗ 2109 21093-201.5 MT (78 л.с.)  | #0000FF | 39 000 |  2000  |  170 000 км  |  1.5 MT (78 л.с.)хэтчбек, бензин, передний  | Санкт-Петербург | 21.01.15
1007186905-c92860 | http://is17.auto.ru/all/images/ac/54/60x45/ac54c242.jpg |  ВАЗ 2109 21093-201.5 MT (78 л.с.)  | #FFCC00 | 105 000 |  2002  |  70 763 км  |  1.5 MT (78 л.с.)хэтчбек, бензин, передний  | Москва | 21.01.15
1007186697-166a | http://is17.auto.ru/all/images/5e/89/60x45/5e89e30d.jpg |  ВАЗ 2109 21093-201.5 MT (78 л.с.)  | #CACECB | 54 000 |  2001  |  135 000 км  |  1.5 MT (78 л.с.)хэтчбек, бензин, передний  | Красноармейск | 21.01.15
1007187317-2bdf7e | http://is17.auto.ru/all/images/a5/ee/60x45/a5eee508.jpg |  ВАЗ 2109 21093-201.5 MT (78 л.с.)  | #0000FF | 110 000 |  2001  |  230 000 км  |  1.5 MT (78 л.с.)хэтчбек, бензин, передний  | Саранск | 21.01.15
1007185993-53e2 | http://is8.auto.ru/all/images/68/56/60x45/6856f62a.jpg |  ВАЗ 2109 210931.5 MT (72 л.с.)  | #CACECB | 110 000 |  2003  |  130 000 км  |  1.5 MT (72 л.с.)хэтчбек, бензин, передний  | Железногорск | 21.01.15
1007047305-6f6e6e | http://is15.auto.ru/all/images/e0/57/60x45/e0573f32.jpg |  ВАЗ 2109 21093-201.5 MT (78 л.с.)  | #34ba2b | 65 000 |  2004  |  80 000 км  |  1.5 MT (78 л.с.)хэтчбек, бензин, передний  | Москва | 21.01.15
1007186221-18fe | http://is13.auto.ru/all/images/0c/35/60x45/0c359946.jpg |  ВАЗ 21091.5 MT (77 л.с.)  | #FF0000 | 85 000 |  2002  |  177 000 км  |  1.5 MT (77 л.с.)хэтчбек, бензин, передний  | Санкт-Петербург | 21.01.15
1006413969-d93a | http://is16.auto.ru/all/images/20/88/60x45/20880e8c.jpg |  ВАЗ 2109 210931.5 MT (72 л.с.)  | #926547 | 68 000 |  2001  |  106 000 км  |  1.5 MT (72 л.с.)хэтчбек, бензин, передний  | Москва | 21.01.15
1007186377-1a0acf | http://is10.auto.ru/all/images/39/49/60x45/3949a851.jpg |  ВАЗ 2109 21093-201.5 MT (78 л.с.)  | #34ba2b | 103 000 |  2003  |  130 км  |  1.5 MT (78 л.с.)хэтчбек, бензин, передний  | Рассказово | 21.01.15
1007185955-049e0 | http://is11.auto.ru/all/images/32/4f/60x45/324f2185.jpg |  ВАЗ 2109 210931.5 MT (72 л.с.)  | #FF0000 | 85 000 |  1993  |  70 000 км  |  1.5 MT (72 л.с.)хэтчбек, бензин, передний  | Армавир | 21.01.15
1007185601-bd44 | /i/all7/img/no-photo-thumb.gif |  ВАЗ 2109 210931.5 MT (72 л.с.)  | #34ba2b | 40 000 |  2001  |  200 000 км  |  1.5 MT (72 л.с.)хэтчбек, бензин, передний  | Касимов | 21.01.15
48610236-0eb472 | http://is14.auto.ru/all/images/f1/c7/60x45/f1c78e3b.jpg |  ВАЗ 2109 21093-201.5 MT (78 л.с.)  | #9966CC | 66 666 |  1999  |  160 000 км  |  1.5 MT (78 л.с.)хэтчбек, бензин, передний  | Рязань | 21.01.15
1007184541-e3792 | http://is11.auto.ru/all/images/24/6b/60x45/246bcb19.jpg |  ВАЗ 2109 210931.5 MT (72 л.с.)  | #0000FF | 110 000 |  1989  |  11 000 км  |  1.5 MT (72 л.с.)хэтчбек, бензин, передний  | Липецк | 21.01.15
1007183637-2b6ab | http://is17.auto.ru/all/images/2f/41/60x45/2f411f6d.jpg |  ВАЗ 2109 210931.5 MT (72 л.с.)  | #9966CC | 40 000 |  1997  |  15 865 км  |  1.5 MT (72 л.с.)хэтчбек, бензин, передний  | Санкт-Петербург | 21.01.15
1006690293-14cd91 | http://is16.auto.ru/all/images/36/35/60x45/363541b3.jpg |  ВАЗ 2109 21093-201.5 MT (78 л.с.)  | #FF0000 | 85 000 |  2004  |  100 000 км  |  1.5 MT (78 л.с.)хэтчбек, бензин, передний  | Сергиев Посад | 21.01.15
1007181315-4a7f84 | http://is9.auto.ru/all/images/fb/93/60x45/fb93c5f3.jpg |  ВАЗ 2109 210931.5 MT (72 л.с.)  | #FF0000 | 36 000 |  1989  |  200 000 км  |  1.5 MT (72 л.с.)хэтчбек, бензин, передний  | Тейково | 21.01.15
1007182375-432ae | http://is9.auto.ru/all/images/64/78/60x45/647807fc.jpg |  ВАЗ 2109 21093-201.5 MT (78 л.с.)  | #34ba2b | 70 000 |  2001  |  129 000 км  |  1.5 MT (78 л.с.)хэтчбек, бензин, передний  | Можайск | 21.01.15
1004905989-ba701 | http://is9.auto.ru/all/images/2d/53/60x45/2d531d25.jpg |  ВАЗ 2109 210931.5 MT (72 л.с.)  | #34ba2b | 75 000 |  2001  |  170 000 км  |  1.5 MT (72 л.с.)хэтчбек, бензин, передний  | Тверь | 21.01.15
1007180425-cfb225 | /i/all7/img/no-photo-thumb.gif |  ВАЗ 2109 210911.1 MT (54 л.с.)  | #FF0000 | 50 000 |  1989  |  220 000 км  |  1.1 MT (54 л.с.)хэтчбек, бензин, передний  | Москва | 21.01.15
1007180717-89ba | http://is4.auto.ru/all/images/09/b9/60x45/09b9cabf.jpg |  ВАЗ 2109 210931.5 MT (72 л.с.)  | #926547 | 25 000 |  1994  |  300 000 км  |  1.5 MT (72 л.с.)хэтчбек, бензин, передний  | Тобольск | 21.01.15
1005920167-11c3 | http://is8.auto.ru/all/images/a9/bf/60x45/a9bf6567.jpg |  ВАЗ 2109 210931.5 MT (72 л.с.)  | #9966CC | 50 000 |  1996  |  150 000 км  |  1.5 MT (72 л.с.)хэтчбек, бензин, передний  | Суровикино | 21.01.15
1007179199-9b20be | http://is15.auto.ru/all/images/06/e5/60x45/06e579e5.jpg |  ВАЗ 2109 210931.5 MT (72 л.с.)  | #34ba2b | 55 000 |  1999  |  141 000 км  |  1.5 MT (72 л.с.)хэтчбек, бензин, передний  | Заволжье | 21.01.15
1007177137-3fdc0a | http://is5.auto.ru/all/images/9d/c7/60x45/9dc76b01.jpg |  ВАЗ 2109 210931.5 MT (72 л.с.)  | #9c9999 | 135 000 |  2003  |  28 000 км  |  1.5 MT (72 л.с.)хэтчбек, бензин, передний  | Набережные Челны | 21.01.15
1001877901-c5606 | http://is3.auto.ru/all/images/ec/ca/60x45/eccabfe9.jpg |  ВАЗ 2109 210961.3 MT (64 л.с.)  | #FF0000 | 30 000 |  1990  |  100 000 км  |  1.3 MT (64 л.с.)хэтчбек, бензин, передний  | Санкт-Петербург | 21.01.15
1007177813-97ac | http://is16.auto.ru/all/images/54/81/60x45/5481e667.jpg |  ВАЗ 2109 21093-201.5 MT (78 л.с.)  | #000000 | 115 000 |  2003  |  6 000 км  |  1.5 MT (78 л.с.)хэтчбек, бензин, передний  | Бронницы | 21.01.15
1007177307-34bb74 | http://is18.auto.ru/all/images/90/09/60x45/9009b0e8.jpg |  ВАЗ 2109 210931.5 MT (72 л.с.)  | #CACECB | 40 000 |  2001  |  170 000 км  |  1.5 MT (72 л.с.)хэтчбек, бензин, передний  | Кострома | 21.01.15
1006309891-87bb74 | http://is14.auto.ru/all/images/d6/f1/60x45/d6f1dbeb.jpg |  ВАЗ 2109 210931.5 MT (72 л.с.)  | #FFCC00 | 35 000 |  1993  |  70 000 км  |  1.5 MT (72 л.с.)хэтчбек, бензин, передний  | Москва | 21.01.15
1007176549-cf78 | http://is13.auto.ru/all/images/78/e3/60x45/78e3e132.jpg |  ВАЗ 2109 210931.5 MT (72 л.с.)  | #ffefd5 | 45 000 |  1995  |  60 000 км  |  1.5 MT (72 л.с.)хэтчбек, бензин, передний  | Рязань | 21.01.15
1007055733-0f1b03 | http://is2.auto.ru/all/images/c5/48/60x45/c548ea15.jpg |  ВАЗ 2109 210931.5 MT (72 л.с.)  | #0000FF | 45 000 |  1998  |  180 000 км  |  1.5 MT (72 л.с.)хэтчбек, бензин, передний  | Брянск | 21.01.15
1006751299-06668d | http://is5.auto.ru/all/images/8a/02/60x45/8a02c237.jpg |  ВАЗ 2109 21091.3 MT (64 л.с.)  | #FF0000 | 80 000 |  1994  |  66 000 км  |  1.3 MT (64 л.с.)хэтчбек, бензин, передний  | Кашира | 21.01.15
1007175341-e3941c | http://is13.auto.ru/all/images/78/b8/60x45/78b81fe5.jpg |  ВАЗ 2109 210931.5 MT (72 л.с.)  | #FF0000 | 75 000 |  1998  |  140 000 км  |  1.5 MT (72 л.с.)хэтчбек, бензин, передний  | Новосибирск | 21.01.15
1007174295-9219 | http://is11.auto.ru/all/images/8a/6e/60x45/8a6e7268.jpg |  ВАЗ 2109 21093-201.5 MT (78 л.с.)  | #9c9999 | 80 000 |  2002  |  50 000 км  |  1.5 MT (78 л.с.)хэтчбек, бензин, передний  | Москва | 21.01.15
1007172213-c3b65 | http://is5.auto.ru/all/images/7e/76/60x45/7e76e083.jpg |  ВАЗ 2109 21093-201.5 MT (78 л.с.)  | #34ba2b | 60 000 |  2001  |  170 000 км  |  1.5 MT (78 л.с.)хэтчбек, бензин, передний  | Пенза | 21.01.15
1007173229-707231 | http://is17.auto.ru/all/images/99/df/60x45/99dfd23f.jpg |  ВАЗ 2109 210931.5 MT (72 л.с.)  | #FFFFFF | 30 000 |  1991  |  150 000 км  |  1.5 MT (72 л.с.)хэтчбек, бензин, передний  | Краснодар | 21.01.15
1007173071-751a | http://is5.auto.ru/all/images/33/aa/60x45/33aae7c6.jpg |  ВАЗ 2109 210931.5 MT (72 л.с.)  | #FF0000 | 19 000 |  1995  |  29 000 км  |  1.5 MT (72 л.с.)хэтчбек, бензин, передний  | Москва | 21.01.15
1007172935-a63b6 | http://is12.auto.ru/all/images/a8/7b/60x45/a87bc1dd.jpg |  ВАЗ 2109 21093-201.5 MT (78 л.с.)  | #34ba2b | 135 000 |  2005  |  170 000 км  |  1.5 MT (78 л.с.)хэтчбек, бензин, передний  | Азнакаево | 21.01.15
1007101465-efce2 | http://is13.auto.ru/all/images/48/17/60x45/48175089.jpg |  ВАЗ 2109 21093-201.5 MT (78 л.с.)  | #CACECB | 87 000 |  2003  |  165 000 км  |  1.5 MT (78 л.с.)хэтчбек, бензин, передний  | Москва | 21.01.15
1005450185-cbcbe5 | http://is18.auto.ru/all/images/27/a8/60x45/27a854fa.jpg |  ВАЗ 2109 210931.5 MT (72 л.с.)  | #0000FF | 55 000 |  1999  |  92 000 км  |  1.5 MT (72 л.с.)хэтчбек, бензин, передний  | Москва | 21.01.15
1007166107-5dff | http://is4.auto.ru/all/images/be/48/60x45/be4863d5.jpg |  ВАЗ 21091.5 MT (72 л.с.)  | #0000FF | 70 000 |  2001  |  140 480 км  |  1.5 MT (72 л.с.)хэтчбек, бензин, передний  | Егорьевск | 21.01.15
1007164615-ceef7 | /i/all7/img/no-photo-thumb.gif |  ВАЗ 2109 21091.3 MT (64 л.с.)  | #FFFFFF | 30 000 |  1990  |  1 км  |  1.3 MT (64 л.с.)хэтчбек, бензин, передний  | Новотроицк | 21.01.15
1007165811-27879c | http://is2.auto.ru/all/images/4f/af/60x45/4fafd963.jpg |  ВАЗ 2109 210931.5 MT (72 л.с.)  | #000000 | 79 000 |  2001  |  190 000 км  |  1.5 MT (72 л.с.)хэтчбек, бензин, передний  | Клинцы | 21.01.15
1007164799-c5c8 | http://is7.auto.ru/all/images/7e/1f/60x45/7e1faf04.jpg |  ВАЗ 2109 210931.5 MT (72 л.с.)  | #0000FF | 70 000 |  1998  |  89 853 км  |  1.5 MT (72 л.с.)хэтчбек, бензин, передний  | Москва | 21.01.15
1001877227-e66b1 | http://is13.auto.ru/all/images/88/23/60x45/88239822.jpg |  ВАЗ 2109 210931.5 MT (72 л.с.)  | #9966CC | 65 000 |  2001  |  198 000 км  |  1.5 MT (72 л.с.)хэтчбек, бензин, передний  | Новомосковск | 21.01.15
1007163827-7c19c | http://is6.auto.ru/all/images/1d/fd/60x45/1dfd39e0.jpg |  ВАЗ 2109 210931.5 MT (72 л.с.)  | #9966CC | 55 000 |  1998  |  152 000 км  |  1.5 MT (72 л.с.)хэтчбек, бензин, передний  | Санкт-Петербург | 21.01.15
1004704651-1a0465 | http://is12.auto.ru/all/images/60/c1/60x45/60c15d5c.jpg |  ВАЗ 2109 210931.5 MT (72 л.с.)  | #9c9999 | 87 000 |  2005  |  151 270 км  |  1.5 MT (72 л.с.)хэтчбек, бензин, передний  | Рудня | 21.01.15
1007158371-2621 | /i/all7/img/no-photo-thumb.gif |  ВАЗ 2109 21093-201.5 MT (78 л.с.)  | #34ba2b | 60 000 |  2003  |  120 000 км  |  1.5 MT (78 л.с.)хэтчбек, бензин, передний  | Краснодар | 21.01.15
1006978671-fce7 | http://is4.auto.ru/all/images/57/cf/60x45/57cf729a.jpg |  ВАЗ 2109 210931.5 MT (72 л.с.)  | #0000FF | 50 000 |  1999  |  170 000 км  |  1.5 MT (72 л.с.)хэтчбек, бензин, передний  | Пенза | 21.01.15
1007158177-a73bb | /i/all7/img/no-photo-thumb.gif |  ВАЗ 2109 210931.5 MT (72 л.с.)  | #34ba2b | 49 101 |  2001  |  220 000 км  |  1.5 MT (72 л.с.)хэтчбек, бензин, передний  | Звенигород | 21.01.15
