1007247951-d1d745 | http://is13.auto.ru/all/images/20/9f/60x45/209f7e7b.jpg |  ВАЗ 21141.6 MT (81 л.с.) 21144  | #9c9999 | 235 000 |  2011  |  53 000 км  |  1.6 MT (81 л.с.) 21144хэтчбек, бензин, передний  | Хлевное | 22.01.15
1003895724-7d2e2d | http://is18.auto.ru/all/images/35/52/60x45/35525fde.jpg |  ВАЗ 21141.6 MT (81 л.с.) 21144  | #9c9999 | 229 000 |  2011  |  21 816 км  |  1.6 MT (81 л.с.) 21144хэтчбек, бензин, передний  | Санкт-Петербург | 22.01.15
1007231849-21c41 | http://is5.auto.ru/all/images/b1/04/60x45/b104d4b5.jpg |  ВАЗ 21141.6 MT (98 л.с.) 211440-26  | #34ba2b | 227 000 |  2012  |  25 789 км  |  1.6 MT (98 л.с.) 211440-26хэтчбек, бензин, передний  | Муром | 22.01.15
1007231809-a77ab | /i/all7/img/no-photo-thumb.gif |  ВАЗ 21141.5 MT (79 л.с.) 21140  | #CACECB | 100 000 |  2003  |  206 000 км  |  1.5 MT (79 л.с.) 21140хэтчбек, бензин, передний  | Воронеж | 22.01.15
1007232455-bc148 | http://is13.auto.ru/all/images/44/fd/60x45/44fd3b9a.jpg |  ВАЗ 21141.5 MT (79 л.с.) 21140  | #CACECB | 100 000 |  2005  |  85 000 км  |  1.5 MT (79 л.с.) 21140хэтчбек, бензин, передний  | Кострома | 22.01.15
1007097323-e0bf85 | http://is17.auto.ru/all/images/5e/5c/60x45/5e5c456f.jpg |  ВАЗ 21141.6 MT (81 л.с.) 21144  | #34ba2b | 175 000 |  2010  |  36 000 км  |  1.6 MT (81 л.с.) 21144хэтчбек, бензин, передний  | Юбилейный | 22.01.15
1006617179-19f1c1 | http://is15.auto.ru/all/images/f7/ee/60x45/f7ee2747.jpg |  ВАЗ 21141.5 MT (79 л.с.) 21140  | #ffefd5 | 125 000 |  2006  |  126 000 км  |  1.5 MT (79 л.с.) 21140хэтчбек, бензин, передний  | Москва | 22.01.15
1005017125-07f0 | http://is14.auto.ru/all/images/2d/e5/60x45/2de5181c.jpg |  ВАЗ 21141.6 MT (81 л.с.) 21144  | #34ba2b | 160 000 |  2009  |  90 000 км  |  1.6 MT (81 л.с.) 21144хэтчбек, бензин, передний  | Муром | 22.01.15
1007224127-ed11 | http://is6.auto.ru/all/images/84/ec/60x45/84eca20a.jpg |  ВАЗ 21141.6 MT (81 л.с.) 21144  | #FFFFFF | 279 000 |  2011  |  60 243 км  |  1.6 MT (81 л.с.) 21144хэтчбек, бензин, передний  | Москва | 22.01.15
1007231593-cfaee | http://is18.auto.ru/all/images/59/eb/60x45/59eb6070.jpg |  ВАЗ 21141.6 MT (81 л.с.) 21144  | #CACECB | 129 000 |  2008  |  97 000 км  |  1.6 MT (81 л.с.) 21144хэтчбек, бензин, передний  | Москва | 22.01.15
1007163137-61bca | http://is9.auto.ru/all/images/f4/08/60x45/f40853a0.jpg |  ВАЗ 21141.5 MT (79 л.с.) 21140  | #CACECB | 105 000 |  2005  |  195 000 км  |  1.5 MT (79 л.с.) 21140хэтчбек, бензин, передний  | Щелково | 22.01.15
1007163923-f428 | http://is18.auto.ru/all/images/6b/35/60x45/6b354464.jpg |  ВАЗ 21141.5 MT (79 л.с.) 21140  | #CACECB | 105 000 |  2005  |  195 000 км  |  1.5 MT (79 л.с.) 21140хэтчбек, бензин, передний  | Москва | 22.01.15
1007179405-7d507 | http://is1.auto.ru/all/images/77/10/60x45/77109453.jpg |  ВАЗ 21141.6 MT (81 л.с.) 21144  | #000000 | 235 000 |  2012  |  57 000 км  |  1.6 MT (81 л.с.) 21144хэтчбек, бензин, передний  | Сергиев Посад | 22.01.15
1007174747-656137 | http://is1.auto.ru/all/images/1a/f5/60x45/1af52b70.jpg |  ВАЗ 21141.6 MT (81 л.с.) 21144  | #CACECB | 200 000 |  2011  |  81 000 км  |  1.6 MT (81 л.с.) 21144хэтчбек, бензин, передний  | Оренбург | 22.01.15
1007230309-be52a | http://is2.auto.ru/all/images/44/d4/60x45/44d42f1a.jpg |  ВАЗ 21141.5 MT (79 л.с.) 21140  | #FF0000 | 130 000 |  2005  |  110 000 км  |  1.5 MT (79 л.с.) 21140хэтчбек, бензин, передний  | Москва | 22.01.15
1006369111-29d959 | http://is15.auto.ru/all/images/2d/ec/60x45/2dec830d.jpg |  ВАЗ 21141.6 MT (90 л.с.) 211440-24  | #000000 | 220 000 |  2009  |  3 000 км  |  1.6 MT (90 л.с.) 211440-24хэтчбек, бензин, передний  | Подольск | 22.01.15
1007229393-76f439 | http://is17.auto.ru/all/images/9a/68/60x45/9a68b0fc.jpg |  ВАЗ 21141.5 MT (79 л.с.) 21140  | #9c9999 | 89 000 |  2006  |  90 000 км  |  1.5 MT (79 л.с.) 21140хэтчбек, бензин, передний  | Санкт-Петербург | 22.01.15
1007228167-5b5fb0 | http://is7.auto.ru/all/images/e5/14/60x45/e514ea36.jpg |  ВАЗ 21141.6 MT (98 л.с.) 211440-26  | #000000 | 190 000 |  2010  |  74 000 км  |  1.6 MT (98 л.с.) 211440-26хэтчбек, бензин, передний  | Санкт-Петербург | 22.01.15
1007227041-e8935 | http://is17.auto.ru/all/images/e5/b9/60x45/e5b95f91.jpg |  ВАЗ 21141.5 MT (79 л.с.) 21140  | #CACECB | 50 000 |  2003  |  174 000 км  |  1.5 MT (79 л.с.) 21140хэтчбек, бензин, передний  | Санкт-Петербург | 22.01.15
1007227163-b1f43 | http://is7.auto.ru/all/images/7c/3b/60x45/7c3b6265.jpg |  ВАЗ 21141.5 MT (79 л.с.) 21140  | #0000FF | 80 000 |  2004  |  140 000 км  |  1.5 MT (79 л.с.) 21140хэтчбек, бензин, передний  | Санкт-Петербург | 22.01.15
1007221311-d901 | http://is18.auto.ru/all/images/87/53/60x45/87531d9e.jpg |  ВАЗ 21141.6 MT (81 л.с.) 21144  | #9c9999 | 99 900 |  2007  |  145 000 км  |  1.6 MT (81 л.с.) 21144хэтчбек, бензин, передний  | Санкт-Петербург | 22.01.15
1007225195-5ae5 | http://is15.auto.ru/all/images/ef/a2/60x45/efa23598.jpg |  ВАЗ 21141.6 MT (81 л.с.) 21144  | #000000 | 179 888 |  2010  |  63 000 км  |  1.6 MT (81 л.с.) 21144хэтчбек, бензин, передний  | Санкт-Петербург | 22.01.15
1007225399-faf5eb | http://is5.auto.ru/all/images/a2/ff/60x45/a2ff725e.jpg |  ВАЗ 21141.5 MT (79 л.с.) 21140  | #CACECB | 99 988 |  2005  |  113 000 км  |  1.5 MT (79 л.с.) 21140хэтчбек, бензин, передний  | Санкт-Петербург | 22.01.15
1007221881-9174b | http://is6.auto.ru/all/images/7a/11/60x45/7a118f03.jpg |  ВАЗ 21141.5 MT (79 л.с.) 21140  | #ffefd5 | 135 000 |  2006  |  115 000 км  |  1.5 MT (79 л.с.) 21140хэтчбек, бензин, передний  | Санкт-Петербург | 22.01.15
1007221045-e6432 | http://is4.auto.ru/all/images/88/fe/60x45/88feb515.jpg |  ВАЗ 21141.5 MT (79 л.с.) 21140  | #9c9999 | 165 000 |  2008  |  71 000 км  |  1.5 MT (79 л.с.) 21140хэтчбек, бензин, передний  | Москва | 22.01.15
1007218653-993713 | http://is2.auto.ru/all/images/92/8f/60x45/928fe5b5.jpg |  ВАЗ 21141.5 MT (79 л.с.) 21140  | #9c9999 | 123 000 |  2006  |  85 000 км  |  1.5 MT (79 л.с.) 21140хэтчбек, бензин, передний  | Москва | 22.01.15
1007218629-d178e1 | http://is12.auto.ru/all/images/39/de/60x45/39de9190.jpg |  ВАЗ 21141.5 MT (79 л.с.) 21140  | #CACECB | 130 000 |  2006  |  104 000 км  |  1.5 MT (79 л.с.) 21140хэтчбек, бензин, передний  | Москва | 22.01.15
1007218735-aafd0 | http://is13.auto.ru/all/images/48/d0/60x45/48d0d275.jpg |  ВАЗ 21141.5 MT (79 л.с.) 21140  | #9c9999 | 130 000 |  2006  |  84 000 км  |  1.5 MT (79 л.с.) 21140хэтчбек, бензин, передний  | Москва | 22.01.15
1007218241-0c79 | http://is18.auto.ru/all/images/13/9c/60x45/139c453e.jpg |  ВАЗ 21141.6 MT (81 л.с.) 21144  | #9c9999 | 200 000 |  2011  |  60 000 км  |  1.6 MT (81 л.с.) 21144хэтчбек, бензин, передний  | Москва | 22.01.15
1007215379-490c18 | http://is2.auto.ru/all/images/8d/d2/60x45/8dd208bc.jpg |  ВАЗ 21141.6 MT (81 л.с.) 21144  | #000000 | 190 000 |  2010  |  28 766 км  |  1.6 MT (81 л.с.) 21144хэтчбек, бензин, передний  | Москва | 22.01.15
1007215005-5f5a4 | http://is14.auto.ru/all/images/7a/fa/60x45/7afa4e28.jpg |  ВАЗ 21141.5 MT (79 л.с.) 21140  | #CACECB | 119 888 |  2006  |  200 000 км  |  1.5 MT (79 л.с.) 21140хэтчбек, бензин, передний  | Санкт-Петербург | 22.01.15
1007214887-fb660 | http://is8.auto.ru/all/images/c4/f3/60x45/c4f3b334.jpg |  ВАЗ 21141.6 MT (81 л.с.) 21144  | #9c9999 | 210 000 |  2011  |  40 000 км  |  1.6 MT (81 л.с.) 21144хэтчбек, бензин, передний  | Жуковский | 22.01.15
1007214845-2062ce | http://is18.auto.ru/all/images/46/4c/60x45/464c1175.jpg |  ВАЗ 21141.5 MT (79 л.с.) 21140  | #34ba2b | 149 000 |  2006  |  74 500 км  |  1.5 MT (79 л.с.) 21140хэтчбек, бензин, передний  | Жуковский | 22.01.15
1005241619-ef4b1 | http://is14.auto.ru/all/images/bd/01/60x45/bd01700c.jpg |  ВАЗ 21141.6 MT (81 л.с.) 21144  | #CACECB | 262 680 |  2011  |  80 000 км  |  1.6 MT (81 л.с.) 21144хэтчбек, бензин, передний  | Москва | 22.01.15
1007213231-1f80 | http://is15.auto.ru/all/images/68/fc/60x45/68fcdc9d.jpg |  ВАЗ 21141.6 MT (81 л.с.) 21144  | #000000 | 124 000 |  2007  |  96 898 км  |  1.6 MT (81 л.с.) 21144хэтчбек, бензин, передний  | Коломна | 22.01.15
1007213271-a801 | http://is13.auto.ru/all/images/ab/31/60x45/ab31e6ae.jpg |  ВАЗ 21141.5 MT (79 л.с.) 21140  | #000000 | 124 000 |  2007  |  121 010 км  |  1.5 MT (79 л.с.) 21140хэтчбек, бензин, передний  | Коломна | 22.01.15
1007213249-ce62e | http://is15.auto.ru/all/images/e8/a9/60x45/e8a9e53b.jpg |  ВАЗ 21141.6 MT (81 л.с.) 21144  | #9c9999 | 150 000 |  2009  |  71 250 км  |  1.6 MT (81 л.с.) 21144хэтчбек, бензин, передний  | Коломна | 22.01.15
1007213319-5fda3 | http://is3.auto.ru/all/images/f5/af/60x45/f5afb869.jpg |  ВАЗ 21141.5 MT (79 л.с.) 21140  | #0000FF | 69 000 |  2003  |  165 030 км  |  1.5 MT (79 л.с.) 21140хэтчбек, бензин, передний  | Коломна | 22.01.15
1007213021-c410 | http://is18.auto.ru/all/images/1e/8e/60x45/1e8ef134.jpg |  ВАЗ 21141.6 MT (90 л.с.) 211440-24  | #FFFFFF | 235 000 |  2012  |  51 523 км  |  1.6 MT (90 л.с.) 211440-24хэтчбек, бензин, передний  | Москва | 22.01.15
1007212367-5035 | http://is18.auto.ru/all/images/d7/67/60x45/d767533c.jpg |  ВАЗ 21141.6 MT (81 л.с.) 21144  | #9c9999 | 198 000 |  2010  |  35 999 км  |  1.6 MT (81 л.с.) 21144хэтчбек, бензин, передний  | Москва | 22.01.15
1005719547-80c900 | http://is18.auto.ru/all/images/50/08/60x45/5008943a.jpg |  ВАЗ 21141.6 MT (81 л.с.) 21144  | #34ba2b | 240 000 |  2012  |  71 150 км  |  1.6 MT (81 л.с.) 21144хэтчбек, бензин, передний  | Москва | 22.01.15
1005719545-1f01 | http://is18.auto.ru/all/images/32/d1/60x45/32d14aaa.jpg |  ВАЗ 21141.5 MT (79 л.с.) 21140  | #CACECB | 165 000 |  2004  |  145 000 км  |  1.5 MT (79 л.с.) 21140хэтчбек, бензин, передний  | Москва | 22.01.15
1007205341-d8ff | http://is2.auto.ru/all/images/b0/21/60x45/b0218949.jpg |  ВАЗ 21141.6 MT (90 л.с.) 211440-24  | #CACECB | 165 000 |  2010  |  47 000 км  |  1.6 MT (90 л.с.) 211440-24хэтчбек, бензин, передний  | Подольск | 22.01.15
1007205779-10ca65 | http://is16.auto.ru/all/images/06/74/60x45/0674b806.jpg |  ВАЗ 21141.5 MT (79 л.с.) 21140  | #34ba2b | 140 000 |  2007  |  60 000 км  |  1.5 MT (79 л.с.) 21140хэтчбек, бензин, передний  | Москва | 22.01.15
1007205815-457f90 | http://is18.auto.ru/all/images/87/a7/60x45/87a78b29.jpg |  ВАЗ 21141.5 MT (79 л.с.) 21140  | #CACECB | 150 000 |  2007  |  44 000 км  |  1.5 MT (79 л.с.) 21140хэтчбек, бензин, передний  | Москва | 22.01.15
1007204045-a015a | http://is2.auto.ru/all/images/1d/81/60x45/1d811a8b.jpg |  ВАЗ 21141.5 MT (79 л.с.) 21140  | #FFCC00 | 145 000 |  2006  |  58 000 км  |  1.5 MT (79 л.с.) 21140хэтчбек, бензин, передний  | Москва | 22.01.15
1007204055-37fa7 | http://is10.auto.ru/all/images/49/a9/60x45/49a99d0d.jpg |  ВАЗ 21141.5 MT (79 л.с.) 21140  | #ffefd5 | 160 000 |  2008  |  87 000 км  |  1.5 MT (79 л.с.) 21140хэтчбек, бензин, передний  | Москва | 22.01.15
1007199889-bce0 | http://is4.auto.ru/all/images/b8/4b/60x45/b84b2561.jpg |  ВАЗ 21141.6 MT (98 л.с.) 211440-26  | #CACECB | 180 000 |  2010  |  124 035 км  |  1.6 MT (98 л.с.) 211440-26хэтчбек, бензин, передний  | Белгород | 22.01.15
1007201283-e2925 | http://is7.auto.ru/all/images/54/44/60x45/544435e1.jpg |  ВАЗ 21141.6 MT (81 л.с.) 21144  | #CACECB | 195 000 |  2011  |  86 125 км  |  1.6 MT (81 л.с.) 21144хэтчбек, бензин, передний  | Москва | 22.01.15
1007200763-fc213d | http://is4.auto.ru/all/images/2e/29/60x45/2e29069c.jpg |  ВАЗ 21141.6 MT (98 л.с.) 211440-26  | #000000 | 199 000 |  2012  |  55 000 км  |  1.6 MT (98 л.с.) 211440-26хэтчбек, бензин, передний  | Москва | 22.01.15
1007200285-b1e3fb | http://is2.auto.ru/all/images/a5/5d/60x45/a55d6595.jpg |  ВАЗ 21141.6 MT (81 л.с.) 21144  | #000000 | 170 000 |  2009  |  107 554 км  |  1.6 MT (81 л.с.) 21144хэтчбек, бензин, передний  | Москва | 22.01.15
1007199077-babeb | http://is18.auto.ru/all/images/e7/3a/60x45/e73a71d0.jpg |  ВАЗ 21141.6 MT (81 л.с.) 21144  | #000000 | 170 000 |  2010  |  60 000 км  |  1.6 MT (81 л.с.) 21144хэтчбек, бензин, передний  | Санкт-Петербург | 22.01.15
1007196607-37e0 | http://is16.auto.ru/all/images/e2/aa/60x45/e2aa68c6.jpg |  ВАЗ 21141.6 MT (81 л.с.) 21144  | #9c9999 | 180 000 |  2011  |  88 523 км  |  1.6 MT (81 л.с.) 21144хэтчбек, бензин, передний  | Йошкар-Ола | 22.01.15
1007196929-0affd | http://is17.auto.ru/all/images/d0/5d/60x45/d05d1158.jpg |  ВАЗ 21141.6 MT (81 л.с.) 21144  | #CC0033 | 189 000 |  2011  |  51 280 км  |  1.6 MT (81 л.с.) 21144хэтчбек, бензин, передний  | Казань | 22.01.15
1007196649-2e5ca | http://is17.auto.ru/all/images/9c/b0/60x45/9cb06a16.jpg |  ВАЗ 21141.6 MT (81 л.с.) 21144  | #000000 | 193 200 |  2011  |  84 676 км  |  1.6 MT (81 л.с.) 21144хэтчбек, бензин, передний  | Йошкар-Ола | 22.01.15
1007197161-e3d46 | http://is2.auto.ru/all/images/b1/a1/60x45/b1a1adda.jpg |  ВАЗ 21141.6 MT (81 л.с.) 21144  | #9c9999 | 196 400 |  2011  |  45 633 км  |  1.6 MT (81 л.с.) 21144хэтчбек, бензин, передний  | Казань | 22.01.15
1007196699-e0f309 | http://is2.auto.ru/all/images/c5/b5/60x45/c5b52100.jpg |  ВАЗ 21141.6 MT (81 л.с.) 21144  | #9c9999 | 210 000 |  2011  |  48 527 км  |  1.6 MT (81 л.с.) 21144хэтчбек, бензин, передний  | Йошкар-Ола | 22.01.15
1007197025-d064 | http://is12.auto.ru/all/images/05/56/60x45/055698fc.jpg |  ВАЗ 21141.6 MT (81 л.с.) 21144  | #9c9999 | 193 600 |  2011  |  57 111 км  |  1.6 MT (81 л.с.) 21144хэтчбек, бензин, передний  | Казань | 22.01.15
1007197205-0bfd | /i/all7/img/no-photo-thumb.gif |  ВАЗ 21141.6 MT (81 л.с.) 21144  | #34ba2b | 175 000 |  2010  |  70 000 км  |  1.6 MT (81 л.с.) 21144хэтчбек, бензин, передний  | Уфа | 22.01.15
1007196063-01241b | http://is7.auto.ru/all/images/38/90/60x45/3890b6cc.jpg |  ВАЗ 21141.6 MT (81 л.с.) 21144  | #0000FF | 186 000 |  2011  |  43 000 км  |  1.6 MT (81 л.с.) 21144хэтчбек, бензин, передний  | Набережные Челны | 22.01.15
1007196333-d94d | http://is1.auto.ru/all/images/56/ed/60x45/56ed26a8.jpg |  ВАЗ 21141.6 MT (81 л.с.) 21144  | #9c9999 | 202 000 |  2011  |  75 000 км  |  1.6 MT (81 л.с.) 21144хэтчбек, бензин, передний  | Набережные Челны | 22.01.15
1007196065-641a | /i/all7/img/no-photo-thumb.gif |  ВАЗ 21141.6 MT (81 л.с.) 21144  | #CACECB | 158 000 |  2010  |  127 000 км  |  1.6 MT (81 л.с.) 21144хэтчбек, бензин, передний  | Набережные Челны | 22.01.15
1007049933-bb76 | http://is16.auto.ru/all/images/30/65/60x45/30653ace.jpg |  ВАЗ 21141.6 MT (81 л.с.) 21144  | #000000 | 94 000 |  2007  |  175 000 км  |  1.6 MT (81 л.с.) 21144хэтчбек, бензин, передний  | Одинцово | 22.01.15
1007192527-b01ae | http://is6.auto.ru/all/images/18/ff/60x45/18ff1d1b.jpg |  ВАЗ 21141.6 MT (81 л.с.) 21144  | #FFFFFF | 165 000 |  2010  |  67 000 км  |  1.6 MT (81 л.с.) 21144хэтчбек, бензин, передний  | Орехово-Зуево | 22.01.15
1007191325-3de8 | http://is2.auto.ru/all/images/ff/21/60x45/ff21285f.jpg |  ВАЗ 21141.6 MT (81 л.с.) 21144  | #FFFFFF | 210 000 |  2011  |  71 000 км  |  1.6 MT (81 л.с.) 21144хэтчбек, бензин, передний  | Ростов-на-Дону | 22.01.15
1007191083-2bbf | /i/all7/img/no-photo-thumb.gif |  ВАЗ 21141.5 MT (79 л.с.) 21140  | #9c9999 | 120 000 |  2004  |  25 000 км  |  1.5 MT (79 л.с.) 21140хэтчбек, бензин, передний  | Воронеж | 22.01.15
1006934463-887780 | http://is17.auto.ru/all/images/4d/2d/60x45/4d2d88e9.jpg |  ВАЗ 21141.6 MT (81 л.с.) 21144  | #CACECB | 185 000 |  2011  |  78 000 км  |  1.6 MT (81 л.с.) 21144хэтчбек, бензин, передний  | Москва | 22.01.15
1006523151-c3472 | http://is3.auto.ru/all/images/1b/f4/60x45/1bf4a6a3.jpg |  ВАЗ 21141.5 MT (79 л.с.) 21140  | #34ba2b | 114 000 |  2004  |  77 000 км  |  1.5 MT (79 л.с.) 21140хэтчбек, бензин, передний  | Голицыно | 22.01.15
1006987543-79ac4c | http://is6.auto.ru/all/images/c1/37/60x45/c1378c78.jpg |  ВАЗ 21141.6 MT (98 л.с.)  | #ffefd5 | 90 000 |  2005  |  132 000 км  |  1.6 MT (98 л.с.)хэтчбек, бензин, передний  | Санкт-Петербург | 22.01.15
1005916329-7339 | http://is2.auto.ru/all/images/e0/71/60x45/e07183d2.jpg |  ВАЗ 21141.6 MT (90 л.с.) 211440-24  | #CACECB | 100 000 |  2008  |  107 000 км  |  1.6 MT (90 л.с.) 211440-24хэтчбек, бензин, передний  | Можайск | 22.01.15
1007190103-a2802 | http://is16.auto.ru/all/images/17/85/60x45/1785d06e.jpg |  ВАЗ 21141.5 MT (79 л.с.) 21140  | #0000FF | 125 000 |  2005  |  96 000 км  |  1.5 MT (79 л.с.) 21140хэтчбек, бензин, передний  | Москва | 22.01.15
1006205447-02807 | http://is3.auto.ru/all/images/04/57/60x45/0457294a.jpg |  ВАЗ 21141.6 MT (81 л.с.) 21144  | #9c9999 | 160 000 |  2007  |  106 000 км  |  1.6 MT (81 л.с.) 21144хэтчбек, бензин, передний  | Егорьевск | 22.01.15
1006856851-00af8 | http://is11.auto.ru/all/images/12/24/60x45/12247f34.jpg |  ВАЗ 21141.6 MT (81 л.с.) 21144  | #CACECB | 245 000 |  2013  |  30 000 км  |  1.6 MT (81 л.с.) 21144хэтчбек, бензин, передний  | Брянск | 21.01.15
