1007301803-05e0 | http://is10.auto.ru/all/images/fb/c7/60x45/fbc79ab0.jpg |  Volkswagen Golf VI1.6 AT (102 л.с.)  | #FF0000 | 515 000 |  2010  |  67 000 км  |  1.6 AT (102 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1007280885-960d | http://is11.auto.ru/all/images/30/ec/60x45/30ecaf3d.jpg |  Volkswagen Golf VI1.4 AT (122 л.с.)  | #000000 | 595 000 |  2011  |  38 000 км  |  1.4 AT (122 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1007280399-7e5a | http://is5.auto.ru/all/images/49/d1/60x45/49d15e9a.jpg |  Volkswagen Golf IV1.6 AT (101 л.с.)  | #ffefd5 | 275 000 |  2003  |  104 000 км  |  1.6 AT (101 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1007280477-f4d2 | http://is3.auto.ru/all/images/37/fd/60x45/37fd71bc.jpg |  Volkswagen Golf IV1.6 AT (101 л.с.)  | #000000 | 285 000 |  2003  |  102 000 км  |  1.6 AT (101 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1007279951-3c9c01 | http://is2.auto.ru/all/images/bd/fb/60x45/bdfbce5c.jpg |  Volkswagen Golf VI1.4 MT (80 л.с.)  | #0000FF | 530 000 |  2011  |  117 300 км  |  1.4 MT (80 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1007279949-6533c8 | http://is5.auto.ru/all/images/62/88/60x45/6288cfc7.jpg |  Volkswagen Golf VI1.6 AT (102 л.с.)  | #CACECB | 725 000 |  2012  |  48 200 км  |  1.6 AT (102 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1007279185-5546ac | http://is12.auto.ru/all/images/ed/60/60x45/ed607d1d.jpg |  Volkswagen Golf VI1.4 AT (160 л.с.)  | #9c9999 | 615 000 |  2010  |  37 000 км  |  1.4 AT (160 л.с.)универсал, бензин, передний  | Москва | 23.01.15
1007279187-6ac4 | http://is8.auto.ru/all/images/6e/2a/60x45/6e2aafd0.jpg |  Volkswagen Golf V1.4 AT (140 л.с.)  | #CC0033 | 405 000 |  2009  |  51 000 км  |  1.4 AT (140 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1005723267-502c | http://is5.auto.ru/all/images/90/b4/60x45/90b4111e.jpg |  Volkswagen Golf V1.6 AT (102 л.с.)  | #000000 | 439 000 |  2008  |  193 602 км  |  1.6 AT (102 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1006004261-f26e4 | http://is3.auto.ru/all/images/44/3b/60x45/443b1245.jpg |  Volkswagen Golf V1.6 MT (102 л.с.)  | #0000FF | 444 000 |  2008  |  123 500 км  |  1.6 MT (102 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1006004259-5f81 | http://is16.auto.ru/all/images/f7/81/60x45/f781133d.jpg |  Volkswagen Golf V1.6 MT (102 л.с.)  | #FFFFFF | 459 000 |  2008  |  111 582 км  |  1.6 MT (102 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1005142553-ca319 | http://is12.auto.ru/all/images/77/e3/60x45/77e3c827.jpg |  Volkswagen Golf V1.6 MT (102 л.с.)  | #000000 | 461 000 |  2008  |  97 000 км  |  1.6 MT (102 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1006712611-9d15 | http://is13.auto.ru/all/images/d3/77/60x45/d377bf77.jpg |  Volkswagen Golf V1.6 AT (102 л.с.)  | #000000 | 469 000 |  2008  |  116 023 км  |  1.6 AT (102 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1007277691-f4609 | http://is14.auto.ru/all/images/1e/a2/60x45/1ea2406f.jpg |  Volkswagen Golf VI1.6 AT (102 л.с.)  | #000000 | 609 000 |  2011  |  66 000 км  |  1.6 AT (102 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1003592452-f37b2 | http://is11.auto.ru/all/images/7c/02/60x45/7c028e8f.jpg |  Volkswagen Golf VI1.4 AT (122 л.с.)  | #FFFFFF | 623 000 |  2012  |  95 400 км  |  1.4 AT (122 л.с.)хэтчбек, бензин, передний  | Краснодар | 23.01.15
1005288397-bdebc8 | http://is16.auto.ru/all/images/1a/da/60x45/1adab91b.jpg |  Volkswagen Golf VI1.4 MT (122 л.с.)  | #0000FF | 695 000 |  2011  |  48 215 км  |  1.4 MT (122 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1007126421-3810f6 | http://is18.auto.ru/all/images/32/3d/60x45/323d483c.jpg |  Volkswagen Golf VII1.4 MT (122 л.с.)  | #CACECB | 739 000 |  2012  |  32 000 км  |  1.4 MT (122 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1007127705-b9eb | http://is16.auto.ru/all/images/3c/51/60x45/3c51f3ab.jpg |  Volkswagen Golf VII1.4 AT (140 л.с.)  | #FF0000 | 1 349 000 |  2013  |  4 470 км  |  1.4 AT (140 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1007271161-59f6 | http://is17.auto.ru/all/images/1f/ad/60x45/1fad770a.jpg |  Volkswagen Golf IV1.8 AT (125 л.с.)  | #FF0000 | 300 000 |  1998  |  176 000 км  |  1.8 AT (125 л.с.)хэтчбек, бензин, передний  | Подольск | 23.01.15
1006486883-e7df1 | http://is17.auto.ru/all/images/4b/76/60x45/4b76b164.jpg |  Volkswagen Golf V1.6 AT (102 л.с.)  | #ffefd5 | 525 000 |  2007  |  89 000 км  |  1.6 AT (102 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1005778829-b4a4 | http://is15.auto.ru/all/images/ab/47/60x45/ab47d869.jpg |  Volkswagen Golf VI1.6 AT (102 л.с.)  | #0088ff | 550 000 |  2009  |  80 520 км  |  1.6 AT (102 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1007268503-6ddec | http://is9.auto.ru/all/images/65/4b/60x45/654bf212.jpg |  Volkswagen Golf V1.6 AT (102 л.с.)  | #CACECB | 440 000 |  2008  |  70 000 км  |  1.6 AT (102 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1007267533-3410a6 | http://is18.auto.ru/all/images/fd/4a/60x45/fd4aefe1.jpg |  Volkswagen Golf VI1.6 AT (102 л.с.)  | #9c9999 | 480 150 |  2008  |  89 000 км  |  1.6 AT (102 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1007268511-24a6a | http://is8.auto.ru/all/images/2c/d8/60x45/2cd83088.jpg |  Volkswagen Golf V1.6 AT (102 л.с.)  | #9c9999 | 525 000 |  2008  |  80 000 км  |  1.6 AT (102 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1007266951-c4215 | http://is7.auto.ru/all/images/56/82/60x45/568210ae.jpg |  Volkswagen Golf IV1.4 MT (75 л.с.)  | #000000 | 230 000 |  1999  |  212 000 км  |  1.4 MT (75 л.с.)хэтчбек, бензин, передний  | Санкт-Петербург | 23.01.15
1007264549-4852 | http://is3.auto.ru/all/images/43/47/60x45/434759ac.jpg |  Volkswagen Golf VI1.6 AT (102 л.с.)  | #0000FF | 530 000 |  2010  |  102 000 км  |  1.6 AT (102 л.с.)хэтчбек, бензин, передний  | Санкт-Петербург | 23.01.15
1007263991-f39dda | http://is14.auto.ru/all/images/78/6e/60x45/786e6003.jpg |  Volkswagen Golf VI1.4 MT (122 л.с.)  | #FF0000 | 539 000 |  2011  |  107 000 км  |  1.4 MT (122 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1003650108-09827 | http://is2.auto.ru/all/images/c6/cd/60x45/c6cdf97f.jpg |  Volkswagen Golf VI1.4 MT (122 л.с.)  | #CACECB | 484 825 |  2009  |  91 497 км  |  1.4 MT (122 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1003512428-18ea61 | http://is2.auto.ru/all/images/2e/34/60x45/2e34ca70.jpg |  Volkswagen Golf II1.6 MT (69 л.с.)  | #0000FF | 55 000 |  1990  |  290 661 км  |  1.6 MT (69 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1006944243-4288e | http://is9.auto.ru/all/images/d9/ef/60x45/d9efa9a4.jpg |  Volkswagen Golf IV1.6 AT (101 л.с.)  | #FFFFFF | 242 050 |  1998  |  186 560 км  |  1.6 AT (101 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1006585083-4fd7e1 | http://is8.auto.ru/all/images/96/09/60x45/96091426.jpg |  Volkswagen Golf V1.4 MT (75 л.с.)  | #CACECB | 334 750 |  2004  |  135 644 км  |  1.4 MT (75 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1007262557-14684f | http://is12.auto.ru/all/images/8a/93/60x45/8a93e7ad.jpg |  Volkswagen Golf VI1.4 AT (122 л.с.)  | #0088ff | 585 000 |  2009  |  74 000 км  |  1.4 AT (122 л.с.)хэтчбек, бензин, передний  | Набережные Челны | 23.01.15
1005531955-1754 | http://is11.auto.ru/all/images/92/f1/60x45/92f1c612.jpg |  Volkswagen Golf IV1.6 AT (101 л.с.)  | #34ba2b | 250 100 |  1999  |  104 774 км  |  1.6 AT (101 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1007196411-b97d02 | /i/all7/img/no-photo-thumb.gif |  Volkswagen Golf VI1.6 AT (102 л.с.)  | #9c9999 | 745 000 |  2012  |  15 578 км  |  1.6 AT (102 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1007261537-b30c | http://is18.auto.ru/all/images/22/d2/60x45/22d287d0.jpg |  Volkswagen Golf VI1.6 MT (102 л.с.)  | #0000FF | 572 300 |  2011  |  77 200 км  |  1.6 MT (102 л.с.)хэтчбек, бензин, передний  | Казань | 23.01.15
1007259513-5de14 | http://is14.auto.ru/all/images/f1/d3/60x45/f1d30ba1.jpg |  Volkswagen Golf IV1.6 AT (102 л.с.)  | #CACECB | 275 000 |  2001  |  115 000 км  |  1.6 AT (102 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1007257009-c1c0 | http://is15.auto.ru/all/images/fa/4a/60x45/fa4ad70a.jpg |  Volkswagen Golf V1.6 MT (102 л.с.)  | #34ba2b | 365 000 |  2007  |  65 000 км  |  1.6 MT (102 л.с.)хэтчбек, бензин, передний  | Химки | 23.01.15
1006866693-91928 | http://is12.auto.ru/all/images/66/59/60x45/6659796e.jpg |  Volkswagen Golf IV1.6 AT (102 л.с.)  | #FF0000 | 245 000 |  2003  |  160 000 км  |  1.6 AT (102 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1007256109-080865 | http://is6.auto.ru/all/images/04/1b/60x45/041b0984.jpg |  Volkswagen Golf V1.6 AT (102 л.с.)  | #000000 | 420 000 |  2006  |  157 189 км  |  1.6 AT (102 л.с.)хэтчбек, бензин, передний  | Санкт-Петербург | 23.01.15
1002161445-766a1 | http://is13.auto.ru/all/images/4a/1e/60x45/4a1e8944.jpg |  Volkswagen Golf III1.4 MT (60 л.с.)  | #0000FF | 90 000 |  1992  |  184 000 км  |  1.4 MT (60 л.с.)хэтчбек, бензин, передний  | Навля | 23.01.15
1005866095-5a43 | http://is12.auto.ru/all/images/98/ad/60x45/98ad4cb9.jpg |  Volkswagen Golf III2.0 AT (115 л.с.)  | #34ba2b | 120 000 |  1995  |  185 755 км  |  2.0 AT (115 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1006410653-2097e6 | http://is5.auto.ru/all/images/ce/22/60x45/ce22c451.jpg |  Volkswagen Golf IV1.6 MT (101 л.с.)  | #0088ff | 255 000 |  2000  |  150 000 км  |  1.6 MT (101 л.с.)хэтчбек, бензин, передний  | Ступино | 23.01.15
1007255841-644fc | http://is12.auto.ru/all/images/0f/50/60x45/0f503bde.jpg |  Volkswagen Golf III1.8 MT (75 л.с.)  | #FFFFFF | 104 000 |  1992  |  212 000 км  |  1.8 MT (75 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1007255565-cc9107 | http://is12.auto.ru/all/images/2b/7d/60x45/2b7d7b94.jpg |  Volkswagen Golf V1.4 MT (80 л.с.)  | #FF0000 | 390 000 |  2008  |  121 000 км  |  1.4 MT (80 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1007255365-5d25a0 | /i/all7/img/no-photo-thumb.gif |  Volkswagen Golf IV1.4 MT (75 л.с.)  | #FF0000 | 165 000 |  1999  |  205 000 км  |  1.4 MT (75 л.с.)универсал, бензин, передний  | Чебоксары | 22.01.15
1006419185-d50ae3 | http://is17.auto.ru/all/images/eb/68/60x45/eb681136.jpg |  Volkswagen Golf VI1.4 MT (122 л.с.)  | #0088ff | 680 000 |  2010  |  62 000 км  |  1.4 MT (122 л.с.)хэтчбек, бензин, передний  | Зеленоград | 22.01.15
1007253299-1fcc | http://is13.auto.ru/all/images/d7/25/60x45/d725abf2.jpg |  Volkswagen Golf VI1.4 AT (160 л.с.)  | #FFFFFF | 658 000 |  2011  |  70 000 км  |  1.4 AT (160 л.с.)хэтчбек, бензин, передний  | Нижний Новгород | 22.01.15
1007254551-cdb8 | http://is5.auto.ru/all/images/3e/71/60x45/3e715552.jpg |  Volkswagen Golf VI1.6 AT (102 л.с.)  | #FF0000 | 540 000 |  2009  |  83 000 км  |  1.6 AT (102 л.с.)хэтчбек, бензин, передний  | Санкт-Петербург | 22.01.15
1006995173-ec94cf | http://is12.auto.ru/all/images/f4/81/60x45/f481f7c0.jpg |  Volkswagen Golf VI1.4 MT (122 л.с.)  | #0000FF | 730 000 |  2012  |  51 000 км  |  1.4 MT (122 л.с.)хэтчбек, бензин, передний  | Калуга | 22.01.15
1007117117-94646c | http://is5.auto.ru/all/images/79/c0/60x45/79c0fd48.jpg |  Volkswagen Golf VII1.4 MT (122 л.с.)  | #FFFFFF | 900 000 |  2013  |  14 999 км  |  1.4 MT (122 л.с.)хэтчбек, бензин, передний  | Новороссийск | 22.01.15
1006617233-f38f | http://is15.auto.ru/all/images/fd/f9/60x45/fdf9adea.jpg |  Volkswagen Golf III1.8 MT (90 л.с.)  | #34ba2b | 117 500 |  1992  |  260 000 км  |  1.8 MT (90 л.с.)хэтчбек, бензин, передний  | Санкт-Петербург | 22.01.15
1007253213-c544 | http://is4.auto.ru/all/images/c8/d6/60x45/c8d634c7.jpg |  Volkswagen Golf VI1.8 AT (160 л.с.)  | #FF0000 | 580 000 |  2010  |  97 000 км  |  1.8 AT (160 л.с.)хэтчбек, бензин, передний  | Владимир | 22.01.15
45253738-4cfe | http://is2.auto.ru/all/images/7b/c5/60x45/7bc53237.jpg |  Volkswagen Golf VI1.6d AT (105 л.с.)  | #CACECB | 688 000 |  2011  |  43 000 км  |  1.6d AT (105 л.с.)хэтчбек, дизель, передний  | Волгоград | 22.01.15
1006876005-b1ec | http://is17.auto.ru/all/images/a1/c8/60x45/a1c881a9.jpg |  Volkswagen Golf VI1.6 MT (102 л.с.)  | #000000 | 585 000 |  2011  |  65 000 км  |  1.6 MT (102 л.с.)хэтчбек, бензин, передний  | Санкт-Петербург | 22.01.15
1007253909-9160 | http://is16.auto.ru/all/images/7c/e3/60x45/7ce396b6.jpg |  Volkswagen Golf II1.8 AT (90 л.с.)  | #CACECB | 80 000 |  1989  |  120 000 км  |  1.8 AT (90 л.с.)хэтчбек, бензин, передний  | Москва | 22.01.15
1006735199-f0bc1 | http://is9.auto.ru/all/images/da/8b/60x45/da8ba9db.jpg |  Volkswagen Golf VI1.4 MT (122 л.с.)  | #0000FF | 639 000 |  2010  |  50 000 км  |  1.4 MT (122 л.с.)хэтчбек, бензин, передний  | Москва | 22.01.15
1007112411-b2413f | http://is1.auto.ru/all/images/cc/5f/60x45/cc5fbbb2.jpg |  Volkswagen Golf V1.6 AT (102 л.с.)  | #fde910 | 385 000 |  2005  |  122 500 км  |  1.6 AT (102 л.с.)хэтчбек, бензин, передний  | Москва | 22.01.15
1007039233-4d84b | http://is7.auto.ru/all/images/2b/8b/60x45/2b8b9323.jpg |  Volkswagen Golf VI1.4 AT (122 л.с.)  | #FFFFFF | 685 000 |  2011  |  52 000 км  |  1.4 AT (122 л.с.)хэтчбек, бензин, передний  | Москва | 22.01.15
1007044681-7bdbca | http://is2.auto.ru/all/images/06/3d/60x45/063de8f5.jpg |  Volkswagen Golf VII1.4 AT (122 л.с.)  | #FFFFFF | 850 000 |  2014  |  12 000 км  |  1.4 AT (122 л.с.)хэтчбек, бензин, передний  | Москва | 22.01.15
1004633381-b0a0 | http://is15.auto.ru/all/images/1e/49/60x45/1e49869f.jpg |  Volkswagen Golf IV1.4 MT (75 л.с.)  | #CACECB | 245 000 |  2002  |  160 000 км  |  1.4 MT (75 л.с.)хэтчбек, бензин, передний  | Шуя | 22.01.15
1005328177-97d59 | http://is18.auto.ru/all/images/fd/6b/60x45/fd6ba5e5.jpg |  Volkswagen Golf VI1.6 MT (102 л.с.)  | #000000 | 560 000 |  2010  |  106 000 км  |  1.6 MT (102 л.с.)хэтчбек, бензин, передний  | Москва | 22.01.15
1007252143-91400 | http://is2.auto.ru/all/images/b2/23/60x45/b2239acf.jpg |  Volkswagen Golf III1.4 MT (60 л.с.)  | #000000 | 55 000 |  1993  |  120 000 км  |  1.4 MT (60 л.с.)хэтчбек, бензин, передний  | Москва | 22.01.15
1005118335-03af | http://is2.auto.ru/all/images/9f/c8/60x45/9fc87879.jpg |  Volkswagen Golf VI1.4 MT (122 л.с.)  | #000000 | 580 000 |  2011  |  55 000 км  |  1.4 MT (122 л.с.)хэтчбек, бензин, передний  | Тихорецк | 22.01.15
1005866529-855158 | http://is2.auto.ru/all/images/3f/0c/60x45/3f0ce1f0.jpg |  Volkswagen Golf VI1.4 MT (122 л.с.)  | #0000FF | 770 449 |  2012  |  47 300 км  |  1.4 MT (122 л.с.)хэтчбек, бензин, передний  | Москва | 22.01.15
1007251689-f0f3c | http://is2.auto.ru/all/images/66/0d/60x45/660d6f65.jpg |  Volkswagen Golf III1.8 MT (90 л.с.)  | #34ba2b | 145 000 |  1996  |  247 000 км  |  1.8 MT (90 л.с.)универсал, бензин, передний  | Бондари | 22.01.15
1007251637-e801 | http://is6.auto.ru/all/images/f7/fa/60x45/f7fa63cd.jpg |  Volkswagen Golf III2.8 MT (174 л.с.)  | #CACECB | 150 000 |  1996  |  300 000 км  |  2.8 MT (174 л.с.)хэтчбек, бензин, передний  | Шатура | 22.01.15
1007252257-b56b | http://is11.auto.ru/all/images/27/20/60x45/2720f991.jpg |  Volkswagen Golf IV1.6 AT (101 л.с.)  | #0000FF | 280 000 |  1998  |  295 000 км  |  1.6 AT (101 л.с.)хэтчбек, бензин, передний  | Москва | 22.01.15
1007251261-6cd2d | http://is11.auto.ru/all/images/0a/fc/60x45/0afc292c.jpg |  Volkswagen Golf V1.6 MT (102 л.с.)  | #0000FF | 450 000 |  2008  |  167 000 км  |  1.6 MT (102 л.с.)хэтчбек, бензин, передний  | Пятигорск | 22.01.15
1007251695-50237 | http://is3.auto.ru/all/images/b8/d1/60x45/b8d1203a.jpg |  Volkswagen Golf III1.8 MT (90 л.с.)  | #0088ff | 105 000 |  1993  |  199 000 км  |  1.8 MT (90 л.с.)хэтчбек, бензин, передний  | Брянск | 22.01.15
1006983691-32aa7 | http://is6.auto.ru/all/images/e7/f0/60x45/e7f06e27.jpg |  Volkswagen Golf VII1.4 AT (140 л.с.)  | #9c9999 | 1 363 827 |  2013  |  33 500 км  |  1.4 AT (140 л.с.)хэтчбек, бензин, передний  | Гагарин | 22.01.15
1005917121-bcf5a | http://is2.auto.ru/all/images/ae/4b/60x45/ae4bf70e.jpg |  Volkswagen Golf VI1.6 AT (102 л.с.)  | #CACECB | 603 000 |  2010  |  70 000 км  |  1.6 AT (102 л.с.)хэтчбек, бензин, передний  | Курск | 22.01.15
1004897213-dc8d80 | http://is1.auto.ru/all/images/91/45/60x45/91455788.jpg |  Volkswagen Golf IV1.4 MT (75 л.с.)  | #000000 | 210 000 |  2000  |  200 000 км  |  1.4 MT (75 л.с.)хэтчбек, бензин, передний  | Борисоглебск | 22.01.15
1006524693-37de | http://is1.auto.ru/all/images/2b/da/60x45/2bdad83b.jpg |  Volkswagen Golf VI1.2 MT (105 л.с.)  | #CACECB | 814 230 |  2011  |  94 500 км  |  1.2 MT (105 л.с.)хэтчбек, бензин, передний  | Минск | 22.01.15
1007034263-6996 | http://is16.auto.ru/all/images/af/37/60x45/af3749a5.jpg |  Volkswagen Golf VII1.4 AT (122 л.с.)  | #FFFFFF | 730 000 |  2012  |  26 500 км  |  1.4 AT (122 л.с.)хэтчбек, бензин, передний  | Щелково | 22.01.15
