1006524537-9c39 | http://is5.auto.ru/all/images/0a/1d/60x45/0a1d0064.jpg |  Nissan Almera II (N16)1.8 MT (116 л.с.)  | #9c9999 | 265 000 |  2006  |  47 382 км  |  1.8 MT (116 л.с.)седан, бензин, передний  | Москва | 23.01.15
1006874193-64bca | http://is6.auto.ru/all/images/9e/fd/60x45/9efd2d3e.jpg |  Nissan Almera II (N16)1.5 MT (98 л.с.)  | #0000FF | 230 000 |  2004  |  130 000 км  |  1.5 MT (98 л.с.)седан, бензин, передний  | Лесной Городок | 16.01.15
1006463723-68523 | http://is10.auto.ru/all/images/e2/74/60x45/e274533b.jpg |  Nissan Almera II (N16)1.5 MT (90 л.с.)  | #34ba2b | 190 000 |  2002  |  195 000 км  |  1.5 MT (90 л.с.)седан, бензин, передний  | Великие Луки | 16.01.15
1006873763-bb342 | /i/all7/img/no-photo-thumb.gif |  Nissan Almera III (G15)1.6 MT (102 л.с.)  | #FFFFFF | 700 000 |  2014  |  1 300 км  |  1.6 MT (102 л.с.)седан, бензин, передний  | Воронеж | 16.01.15
1006872629-baf5 | http://is9.auto.ru/all/images/e5/63/60x45/e563e5a1.jpg |  Nissan Almera II (N16)1.8 MT (114 л.с.)  | #0000FF | 190 000 |  2001  |  210 000 км  |  1.8 MT (114 л.с.)седан, бензин, передний  | Гусь-Хрустальный | 16.01.15
1006871541-6e1b1 | http://is18.auto.ru/all/images/16/87/60x45/1687f048.jpg |  Nissan Almera I (N15)1.6 MT (90 л.с.)  | #CACECB | 175 000 |  1995  |  330 000 км  |  1.6 MT (90 л.с.)седан, бензин, передний  | Строитель | 16.01.15
1005318733-995c | http://is6.auto.ru/all/images/05/44/60x45/0544ed9c.jpg |  Nissan Almera III (G15)1.6 AT (102 л.с.)  | #FFFFFF | 770 000 |  2013  |  31 000 км  |  1.6 AT (102 л.с.)седан, бензин, передний  | Смоленск | 16.01.15
1006871671-b0596 | http://is10.auto.ru/all/images/65/d2/60x45/65d23980.jpg |  Nissan Almera I (N15)1.4 MT (75 л.с.)  | #0000FF | 135 000 |  1998  |  240 000 км  |  1.4 MT (75 л.с.)хэтчбек, бензин, передний  | Москва | 16.01.15
1006868007-d0b36 | http://is17.auto.ru/all/images/cf/ec/60x45/cfec5ef3.jpg |  Nissan Almera II (N16)1.5 MT (98 л.с.)  | #CACECB | 235 000 |  2004  |  132 000 км  |  1.5 MT (98 л.с.)седан, бензин, передний  | Ярославль | 16.01.15
1002878625-faf08 | http://is6.auto.ru/all/images/b7/fb/60x45/b7fb9dde.jpg |  Nissan Almera II (N16)1.5 MT (98 л.с.)  | #CACECB | 320 280 |  2005  |  151 637 км  |  1.5 MT (98 л.с.)седан, бензин, передний  | Москва | 16.01.15
46617804-4ada0 | http://is15.auto.ru/all/images/30/9f/60x45/309fc965.jpg |  Nissan Almera II (N16)1.5 MT (98 л.с.)  | #9c9999 | 273 360 |  2005  |  162 348 км  |  1.5 MT (98 л.с.)седан, бензин, передний  | Москва | 16.01.15
1004360147-b772 | http://is14.auto.ru/all/images/b3/09/60x45/b309bdfe.jpg |  Nissan Almera II (N16)1.5 MT (98 л.с.)  | #0000FF | 275 000 |  2005  |  91 000 км  |  1.5 MT (98 л.с.)хэтчбек, бензин, передний  | Ельня | 16.01.15
1006864207-8641a | http://is4.auto.ru/all/images/b1/26/60x45/b1261628.jpg |  Nissan Almera II (N16)1.5 MT (98 л.с.)  | #000000 | 255 000 |  2005  |  75 000 км  |  1.5 MT (98 л.с.)хэтчбек, бензин, передний  | Видное | 16.01.15
1006862509-06e35 | http://is6.auto.ru/all/images/3d/c1/60x45/3dc1d2ad.jpg |  Nissan Almera II (N16)1.5 MT (98 л.с.)  | #CACECB | 260 000 |  2005  |  196 000 км  |  1.5 MT (98 л.с.)хэтчбек, бензин, передний  | Москва | 16.01.15
1006862909-3b820 | http://is1.auto.ru/all/images/4d/21/60x45/4d21dbe8.jpg |  Nissan Almera II (N16)1.5 MT (98 л.с.)  | #CACECB | 277 000 |  2006  |  68 000 км  |  1.5 MT (98 л.с.)хэтчбек, бензин, передний  | Москва | 16.01.15
1006111635-329dae | http://is14.auto.ru/all/images/70/0a/60x45/700a5ed7.jpg |  Nissan Almera II (N16)1.5 MT (98 л.с.)  | #000000 | 270 000 |  2006  |  103 000 км  |  1.5 MT (98 л.с.)седан, бензин, передний  | Сыктывкар | 16.01.15
1006313851-eecce1 | http://is8.auto.ru/all/images/ec/83/60x45/ec8376b3.jpg |  Nissan Almera II (N16)1.5 MT (98 л.с.)  | #34ba2b | 297 700 |  2006  |  153 000 км  |  1.5 MT (98 л.с.)хэтчбек, бензин, передний  | Москва | 16.01.15
1006802139-1a767 | http://is18.auto.ru/all/images/b0/d8/60x45/b0d8a70c.jpg |  Nissan Almera II (N16)1.8 AT (116 л.с.)  | #9c9999 | 260 900 |  2004  |  145 000 км  |  1.8 AT (116 л.с.)седан, бензин, передний  | Москва | 16.01.15
1000485275-dcabe | http://is6.auto.ru/all/images/17/59/60x45/1759e526.jpg |  Nissan Almera II (N16)1.5 MT (98 л.с.)  | #FFCC00 | 220 000 |  2004  |  185 000 км  |  1.5 MT (98 л.с.)седан, бензин, передний  | Воронеж | 16.01.15
1001403005-6a436 | http://is18.auto.ru/all/images/5e/16/60x45/5e166998.jpg |  Nissan Almera II (N16)1.5 MT (98 л.с.)  | #9c9999 | 290 000 |  2005  |  102 000 км  |  1.5 MT (98 л.с.)хэтчбек, бензин, передний  | Москва | 16.01.15
1006857409-5463 | http://is14.auto.ru/all/images/f2/72/60x45/f27214c6.jpg |  Nissan Almera II (N16)1.8 MT (116 л.с.)  | #9c9999 | 255 000 |  2004  |  119 000 км  |  1.8 MT (116 л.с.)седан, бензин, передний  | Нижний Новгород | 16.01.15
1006857645-3ffe | http://is6.auto.ru/all/images/b0/ec/60x45/b0ecf188.jpg |  Nissan Almera III (G15)1.6 MT (102 л.с.)  | #CACECB | 502 000 |  2014  |  12 км  |  1.6 MT (102 л.с.)седан, бензин, передний  | Нижний Новгород | 16.01.15
1006851019-a3e5 | /i/all7/img/no-photo-thumb.gif |  Nissan Almera II (N16)1.8 MT (116 л.с.)  | #fde910 | 245 000 |  2004  |  215 000 км  |  1.8 MT (116 л.с.)седан, бензин, передний  | Москва | 16.01.15
1006839545-4a37 | http://is9.auto.ru/all/images/23/11/60x45/23115e2b.jpg |  Nissan Almera III (G15)1.6 MT (102 л.с.)  | #000000 | 680 000 |  2014  |  1 001 км  |  1.6 MT (102 л.с.)седан, бензин, передний  | Санкт-Петербург | 16.01.15
1006839535-571ab | http://is9.auto.ru/all/images/fd/fb/60x45/fdfb3fba.jpg |  Nissan Almera III (G15)1.6 MT (102 л.с.)  | #000000 | 665 000 |  2014  |  1 001 км  |  1.6 MT (102 л.с.)седан, бензин, передний  | Санкт-Петербург | 16.01.15
1006816657-cd51a | http://is2.auto.ru/all/images/22/e1/60x45/22e1552a.jpg |  Nissan Almera I (N15)1.4 MT (87 л.с.)  | #34ba2b | 95 000 |  1997  |  260 000 км  |  1.4 MT (87 л.с.)седан, бензин, передний  | Воронеж | 16.01.15
1006815831-58532 | http://is15.auto.ru/all/images/79/9e/60x45/799ef8d5.jpg |  Nissan Almera II (N16)1.5 MT (98 л.с.)  | #000000 | 250 000 |  2005  |  148 000 км  |  1.5 MT (98 л.с.)седан, бензин, передний  | Арзамас | 16.01.15
1006814619-8db44 | http://is6.auto.ru/all/images/a4/8d/60x45/a48d6e80.jpg |  Nissan Almera II (N16)1.8 MT (116 л.с.)  | #000000 | 300 000 |  2006  |  130 000 км  |  1.8 MT (116 л.с.)седан, бензин, передний  | Обнинск | 15.01.15
1006813217-a2f24 | http://is5.auto.ru/all/images/0a/20/60x45/0a20e1fe.jpg |  Nissan Almera II (N16)1.5 MT (98 л.с.)  | #9c9999 | 260 000 |  2005  |  130 000 км  |  1.5 MT (98 л.с.)седан, бензин, передний  | Калуга | 15.01.15
1006813169-4c88a | http://is5.auto.ru/all/images/0a/20/60x45/0a20e1fe.jpg |  Nissan Almera II (N16)1.5 MT (98 л.с.)  | #9c9999 | 260 000 |  2005  |  130 000 км  |  1.5 MT (98 л.с.)седан, бензин, передний  | Калуга | 15.01.15
1006812689-d61db | /i/all7/img/no-photo-thumb.gif |  Nissan Almera III (G15)1.6 MT (102 л.с.)  | #CACECB | 520 000 |  2014  |  7 000 км  |  1.6 MT (102 л.с.)седан, бензин, передний  | Маркс | 15.01.15
1006808017-51fc7 | http://is2.auto.ru/all/images/b1/6b/60x45/b16bfe5e.jpg |  Nissan Almera II (N16)1.8 AT (116 л.с.)  | #0088ff | 290 000 |  2005  |  235 000 км  |  1.8 AT (116 л.с.)седан, бензин, передний  | Ростов-на-Дону | 15.01.15
1006318623-b8aa | http://is16.auto.ru/all/images/db/dc/60x45/dbdcfac8.jpg |  Nissan Almera II (N16)1.8 AT (116 л.с.)  | #FFCC00 | 250 000 |  2004  |  74 500 км  |  1.8 AT (116 л.с.)седан, бензин, передний  | Москва | 15.01.15
1006808349-ea4c | http://is17.auto.ru/all/images/8f/3e/60x45/8f3ee295.jpg |  Nissan Almera II (N16)1.5 MT (98 л.с.)  | #0000FF | 280 000 |  2005  |  160 000 км  |  1.5 MT (98 л.с.)хэтчбек, бензин, передний  | Москва | 15.01.15
1006807687-469098 | http://is8.auto.ru/all/images/0b/a3/60x45/0ba3fdd2.jpg |  Nissan Almera II (N16)1.8 AT (116 л.с.)  | #9c9999 | 220 000 |  2004  |  168 км  |  1.8 AT (116 л.с.)седан, бензин, передний  | Зеленоград | 15.01.15
1005568835-51ff | http://is7.auto.ru/all/images/0d/e6/60x45/0de6344d.jpg |  Nissan Almera III (G15)1.6 AT (102 л.с.)  | #FFFFFF | 620 000 |  2014  |  7 200 км  |  1.6 AT (102 л.с.)седан, бензин, передний  | Москва | 15.01.15
1005969609-88d0 | http://is6.auto.ru/all/images/4d/15/60x45/4d1529d0.jpg |  Nissan Almera II (N16)1.8 AT (116 л.с.)  | #FFCC00 | 255 555 |  2004  |  220 000 км  |  1.8 AT (116 л.с.)седан, бензин, передний  | Москва | 15.01.15
46697224-48a5 | http://is4.auto.ru/all/images/72/1c/60x45/721c197c.jpg |  Nissan Almera II (N16)1.5 MT (98 л.с.)  | #000000 | 240 000 |  2005  |  150 000 км  |  1.5 MT (98 л.с.)седан, бензин, передний  | Брянск | 15.01.15
48403184-c4b1f3 | http://is17.auto.ru/all/images/cf/08/60x45/cf08329c.jpg |  Nissan Almera II (N16)1.8 AT (116 л.с.)  | #000000 | 377 400 |  2006  |  98 222 км  |  1.8 AT (116 л.с.)седан, бензин, передний  | Москва | 15.01.15
1003058416-557512 | http://is12.auto.ru/all/images/5c/7d/60x45/5c7d0f21.jpg |  Nissan Almera II (N16)1.5 MT (98 л.с.)  | #CACECB | 343 230 |  2004  |  54 483 км  |  1.5 MT (98 л.с.)седан, бензин, передний  | Москва | 15.01.15
1005639631-248c | http://is10.auto.ru/all/images/84/4c/60x45/844ccd82.jpg |  Nissan Almera II (N16)1.8 MT (116 л.с.)  | #000000 | 265 000 |  2004  |  200 168 км  |  1.8 MT (116 л.с.)седан, бензин, передний  | Москва | 15.01.15
1006799699-14051c | http://is9.auto.ru/all/images/e8/a8/60x45/e8a8ce1f.jpg |  Nissan Almera II (N16)1.5 MT (98 л.с.)  | #9c9999 | 239 000 |  2005  |  103 000 км  |  1.5 MT (98 л.с.)седан, бензин, передний  | Санкт-Петербург | 15.01.15
1006800629-8dd5 | http://is6.auto.ru/all/images/8f/7d/60x45/8f7dd216.jpg |  Nissan Almera II (N16)1.8 MT (116 л.с.)  | #000000 | 260 000 |  2005  |  107 000 км  |  1.8 MT (116 л.с.)седан, бензин, передний  | Санкт-Петербург | 15.01.15
1006798917-289ecf | http://is15.auto.ru/all/images/88/3f/60x45/883fa368.jpg |  Nissan Almera II (N16)1.5 MT (98 л.с.)  | #9c9999 | 240 000 |  2003  |  221 000 км  |  1.5 MT (98 л.с.)хэтчбек, бензин, передний  | Воронеж | 15.01.15
1006680857-21a07 | http://is17.auto.ru/all/images/92/96/60x45/92966d23.jpg |  Nissan Almera III (G15)1.6 MT (102 л.с.)  | #CACECB | 559 000 |  2014  |  34 км  |  1.6 MT (102 л.с.)седан, бензин, передний  | Курск | 15.01.15
1006795611-67cff8 | http://is4.auto.ru/all/images/4a/20/60x45/4a205c90.jpg |  Nissan Almera I (N15)1.4 MT (87 л.с.)  | #000000 | 143 000 |  1998  |  130 000 км  |  1.4 MT (87 л.с.)седан, бензин, передний  | Москва | 15.01.15
1006782711-0732 | http://is12.auto.ru/all/images/dc/1a/60x45/dc1a663d.jpg |  Nissan Almera II (N16)1.5 MT (98 л.с.)  | #000000 | 277 777 |  2006  |  156 000 км  |  1.5 MT (98 л.с.)седан, бензин, передний  | Москва | 15.01.15
1006754801-15f6a3 | /i/all7/img/no-photo-thumb.gif |  Nissan Almera II (N16)1.8 AT (116 л.с.)  | #0088ff | 220 000 |  2005  |  160 000 км  |  1.8 AT (116 л.с.)седан, бензин, передний  | Зеленоград | 15.01.15
1006752665-b489c | http://is8.auto.ru/all/images/07/96/60x45/0796b25c.jpg |  Nissan Almera I (N15)1.6 MT (90 л.с.)  | #0000FF | 150 000 |  1999  |  140 000 км  |  1.6 MT (90 л.с.)седан, бензин, передний  | Коломна | 14.01.15
1005385093-c3d2 | http://is4.auto.ru/all/images/ca/41/60x45/ca41e44f.jpg |  Nissan Almera II (N16)1.5 MT (90 л.с.)  | #0000FF | 235 000 |  2002  |  110 000 км  |  1.5 MT (90 л.с.)седан, бензин, передний  | Шуя | 14.01.15
1002615771-65e3 | http://is18.auto.ru/all/images/bc/55/60x45/bc55fc36.jpg |  Nissan Almera I (N15)1.4 MT (87 л.с.)  | #34ba2b | 90 000 |  1998  |  220 000 км  |  1.4 MT (87 л.с.)седан, бензин, передний  | Осташков | 14.01.15
1006750231-d439c6 | /i/all7/img/no-photo-thumb.gif |  Nissan Almera I (N15)2.0d MT (76 л.с.)  | #FFFFFF | 294 300 |  1999  |  290 000 км  |  2.0d MT (76 л.с.)хэтчбек, дизель, передний  | Полоцк | 14.01.15
1006748631-aea1 | http://is7.auto.ru/all/images/63/6e/60x45/636edbf6.jpg |  Nissan Almera III (G15)1.6 AT (102 л.с.)  | #CACECB | 690 000 |  2014  |  2 000 км  |  1.6 AT (102 л.с.)седан, бензин, передний  | Челябинск | 14.01.15
1005577923-25523 | http://is8.auto.ru/all/images/0d/48/60x45/0d487f7d.jpg |  Nissan Almera III (G15)1.6 MT (102 л.с.)  | #000000 | 630 000 |  2014  |  26 км  |  1.6 MT (102 л.с.)седан, бензин, передний  | Самара | 14.01.15
1006744151-b10d | http://is12.auto.ru/all/images/d9/8a/60x45/d98ac25a.jpg |  Nissan Almera I (N15)1.6 MT (99 л.с.)  | #34ba2b | 140 000 |  1998  |  200 000 км  |  1.6 MT (99 л.с.)седан, бензин, передний  | Москва | 14.01.15
13840532-27e31 | http://is9.auto.ru/all/images/ba/d0/60x45/bad01d5f.jpg |  Nissan Almera II (N16)1.8 AT (114 л.с.)  | #34ba2b | 294 300 |  2001  |  140 000 км  |  1.8 AT (114 л.с.)седан, бензин, передний  | Москва | 14.01.15
1006742495-40918 | http://is5.auto.ru/all/images/7a/6e/60x45/7a6e95eb.jpg |  Nissan Almera II (N16)1.8 MT (116 л.с.)  | #CACECB | 225 000 |  2004  |  170 000 км  |  1.8 MT (116 л.с.)седан, бензин, передний  | Железнодорожный | 14.01.15
1006742451-5a0c2 | /i/all7/img/no-photo-thumb.gif |  Nissan Almera III (G15)1.6 MT (102 л.с.)  | #9c9999 | 100 000 |  2014  |  10 км  |  1.6 MT (102 л.с.)седан, бензин, передний  | Москва | 14.01.15
1005030903-44af3b | http://is15.auto.ru/all/images/a0/af/60x45/a0af1853.jpg |  Nissan Almera II (N16)1.8 MT (116 л.с.)  | #CC0033 | 250 000 |  2004  |  117 000 км  |  1.8 MT (116 л.с.)хэтчбек, бензин, передний  | Москва | 14.01.15
1006739315-71bf1 | http://is3.auto.ru/all/images/b4/87/60x45/b4879afc.jpg |  Nissan Almera II (N16)1.8 MT (116 л.с.)  | #9c9999 | 297 000 |  2004  |  97 000 км  |  1.8 MT (116 л.с.)седан, бензин, передний  | Иваново | 14.01.15
1003925326-dd04 | http://is5.auto.ru/all/images/47/d1/60x45/47d18a2d.jpg |  Nissan Almera II (N16)1.5 MT (90 л.с.)  | #0088ff | 180 000 |  2000  |  150 000 км  |  1.5 MT (90 л.с.)хэтчбек, бензин, передний  | Кострома | 14.01.15
1005104361-63d7 | http://is13.auto.ru/all/images/e5/d9/60x45/e5d9bfe8.jpg |  Nissan Almera II (N16)1.5 MT (90 л.с.)  | #CACECB | 170 000 |  2001  |  145 000 км  |  1.5 MT (90 л.с.)седан, бензин, передний  | Киржач | 14.01.15
1006316959-139099 | http://is12.auto.ru/all/images/56/0b/60x45/560b3ae6.jpg |  Nissan Almera II (N16)1.8 AT (116 л.с.)  | #CACECB | 235 000 |  2003  |  145 000 км  |  1.8 AT (116 л.с.)седан, бензин, передний  | Москва | 14.01.15
1006203303-28184 | http://is2.auto.ru/all/images/7b/c4/60x45/7bc4ba9a.jpg |  Nissan Almera II (N16)1.8 MT (114 л.с.)  | #34ba2b | 230 000 |  2001  |  80 000 км  |  1.8 MT (114 л.с.)хэтчбек, бензин, передний  | Россошь | 14.01.15
1006735701-fc94 | http://is6.auto.ru/all/images/27/7b/60x45/277b3560.jpg |  Nissan Almera III (G15)1.6 AT (102 л.с.)  | #FFFFFF | 639 000 |  2015  |  2 496 км  |  1.6 AT (102 л.с.)седан, бензин, передний  | Санкт-Петербург | 14.01.15
1006734999-41de8 | http://is7.auto.ru/all/images/ed/c2/60x45/edc23a30.jpg |  Nissan Almera II (N16)1.5 MT (98 л.с.)  | #9c9999 | 253 000 |  2006  |  160 000 км  |  1.5 MT (98 л.с.)седан, бензин, передний  | Москва | 14.01.15
1006700819-540012 | http://is10.auto.ru/all/images/b4/d2/60x45/b4d2ed73.jpg |  Nissan Almera III (G15)1.6 MT (102 л.с.)  | #FFFFFF | 429 000 |  2014  | Новый |  1.6 MT (102 л.с.)седан, бензин, передний  | Москва | 14.01.15
1006700831-006e | http://is9.auto.ru/all/images/a1/c3/60x45/a1c31c5b.jpg |  Nissan Almera III (G15)1.6 AT (102 л.с.)  | #000000 | 502 000 |  2014  | Новый |  1.6 AT (102 л.с.)седан, бензин, передний  | Москва | 14.01.15
46393304-2a41f5 | http://is16.auto.ru/all/images/a8/20/60x45/a820ee37.jpg |  Nissan Almera II (N16)1.8 MT (116 л.с.)  | #000000 | 260 000 |  2005  |  170 000 км  |  1.8 MT (116 л.с.)седан, бензин, передний  | Санкт-Петербург | 14.01.15
1006691925-20047 | http://is17.auto.ru/all/images/61/cb/60x45/61cb033f.jpg |  Nissan Almera I (N15)1.6 AT (90 л.с.)  | #CACECB | 130 000 |  1999  |  200 000 км  |  1.6 AT (90 л.с.)хэтчбек, бензин, передний  | Москва | 14.01.15
1006689645-f7b3f2 | http://is10.auto.ru/all/images/06/87/60x45/06871b58.jpg |  Nissan Almera II (N16)1.5 MT (90 л.с.)  | #0088ff | 170 000 |  2001  |  163 000 км  |  1.5 MT (90 л.с.)седан, бензин, передний  | Нижний Новгород | 13.01.15
46044418-e0ab | http://is16.auto.ru/all/images/a1/02/60x45/a102be11.jpg |  Nissan Almera II (N16)1.5 MT (98 л.с.)  | #0088ff | 345 000 |  2005  |  44 000 км  |  1.5 MT (98 л.с.)седан, бензин, передний  | Жуковка | 13.01.15
1005163001-20e9d1 | http://is15.auto.ru/all/images/3e/80/60x45/3e807c3f.jpg |  Nissan Almera II (N16)1.5 MT (98 л.с.)  | #CACECB | 249 000 |  2005  |  103 500 км  |  1.5 MT (98 л.с.)седан, бензин, передний  | Санкт-Петербург | 13.01.15
1006686791-066a | http://is14.auto.ru/all/images/04/17/60x45/0417e7e7.jpg |  Nissan Almera II (N16)1.5 MT (98 л.с.)  | #000000 | 299 999 |  2006  |  96 000 км  |  1.5 MT (98 л.с.)хэтчбек, бензин, передний  | Москва | 13.01.15
1005974455-85c8d7 | http://is17.auto.ru/all/images/d9/05/60x45/d905869a.jpg |  Nissan Almera II (N16)1.8 MT (116 л.с.)  | #000000 | 300 000 |  2005  |  167 000 км  |  1.8 MT (116 л.с.)хэтчбек, бензин, передний  | Москва | 13.01.15
1006684105-e6da9 | http://is17.auto.ru/all/images/82/09/60x45/8209d5df.jpg |  Nissan Almera II (N16)1.8 AT (116 л.с.)  | #CACECB | 285 000 |  2006  |  146 000 км  |  1.8 AT (116 л.с.)седан, бензин, передний  | Зеленогорск | 13.01.15
1006523149-215ad | http://is18.auto.ru/all/images/16/8e/60x45/168e7d09.jpg |  Nissan Almera I (N15)1.6 AT (99 л.с.)  | #34ba2b | 135 000 |  1997  |  131 000 км  |  1.6 AT (99 л.с.)седан, бензин, передний  | Брянск | 13.01.15
46956440-fb61 | http://is17.auto.ru/all/images/c4/49/60x45/c449c302.jpg |  Nissan Almera II (N16)1.8 MT (116 л.с.)  | #9c9999 | 290 000 |  2005  |  187 000 км  |  1.8 MT (116 л.с.)седан, бензин, передний  | Белгород | 13.01.15
1006680703-213e7 | http://is14.auto.ru/all/images/74/46/60x45/744652e8.jpg |  Nissan Almera II (N16)1.5 MT (98 л.с.)  | #9c9999 | 250 000 |  2004  |  141 000 км  |  1.5 MT (98 л.с.)хэтчбек, бензин, передний  | Москва | 13.01.15
1003548236-76f921 | http://is15.auto.ru/all/images/1e/c0/60x45/1ec02181.jpg |  Nissan Almera I (N15)1.6 MT (99 л.с.)  | #CACECB | 103 000 |  1999  |  160 000 км  |  1.6 MT (99 л.с.)седан, бензин, передний  | Санкт-Петербург | 13.01.15
1005753717-6c8a47 | http://is17.auto.ru/all/images/c9/28/60x45/c928abe8.jpg |  Nissan Almera II (N16)1.5 MT (90 л.с.)  | #000000 | 195 000 |  2001  |  110 000 км  |  1.5 MT (90 л.с.)хэтчбек, бензин, передний  | Санкт-Петербург | 13.01.15
1006214565-88d81 | http://is8.auto.ru/all/images/2b/40/60x45/2b403094.jpg |  Nissan Almera II (N16)1.8 AT (116 л.с.)  | #CACECB | 299 000 |  2006  |  93 625 км  |  1.8 AT (116 л.с.)седан, бензин, передний  | Москва | 13.01.15
1004023686-77f920 | http://is6.auto.ru/all/images/69/7d/60x45/697da91a.jpg |  Nissan Almera II (N16)1.5 MT (98 л.с.)  | #9c9999 | 275 000 |  2006  |  213 000 км  |  1.5 MT (98 л.с.)седан, бензин, передний  | Санкт-Петербург | 13.01.15
1006673889-7ae3 | http://is2.auto.ru/all/images/08/74/60x45/08747b48.jpg |  Nissan Almera II (N16)1.8 MT (116 л.с.)  | #000000 | 270 000 |  2005  |  98 000 км  |  1.8 MT (116 л.с.)седан, бензин, передний  | Москва | 13.01.15
1006672601-67242 | http://is9.auto.ru/all/images/d0/60/60x45/d0603d9b.jpg |  Nissan Almera I (N15)1.6 AT (90 л.с.)  | #34ba2b | 120 000 |  1998  |  320 000 км  |  1.6 AT (90 л.с.)седан, бензин, передний  | Малоярославец | 13.01.15
1002019441-5b5e4 | http://is2.auto.ru/all/images/e7/5e/60x45/e75ecf78.jpg |  Nissan Almera II (N16)1.5 MT (98 л.с.)  | #9c9999 | 225 000 |  2003  |  115 000 км  |  1.5 MT (98 л.с.)седан, бензин, передний  | Рязань | 13.01.15
1003549008-3084 | http://is17.auto.ru/all/images/ad/8a/60x45/ad8a099a.jpg |  Nissan Almera II (N16)1.5 MT (98 л.с.)  | #000000 | 270 000 |  2004  |  207 000 км  |  1.5 MT (98 л.с.)седан, бензин, передний  | Воронеж | 12.01.15
1006513887-e0be | /i/all7/img/no-photo-thumb.gif |  Nissan Almera I (N15)1.6 MT (99 л.с.)  | #9c9999 | 77 000 |  1997  |  180 000 км  |  1.6 MT (99 л.с.)хэтчбек, бензин, передний  | Астрахань | 12.01.15
46535298-0eec | http://is3.auto.ru/all/images/4c/da/60x45/4cda3622.jpg |  Nissan Almera I (N15)1.4 MT (75 л.с.)  | #FF0000 | 100 000 |  1997  |  187 000 км  |  1.4 MT (75 л.с.)седан, бензин, передний  | Ярославль | 12.01.15
45039452-771d | http://is7.auto.ru/all/images/16/e4/60x45/16e46408.jpg |  Nissan Almera III (G15)1.6 AT (102 л.с.)  | #CACECB | 510 000 |  2014  | Новый |  1.6 AT (102 л.с.)седан, бензин, передний  | Санкт-Петербург | 12.01.15
1006310541-0c4fb | http://is2.auto.ru/all/images/ac/0c/60x45/ac0c4a44.jpg |  Nissan Almera II (N16)1.8 MT (116 л.с.)  | #000000 | 422 400 |  2006  |  101 249 км  |  1.8 MT (116 л.с.)седан, бензин, передний  | Москва | 12.01.15
1002418121-eaed6 | http://is16.auto.ru/all/images/6c/ad/60x45/6cad9c3c.jpg |  Nissan Almera III (G15)1.6 AT (102 л.с.)  | #000000 | 670 000 |  2013  |  31 200 км  |  1.6 AT (102 л.с.)седан, бензин, передний  | Москва | 12.01.15
46967152-bfd9 | http://is9.auto.ru/all/images/83/11/60x45/8311821d.jpg |  Nissan Almera I (N15)1.4 MT (87 л.с.)  | #FF0000 | 100 000 |  1997  |  238 169 км  |  1.4 MT (87 л.с.)седан, бензин, передний  | Трубчевск | 12.01.15
1006624421-a7fd93 | http://is15.auto.ru/all/images/ab/2e/60x45/ab2ed1e1.jpg |  Nissan Almera II (N16)1.5 MT (98 л.с.)  | #0000FF | 267 999 |  2005  |  50 000 км  |  1.5 MT (98 л.с.)седан, бензин, передний  | Череповец | 12.01.15
1004621153-8800 | http://is2.auto.ru/all/images/6c/72/60x45/6c7258d1.jpg |  Nissan Almera I (N15)1.4 MT (75 л.с.)  | #FFFFFF | 130 000 |  1998  |  270 000 км  |  1.4 MT (75 л.с.)хэтчбек, бензин, передний  | Москва | 12.01.15
1006621613-962bc4 | http://is14.auto.ru/all/images/e5/f6/60x45/e5f6487f.jpg |  Nissan Almera I (N15)1.4 MT (75 л.с.)  | #34ba2b | 115 000 |  1997  |  120 000 км  |  1.4 MT (75 л.с.)хэтчбек, бензин, передний  | Санкт-Петербург | 12.01.15
1004643319-6312d | http://is17.auto.ru/all/images/17/e5/60x45/17e54519.jpg |  Nissan Almera II (N16)1.5 MT (98 л.с.)  | #9c9999 | 325 000 |  2005  |  90 000 км  |  1.5 MT (98 л.с.)хэтчбек, бензин, передний  | Домодедово | 12.01.15
1003691200-da024 | http://is3.auto.ru/all/images/c3/77/60x45/c3770945.jpg |  Nissan Almera II (N16)1.8 AT (116 л.с.)  | #CACECB | 280 000 |  2006  |  171 000 км  |  1.8 AT (116 л.с.)седан, бензин, передний  | Курск | 12.01.15
1004700689-d7c1bd | http://is3.auto.ru/all/images/07/fd/60x45/07fdd4e5.jpg |  Nissan Almera II (N16)1.8 MT (116 л.с.)  | #000000 | 408 000 |  2006  |  125 854 км  |  1.8 MT (116 л.с.)хэтчбек, бензин, передний  | Москва | 12.01.15
1006615475-3d0f | /i/all7/img/no-photo-thumb.gif |  Nissan Almera I (N15)1.6 AT (90 л.с.)  | #34ba2b | 110 000 |  1999  |  256 000 км  |  1.6 AT (90 л.с.)седан, бензин, передний  | Москва | 12.01.15
1006574645-2475 | /i/all7/img/no-photo-thumb.gif |  Nissan Almera III (G15)1.6 MT (102 л.с.)  | #000000 | 480 000 |  2014  |  5 000 км  |  1.6 MT (102 л.с.)седан, бензин, передний  | Москва | 11.01.15
1006574463-a58c | http://is7.auto.ru/all/images/7b/e8/60x45/7be84c9f.jpg |  Nissan Almera II (N16)1.8 AT (116 л.с.)  | #000000 | 285 000 |  2006  |  150 000 км  |  1.8 AT (116 л.с.)седан, бензин, передний  | Москва | 11.01.15
