1005759681-b680 | http://is12.auto.ru/all/images/14/5e/60x45/145e6411.jpg |  Volkswagen Golf II1.6 MT (75 л.с.)  | #FF0000 | 110 000 |  1985  |  125 000 км  |  1.6 MT (75 л.с.)хэтчбек, бензин, передний  | Новочеркасск | 22.01.15
1005655531-668f | http://is9.auto.ru/all/images/f2/49/60x45/f2497ba4.jpg |  Volkswagen Multivan T52.5d MT (131 л.с.)  | #FFFFFF | 1 265 000 |  2008  |  151 000 км  |  2.5d MT (131 л.с.)минивэн, дизель, передний  | Москва | 22.01.15
1003003236-bcfd | http://is18.auto.ru/all/images/3e/6a/60x45/3e6a66bc.jpg |  Volkswagen Passat B42.0 MT (115 л.с.)  | #000000 | 140 000 |  1994  |  250 000 км  |  2.0 MT (115 л.с.)седан, бензин, передний  | Волгоград | 22.01.15
34053976-16421e | http://is13.auto.ru/all/images/88/17/60x45/8817c415.jpg |  Volkswagen Golf IV1.4 MT (75 л.с.)  | #000000 | 290 000 |  2002  |  185 000 км  |  1.4 MT (75 л.с.)хэтчбек, бензин, передний  | Иваново | 22.01.15
1007241767-243d | http://is13.auto.ru/all/images/d0/44/60x45/d04452ef.jpg |  Volkswagen Passat B42.0 MT (115 л.с.)  | #000000 | 99 973 |  1994  |  295 000 км  |  2.0 MT (115 л.с.)универсал, бензин, передний  | Подольск | 22.01.15
1007241613-33bdb | /i/all7/img/no-photo-thumb.gif |  Volkswagen Passat B71.8 AT (152 л.с.)  | #000000 | 850 000 |  2011  |  90 000 км  |  1.8 AT (152 л.с.)седан, бензин, передний  | Москва | 22.01.15
1007172081-f1657 | http://is3.auto.ru/all/images/17/44/60x45/1744e253.jpg |  Volkswagen Polo V1.6 AT (105 л.с.)  | #FFFFFF | 620 000 |  2012  |  24 000 км  |  1.6 AT (105 л.с.)седан, бензин, передний  | Москва | 22.01.15
44203934-c493c2 | http://is3.auto.ru/all/images/9d/29/60x45/9d29d306.jpg |  Volkswagen Touareg II3.0d AT (245 л.с.) 4WD  | #CACECB | 1 920 000 |  2011  |  31 200 км  |  3.0d AT (245 л.с.) 4WDвнедорожник, дизель, полный  | Москва | 22.01.15
1007216971-42d27 | http://is14.auto.ru/all/images/18/40/60x45/18401b92.jpg |  Volkswagen Polo V1.6 MT (105 л.с.)  | #FF0000 | 485 000 |  2013  |  58 170 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Москва | 22.01.15
1007216979-c39d57 | http://is2.auto.ru/all/images/d1/fa/60x45/d1fac8e7.jpg |  Volkswagen Golf VII1.4 AT (122 л.с.)  | #FFFFFF | 620 000 |  2012  |  51 365 км  |  1.4 AT (122 л.с.)хэтчбек, бензин, передний  | Москва | 22.01.15
1001826763-490144 | http://is17.auto.ru/all/images/c9/49/60x45/c949ee71.jpg |  Volkswagen Caravelle T42.5d MT (102 л.с.)  | #FF0000 | 445 000 |  1998  |  405 000 км  |  2.5d MT (102 л.с.)минивэн, дизель, передний  | Вологда | 22.01.15
1006523877-c9d52 | http://is16.auto.ru/all/images/11/c9/60x45/11c9a3e6.jpg |  Volkswagen Tiguan I Рестайлинг1.4 AT (150 л.с.)  | #CACECB | 1 049 000 |  2013  |  41 000 км  |  1.4 AT (150 л.с.)внедорожник, бензин, передний  | Санкт-Петербург | 22.01.15
1007039515-b5a03 | http://is8.auto.ru/all/images/cb/5d/60x45/cb5db082.jpg |  Volkswagen Tiguan I Рестайлинг2.0 AT (170 л.с.) 4WD  | #926547 | 1 270 000 |  2014  |  14 000 км  |  2.0 AT (170 л.с.) 4WDвнедорожник, бензин, полный  | Вологда | 22.01.15
1005567001-985c | http://is17.auto.ru/all/images/6e/08/60x45/6e08e058.jpg |  Volkswagen Passat CC I1.8 AT (152 л.с.)  | #000000 | 760 000 |  2010  |  67 000 км  |  1.8 AT (152 л.с.)седан, бензин, передний  | Москва | 22.01.15
1007241689-d3715 | http://is15.auto.ru/all/images/66/17/60x45/6617e2a4.jpg |  Volkswagen Sharan I2.0 MT (115 л.с.)  | #34ba2b | 260 000 |  1996  |  300 000 км  |  2.0 MT (115 л.с.)минивэн, бензин, передний  | Погар | 22.01.15
1007043109-b78bc4 | http://is9.auto.ru/all/images/4c/02/60x45/4c0247ef.jpg |  Volkswagen Tiguan I2.0d AT (140 л.с.) 4WD  | #CACECB | 970 000 |  2011  |  70 000 км  |  2.0d AT (140 л.с.) 4WDвнедорожник, дизель, полный  | Москва | 22.01.15
1003133118-4f009d | http://is11.auto.ru/all/images/e7/20/60x45/e72070ff.jpg |  Volkswagen Touareg I Рестайлинг4.2 AT (350 л.с.) 4WD  | #000000 | 1 400 000 |  2008  |  127 000 км  |  4.2 AT (350 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 22.01.15
44056942-62a7a7 | http://is9.auto.ru/all/images/78/7d/60x45/787d74ab.jpg |  Volkswagen Golf VI1.4 AT (122 л.с.)  | #000000 | 665 000 |  2011  |  55 000 км  |  1.4 AT (122 л.с.)хэтчбек, бензин, передний  | Ростов-на-Дону | 22.01.15
1007241633-126b7 | http://is1.auto.ru/all/images/d0/b1/60x45/d0b118e2.jpg |  Volkswagen Passat B62.0 AT (150 л.с.)  | #CACECB | 530 000 |  2006  |  99 500 км  |  2.0 AT (150 л.с.)седан, бензин, передний  | Москва | 22.01.15
1007136629-4e6c52 | http://is12.auto.ru/all/images/f3/6f/60x45/f36f4f6c.jpg |  Volkswagen Polo V1.6 MT (105 л.с.)  | #CACECB | 498 890 |  2012  |  28 000 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Москва | 22.01.15
1006159773-be7f8 | http://is9.auto.ru/all/images/5c/19/60x45/5c199646.jpg |  Volkswagen Passat B31.8 MT (90 л.с.)  | #0000FF | 145 000 |  1993  |  230 000 км  |  1.8 MT (90 л.с.)универсал, бензин, передний  | Новозыбков | 22.01.15
1007111465-5c86cd | http://is5.auto.ru/all/images/3d/da/60x45/3dda228d.jpg |  Volkswagen Transporter T51.9d MT (85 л.с.)  | #FFFFFF | 450 000 |  2004  |  426 000 км  |  1.9d MT (85 л.с.)минивэн, дизель, передний  | Курск | 22.01.15
1007240047-400a0 | http://is11.auto.ru/all/images/a3/86/60x45/a3862cdc.jpg |  Volkswagen Touareg II3.6 AT (249 л.с.) 4WD  | #000000 | 2 050 000 |  2010  |  103 000 км  |  3.6 AT (249 л.с.) 4WDвнедорожник, бензин, полный  | Красноярск | 22.01.15
1007180525-3f5434 | http://is14.auto.ru/all/images/b7/f5/60x45/b7f57b38.jpg |  Volkswagen Multivan T5 Рестайлинг2.0d AT (180 л.с.) 4WD  | #926547 | 2 519 000 |  2012  |  63 000 км  |  2.0d AT (180 л.с.) 4WDминивэн, дизель, полный  | Москва | 22.01.15
1007240133-1dd2 | http://is16.auto.ru/all/images/23/c9/60x45/23c9f61b.jpg |  Volkswagen Passat B31.8 MT (90 л.с.)  | #000000 | 120 000 |  1993  |  250 000 км  |  1.8 MT (90 л.с.)универсал, бензин, передний  | Орел | 22.01.15
1006310839-397bd | http://is15.auto.ru/all/images/5a/6c/60x45/5a6c5eff.jpg |  Volkswagen Touareg I3.2 AT (220 л.с.) 4WD  | #CACECB | 610 000 |  2003  |  209 000 км  |  3.2 AT (220 л.с.) 4WDвнедорожник, бензин, полный  | Чебоксары | 22.01.15
1007240725-f4a5ac | http://is16.auto.ru/all/images/c8/24/60x45/c8248a05.jpg |  Volkswagen Caddy III Maxi1.9d MT (105 л.с.)  | #0000FF | 520 000 |  2010  |  137 000 км  |  1.9d MT (105 л.с.)компактвэн, дизель, передний  | Санкт-Петербург | 22.01.15
1007180417-4f6f8d | http://is16.auto.ru/all/images/98/51/60x45/985150d4.jpg |  Volkswagen Multivan T5 Рестайлинг2.0d AT (180 л.с.) 4WD  | #000000 | 2 525 000 |  2012  |  59 000 км  |  2.0d AT (180 л.с.) 4WDминивэн, дизель, полный  | Москва | 22.01.15
1006925405-ce374 | http://is3.auto.ru/all/images/3b/77/60x45/3b77d427.jpg |  Volkswagen Multivan T53.2 AT (235 л.с.)  | #000000 | 1 500 000 |  2009  |  89 500 км  |  3.2 AT (235 л.с.)минивэн, бензин, передний  | Котлас | 22.01.15
1007240743-0b6628 | http://is5.auto.ru/all/images/8b/90/60x45/8b90e3d1.jpg |  Volkswagen Golf VI1.6 AT (102 л.с.)  | #9966CC | 650 000 |  2010  |  62 500 км  |  1.6 AT (102 л.с.)хэтчбек, бензин, передний  | Москва | 22.01.15
1007149747-e3ec | http://is11.auto.ru/all/images/8c/a6/60x45/8ca68c8b.jpg |  Volkswagen Passat B51.9d MT (110 л.с.)  | #0000FF | 250 000 |  1999  |  303 650 км  |  1.9d MT (110 л.с.)универсал, дизель, передний  | Санкт-Петербург | 22.01.15
1007148505-3e9b36 | http://is6.auto.ru/all/images/37/6a/60x45/376af809.jpg |  Volkswagen Passat B71.8 AT (152 л.с.)  | #CACECB | 1 037 700 |  2012  |  63 200 км  |  1.8 AT (152 л.с.)седан, бензин, передний  | Москва | 22.01.15
1005641587-44e01a | http://is15.auto.ru/all/images/49/aa/60x45/49aa9775.jpg |  Volkswagen Touareg II3.6 AT (249 л.с.) 4WD  | #FFFFFF | 1 850 000 |  2012  |  70 000 км  |  3.6 AT (249 л.с.) 4WDвнедорожник, бензин, полный  | Рязань | 22.01.15
1007204991-6c21 | http://is18.auto.ru/all/images/5e/08/60x45/5e0800f6.jpg |  Volkswagen Touareg I3.2 AT (220 л.с.) 4WD  | #0000FF | 535 000 |  2004  |  182 600 км  |  3.2 AT (220 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 22.01.15
1007205135-c458 | http://is16.auto.ru/all/images/0f/9d/60x45/0f9d5204.jpg |  Volkswagen Touareg I Рестайлинг3.0d AT (224 л.с.) 4WD  | #000000 | 1 075 000 |  2007  |  117 400 км  |  3.0d AT (224 л.с.) 4WDвнедорожник, дизель, полный  | Москва | 22.01.15
1006736509-c0ceb | http://is6.auto.ru/all/images/23/33/60x45/2333deb6.jpg |  Volkswagen Golf VI1.4 MT (122 л.с.)  | #FFFFFF | 529 000 |  2011  |  64 000 км  |  1.4 MT (122 л.с.)хэтчбек, бензин, передний  | Санкт-Петербург | 22.01.15
1007085341-b970 | http://is18.auto.ru/all/images/3d/bc/60x45/3dbc6d9b.jpg |  Volkswagen Jetta V1.6 AT (102 л.с.)  | #000000 | 590 000 |  2010  |  79 600 км  |  1.6 AT (102 л.с.)седан, бензин, передний  | Москва | 22.01.15
1007240941-d6ee | http://is5.auto.ru/all/images/4f/11/60x45/4f1110bd.jpg |  Volkswagen Jetta VI1.4 AT (122 л.с.)  | #CACECB | 655 000 |  2011  |  70 000 км  |  1.4 AT (122 л.с.)седан, бензин, передний  | Москва | 22.01.15
1007048977-f91d | /i/all7/img/no-photo-thumb.gif |  Volkswagen Touran I Рестайлинг2.0d AT (140 л.с.)  | #CACECB | 533 333 |  2006  |  110 000 км  |  2.0d AT (140 л.с.)компактвэн, дизель, передний  | Москва | 22.01.15
1006868189-1ca1 | /i/all7/img/no-photo-thumb.gif |  Volkswagen Passat CC I1.8 AT (152 л.с.)  | #000000 | 777 700 |  2010  |  64 700 км  |  1.8 AT (152 л.с.)седан, бензин, передний  | Москва | 22.01.15
1005760549-2f63 | http://is13.auto.ru/all/images/ce/eb/60x45/ceeb8208.jpg |  Volkswagen Passat B5 Рестайлинг1.6 MT (102 л.с.)  | #34ba2b | 350 000 |  2004  |  250 000 км  |  1.6 MT (102 л.с.)седан, бензин, передний  | Москва | 22.01.15
1007240831-4b147f | /i/all7/img/no-photo-thumb.gif |  Volkswagen Passat B5 Рестайлинг1.8 MT (170 л.с.)  | #000000 | 330 000 |  2002  |  260 000 км  |  1.8 MT (170 л.с.)седан, бензин, передний  | Орел | 22.01.15
1006685159-5e72 | http://is14.auto.ru/all/images/1c/ba/60x45/1cba892a.jpg |  Volkswagen Transporter T5 Рестайлинг2.0d MT (140 л.с.)  | #FF0000 | 802 000 |  2010  |  54 800 км  |  2.0d MT (140 л.с.)минивэн, дизель, передний  | Москва | 22.01.15
1007240705-e23d | http://is3.auto.ru/all/images/80/04/60x45/8004592f.jpg |  Volkswagen Golf IV1.4 MT (75 л.с.)  | #0000FF | 360 000 |  2005  |  160 000 км  |  1.4 MT (75 л.с.)универсал, бензин, передний  | Москва | 22.01.15
1007240335-d8c320 | http://is7.auto.ru/all/images/2f/91/60x45/2f91ae50.jpg |  Volkswagen Golf V1.6 AT (102 л.с.)  | #CC0033 | 385 000 |  2007  |  86 000 км  |  1.6 AT (102 л.с.)хэтчбек, бензин, передний  | Москва | 22.01.15
1007240767-3b92 | http://is15.auto.ru/all/images/7b/43/60x45/7b43c802.jpg |  Volkswagen Golf V1.6 AT (102 л.с.)  | #FF0000 | 392 000 |  2007  |  88 000 км  |  1.6 AT (102 л.с.)хэтчбек, бензин, передний  | Москва | 22.01.15
1004688937-29635 | http://is18.auto.ru/all/images/c0/4d/60x45/c04d056b.jpg |  Volkswagen Tiguan I Рестайлинг2.0 AT (170 л.с.) 4WD  | #000000 | 1 250 000 |  2013  |  50 000 км  |  2.0 AT (170 л.с.) 4WDвнедорожник, бензин, полный  | Тольятти | 22.01.15
1007240667-a27e12 | http://is11.auto.ru/all/images/60/4a/60x45/604a980a.jpg |  Volkswagen Touareg I Рестайлинг3.6 AT (280 л.с.) 4WD  | #9c9999 | 910 000 |  2009  |  87 000 км  |  3.6 AT (280 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 22.01.15
1007112535-61498c | http://is10.auto.ru/all/images/88/2d/60x45/882d7560.jpg |  Volkswagen Golf III1.6 MT (75 л.с.)  | #0000FF | 135 000 |  1994  |  190 000 км  |  1.6 MT (75 л.с.)хэтчбек, бензин, передний  | Воронеж | 22.01.15
1007176191-820f10 | http://is11.auto.ru/all/images/fd/ba/60x45/fdba0932.jpg |  Volkswagen Jetta V1.6 MT (115 л.с.)  | #9c9999 | 330 000 |  2008  |  198 000 км  |  1.6 MT (115 л.с.)седан, бензин, передний  | Москва | 22.01.15
1005705035-8d34 | http://is16.auto.ru/all/images/9b/5d/60x45/9b5d424c.jpg |  Volkswagen Polo V1.6 AT (105 л.с.)  | #9c9999 | 639 000 |  2014  |  3 000 км  |  1.6 AT (105 л.с.)седан, бензин, передний  | Санкт-Петербург | 22.01.15
1007240567-e09174 | http://is17.auto.ru/all/images/b1/e6/60x45/b1e63a3e.jpg |  Volkswagen Touareg I Рестайлинг3.0d AT (224 л.с.) 4WD  | #000000 | 1 298 298 |  2008  |  77 543 км  |  3.0d AT (224 л.с.) 4WDвнедорожник, дизель, полный  | Москва | 22.01.15
1007216625-2d6e20 | http://is14.auto.ru/all/images/31/42/60x45/31427d07.jpg |  Volkswagen Passat B5 Рестайлинг1.8 AT (170 л.с.)  | #CACECB | 280 000 |  2003  |  93 000 км  |  1.8 AT (170 л.с.)седан, бензин, передний  | Москва | 22.01.15
1003266706-48402d | http://is4.auto.ru/all/images/43/9b/60x45/439b0333.jpg |  Volkswagen Tiguan I1.4 MT (150 л.с.) 4WD  | #000000 | 699 000 |  2010  |  91 000 км  |  1.4 MT (150 л.с.) 4WDвнедорожник, бензин, полный  | Ярославль | 22.01.15
1007240537-593dfc | http://is14.auto.ru/all/images/19/80/60x45/1980b3d7.jpg |  Volkswagen Polo V1.6 AT (105 л.с.)  | #CACECB | 425 000 |  2013  |  40 500 км  |  1.6 AT (105 л.с.)седан, бензин, передний  | Москва | 22.01.15
1007240475-fb5c | http://is2.auto.ru/all/images/05/83/60x45/05836d8f.jpg |  Volkswagen Jetta VI1.6 AT (105 л.с.)  | #000000 | 625 000 |  2012  |  78 500 км  |  1.6 AT (105 л.с.)седан, бензин, передний  | Москва | 22.01.15
1003330790-9536 | http://is18.auto.ru/all/images/c6/dc/60x45/c6dcc9e0.jpg |  Volkswagen Transporter T51.9d MT (102 л.с.)  | #FFFFFF | 725 000 |  2007  |  150 000 км  |  1.9d MT (102 л.с.)минивэн, дизель, передний  | Ярославль | 22.01.15
1007240521-c257 | http://is8.auto.ru/all/images/1b/68/60x45/1b6887b7.jpg |  Volkswagen Passat B5 Рестайлинг1.8 AT (170 л.с.)  | #CACECB | 315 000 |  2005  |  80 000 км  |  1.8 AT (170 л.с.)седан, бензин, передний  | Москва | 22.01.15
1007240477-64894f | /i/all7/img/no-photo-thumb.gif |  Volkswagen Polo V1.6 MT (85 л.с.)  | #FFFFFF | 405 000 |  2014  |  41 000 км  |  1.6 MT (85 л.с.)седан, бензин, передний  | Москва | 22.01.15
1007240355-9b3c | http://is15.auto.ru/all/images/73/97/60x45/7397d8d4.jpg |  Volkswagen Sharan I Рестайлинг2.0 AT (115 л.с.)  | #9c9999 | 398 000 |  2003  |  108 000 км  |  2.0 AT (115 л.с.)минивэн, бензин, передний  | Москва | 22.01.15
1007240295-459d3 | http://is12.auto.ru/all/images/0e/58/60x45/0e5807c3.jpg |  Volkswagen Tiguan I Рестайлинг2.0 AT (170 л.с.) 4WD  | #CACECB | 1 197 000 |  2013  |  40 000 км  |  2.0 AT (170 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 22.01.15
1007240319-5207 | http://is13.auto.ru/all/images/3d/96/60x45/3d96ea45.jpg |  Volkswagen Polo V1.6 AT (105 л.с.)  | #000000 | 600 000 |  2014  |  25 000 км  |  1.6 AT (105 л.с.)седан, бензин, передний  | Москва | 22.01.15
1007240301-8fee | http://is12.auto.ru/all/images/6a/43/60x45/6a43cf9a.jpg |  Volkswagen Passat B61.8 AT (152 л.с.)  | #CACECB | 612 000 |  2009  |  82 000 км  |  1.8 AT (152 л.с.)седан, бензин, передний  | Москва | 22.01.15
1007240249-83596c | http://is3.auto.ru/all/images/2c/cb/60x45/2ccb1eec.jpg |  Volkswagen Touareg I4.2 AT (310 л.с.) 4WD  | #34ba2b | 569 000 |  2004  |  159 993 км  |  4.2 AT (310 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 22.01.15
1006977285-e8d8 | http://is12.auto.ru/all/images/c7/5f/60x45/c75f8248.jpg |  Volkswagen Touareg I3.2 AT (241 л.с.) 4WD  | #34ba2b | 795 000 |  2005  |  179 000 км  |  3.2 AT (241 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 22.01.15
1007047569-0be27 | http://is16.auto.ru/all/images/47/4d/60x45/474d06c6.jpg |  Volkswagen Golf III1.8 AT (90 л.с.)  | #0000FF | 95 000 |  1994  |  107 000 км  |  1.8 AT (90 л.с.)хэтчбек, бензин, передний  | Москва | 22.01.15
1002869187-eb0bc | http://is17.auto.ru/all/images/65/b3/60x45/65b3ba08.jpg |  Volkswagen Golf V1.9d MT (105 л.с.)  | #CACECB | 400 000 |  2004  |  203 000 км  |  1.9d MT (105 л.с.)хэтчбек, дизель, передний  | Суджа | 22.01.15
1007188921-33ed2d | http://is9.auto.ru/all/images/42/9a/60x45/429aa521.jpg |  Volkswagen Tiguan I Рестайлинг2.0d AT (140 л.с.) 4WD  | #000000 | 1 201 000 |  2013  |  70 000 км  |  2.0d AT (140 л.с.) 4WDвнедорожник, дизель, полный  | Москва | 22.01.15
1007147863-afd5a | http://is1.auto.ru/all/images/7d/5b/60x45/7d5b1e11.jpg |  Volkswagen Touareg II3.6 AT (249 л.с.) 4WD  | #000000 | 2 223 000 |  2013  |  18 965 км  |  3.6 AT (249 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 22.01.15
