1007233097-89f664 | http://is18.auto.ru/all/images/84/3c/60x45/843c2520.jpg |  ВАЗ Kalina II1.6 MT (98 л.с.)  | #9c9999 | 355 000 |  2014  |  6 385 км  |  1.6 MT (98 л.с.)хэтчбек, бензин, передний  | Пенза | 23.01.15
1007268935-c86f5 | http://is8.auto.ru/all/images/8e/f4/60x45/8ef4191d.jpg |  ВАЗ Kalina I1.6 MT (81 л.с.)  | #CACECB | 177 000 |  2010  |  77 000 км  |  1.6 MT (81 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007265223-2f116 | http://is8.auto.ru/all/images/e2/a9/60x45/e2a9c2c5.jpg |  ВАЗ Kalina I1.6 MT (81 л.с.)  | #FF0000 | 209 000 |  2010  |  60 000 км  |  1.6 MT (81 л.с.)седан, бензин, передний  | Санкт-Петербург | 23.01.15
1007265293-4d934 | http://is17.auto.ru/all/images/21/9c/60x45/219cadcc.jpg |  ВАЗ Kalina I1.6 MT (81 л.с.)  | #FF0000 | 240 000 |  2012  |  35 500 км  |  1.6 MT (81 л.с.)универсал, бензин, передний  | Санкт-Петербург | 23.01.15
1007268941-c346dc | http://is2.auto.ru/all/images/2a/0a/60x45/2a0a2600.jpg |  ВАЗ Kalina I1.4 MT (89 л.с.)  | #9c9999 | 250 000 |  2011  |  67 000 км  |  1.4 MT (89 л.с.)универсал, бензин, передний  | Москва | 23.01.15
1007267621-4ef5b2 | http://is11.auto.ru/all/images/2b/6f/60x45/2b6f3247.jpg |  ВАЗ Kalina I1.6 MT (81 л.с.)  | #000000 | 256 410 |  2012  |  28 000 км  |  1.6 MT (81 л.с.)универсал, бензин, передний  | Москва | 23.01.15
1007265023-3845d2 | http://is18.auto.ru/all/images/52/3e/60x45/523e5a4d.jpg |  ВАЗ Kalina II1.6 MT (87 л.с.)  | #000000 | 270 000 |  2013  |  25 000 км  |  1.6 MT (87 л.с.)универсал, бензин, передний  | Санкт-Петербург | 23.01.15
1007266099-7a352 | http://is16.auto.ru/all/images/69/e7/60x45/69e7202d.jpg |  ВАЗ Kalina I1.6 MT (81 л.с.)  | #FFCC00 | 135 000 |  2009  |  79 000 км  |  1.6 MT (81 л.с.)седан, бензин, передний  | Москва | 23.01.15
1006428169-6f6b | http://is15.auto.ru/all/images/fc/ac/60x45/fcac891d.jpg |  ВАЗ Kalina I1.6 MT (98 л.с.)  | #0000FF | 150 267 |  2009  |  61 539 км  |  1.6 MT (98 л.с.)универсал, бензин, передний  | Москва | 23.01.15
1007264493-42a2 | http://is1.auto.ru/all/images/3c/4e/60x45/3c4e28d9.jpg |  ВАЗ Kalina II1.6 MT (87 л.с.)  | #ffefd5 | 387 400 |  2015  | Новый |  1.6 MT (87 л.с.)универсал, бензин, передний  | Москва | 23.01.15
1007161101-9d3233 | http://is8.auto.ru/all/images/19/7e/60x45/197e3367.jpg |  ВАЗ Kalina II1.6 MT (106 л.с.)  | #ffefd5 | 426 800 |  2014  | Новый |  1.6 MT (106 л.с.)универсал, бензин, передний  | Москва | 23.01.15
1007264487-92c4 | http://is8.auto.ru/all/images/04/63/60x45/0463d9f6.jpg |  ВАЗ Kalina II1.6 MT (106 л.с.)  | #0000FF | 437 700 |  2015  | Новый |  1.6 MT (106 л.с.)универсал, бензин, передний  | Москва | 23.01.15
1007073721-430686 | http://is15.auto.ru/all/images/0b/8a/60x45/0b8a35b1.jpg |  ВАЗ Kalina II1.6 MT (87 л.с.)  | #000000 | 302 900 |  2014  | Новый |  1.6 MT (87 л.с.)универсал, бензин, передний  | Москва | 23.01.15
1007264055-a058c | http://is11.auto.ru/all/images/2c/1f/60x45/2c1f7e74.jpg |  ВАЗ Kalina I1.6 MT (81 л.с.)  | #0000FF | 346 797 |  2014  | Новый |  1.6 MT (81 л.с.)универсал, бензин, передний  | Москва | 23.01.15
1007263973-6b1bb8 | http://is17.auto.ru/all/images/60/72/60x45/6072b7f2.jpg |  ВАЗ Kalina I Sport1.4 MT (89 л.с.)  | #CACECB | 230 000 |  2011  |  53 571 км  |  1.4 MT (89 л.с.)хэтчбек, бензин, передний  | Калуга | 23.01.15
1007263953-7d40 | http://is13.auto.ru/all/images/e0/4c/60x45/e04c286d.jpg |  ВАЗ Kalina I1.6 MT (81 л.с.)  | #000000 | 245 000 |  2012  |  57 000 км  |  1.6 MT (81 л.с.)седан, бензин, передний  | Москва | 23.01.15
1006585089-c502c | http://is4.auto.ru/all/images/52/2b/60x45/522b5eb1.jpg |  ВАЗ Kalina I1.6 MT (81 л.с.)  | #ffefd5 | 175 100 |  2008  |  96 390 км  |  1.6 MT (81 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007264303-8e2a1 | /i/all7/img/no-photo-thumb.gif |  ВАЗ Kalina I1.6 MT (81 л.с.)  | #FFFFFF | 341 847 |  2014  | Новый |  1.6 MT (81 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1007126671-d4747 | http://is9.auto.ru/all/images/62/d2/60x45/62d2c525.jpg |  ВАЗ Kalina II1.6 MT (106 л.с.)  | #000000 | 439 800 |  2014  | Новый |  1.6 MT (106 л.с.)универсал, бензин, передний  | Москва | 23.01.15
1007263759-af16f | http://is15.auto.ru/all/images/e0/ca/60x45/e0cae547.jpg |  ВАЗ Kalina II1.6 MT (106 л.с.)  | #ffefd5 | 461 800 |  2015  | Новый |  1.6 MT (106 л.с.)универсал, бензин, передний  | Москва | 23.01.15
1007263843-bbef | http://is15.auto.ru/all/images/19/16/60x45/19162023.jpg |  ВАЗ Kalina II1.6 AT (98 л.с.)  | #ffefd5 | 479 700 |  2015  | Новый |  1.6 AT (98 л.с.)универсал, бензин, передний  | Москва | 23.01.15
1007263841-9d4192 | http://is5.auto.ru/all/images/da/96/60x45/da96f698.jpg |  ВАЗ Kalina II1.6 MT (106 л.с.)  | #000000 | 487 000 |  2014  | Новый |  1.6 MT (106 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1007263757-d59aa0 | http://is5.auto.ru/all/images/aa/c6/60x45/aac6ef04.jpg |  ВАЗ Kalina II1.6 AT (98 л.с.)  | #ffefd5 | 523 800 |  2015  | Новый |  1.6 AT (98 л.с.)универсал, бензин, передний  | Москва | 23.01.15
1007263423-93ce | http://is11.auto.ru/all/images/d4/3a/60x45/d43a86ae.jpg |  ВАЗ Kalina I1.6 MT (81 л.с.)  | #fde910 | 129 000 |  2008  |  185 000 км  |  1.6 MT (81 л.с.)седан, бензин, передний  | Москва | 23.01.15
1006894357-09f4 | http://is4.auto.ru/all/images/84/ea/60x45/84ea0e39.jpg |  ВАЗ Kalina II1.6 MT (87 л.с.)  | #FFFFFF | 368 500 |  2014  | Новый |  1.6 MT (87 л.с.)универсал, бензин, передний  | Москва | 23.01.15
1007262113-ecfdb9 | http://is17.auto.ru/all/images/70/91/60x45/7091e32a.jpg |  ВАЗ Kalina I1.6 MT (81 л.с.)  | #FFCC00 | 190 000 |  2010  |  53 400 км  |  1.6 MT (81 л.с.)универсал, бензин, передний  | Набережные Челны | 23.01.15
1007261793-8e08 | http://is18.auto.ru/all/images/0e/2a/60x45/0e2aa669.jpg |  ВАЗ Kalina I1.6 MT (81 л.с.)  | #FFFFFF | 194 300 |  2011  |  80 130 км  |  1.6 MT (81 л.с.)универсал, бензин, передний  | Чебоксары | 23.01.15
1007263041-9cc6 | http://is14.auto.ru/all/images/59/02/60x45/59023c4f.jpg |  ВАЗ Kalina I1.4 MT (89 л.с.)  | #000000 | 210 000 |  2010  |  58 000 км  |  1.4 MT (89 л.с.)универсал, бензин, передний  | Уфа | 23.01.15
1007262035-8793 | http://is8.auto.ru/all/images/0c/49/60x45/0c49bdbd.jpg |  ВАЗ Kalina I1.6 MT (81 л.с.)  | #CACECB | 215 000 |  2011  |  30 000 км  |  1.6 MT (81 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1007262509-47d42 | http://is8.auto.ru/all/images/9c/68/60x45/9c689db1.jpg |  ВАЗ Kalina I1.6 MT (81 л.с.)  | #CACECB | 217 000 |  2011  |  45 000 км  |  1.6 MT (81 л.с.)хэтчбек, бензин, передний  | Набережные Челны | 23.01.15
1007262575-f6ace | http://is11.auto.ru/all/images/cd/b7/60x45/cdb7ff85.jpg |  ВАЗ Kalina I1.6 MT (81 л.с.)  | #FFFFFF | 233 800 |  2012  |  48 000 км  |  1.6 MT (81 л.с.)универсал, бензин, передний  | Казань | 23.01.15
1007262151-4e96 | http://is15.auto.ru/all/images/51/62/60x45/5162c2a0.jpg |  ВАЗ Kalina I1.6 MT (81 л.с.)  | #FFFFFF | 243 000 |  2013  |  35 000 км  |  1.6 MT (81 л.с.)хэтчбек, бензин, передний  | Набережные Челны | 23.01.15
1007262597-49e13 | http://is13.auto.ru/all/images/e7/b1/60x45/e7b10ada.jpg |  ВАЗ Kalina I1.4 MT (89 л.с.)  | #FFFFFF | 244 000 |  2012  |  30 000 км  |  1.4 MT (89 л.с.)универсал, бензин, передний  | Набережные Челны | 23.01.15
1007263085-2d4a | http://is15.auto.ru/all/images/ee/36/60x45/ee367acf.jpg |  ВАЗ Kalina I1.6 MT (98 л.с.)  | #CACECB | 252 000 |  2012  |  76 500 км  |  1.6 MT (98 л.с.)хэтчбек, бензин, передний  | Уфа | 23.01.15
1007263151-b541 | http://is9.auto.ru/all/images/6c/a6/60x45/6ca6b26a.jpg |  ВАЗ Kalina I1.6 MT (81 л.с.)  | #CACECB | 255 000 |  2013  |  17 100 км  |  1.6 MT (81 л.с.)хэтчбек, бензин, передний  | Уфа | 23.01.15
1007262445-5f9a | http://is11.auto.ru/all/images/c1/60/60x45/c1609fef.jpg |  ВАЗ Kalina I1.6 MT (81 л.с.)  | #000000 | 279 650 |  2012  |  63 000 км  |  1.6 MT (81 л.с.)седан, бензин, передний  | Казань | 23.01.15
1007262755-0caf0 | http://is16.auto.ru/all/images/d3/ab/60x45/d3ab365f.jpg |  ВАЗ Kalina I1.6 MT (81 л.с.)  | #926547 | 360 000 |  2014  |  9 000 км  |  1.6 MT (81 л.с.)седан, бензин, передний  | Уфа | 23.01.15
1007262065-1fa9 | http://is3.auto.ru/all/images/52/ce/60x45/52ceedc0.jpg |  ВАЗ Kalina I1.6 MT (81 л.с.)  | #9c9999 | 152 000 |  2009  |  53 000 км  |  1.6 MT (81 л.с.)универсал, бензин, передний  | Набережные Челны | 23.01.15
1005715067-332c | http://is16.auto.ru/all/images/59/6c/60x45/596c417e.jpg |  ВАЗ Kalina I1.6 MT (81 л.с.)  | #0000FF | 179 000 |  2007  |  150 000 км  |  1.6 MT (81 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007262519-0ed4e | http://is7.auto.ru/all/images/3b/88/60x45/3b88c161.jpg |  ВАЗ Kalina I1.6 MT (81 л.с.)  | #34ba2b | 187 450 |  2009  |  80 000 км  |  1.6 MT (81 л.с.)седан, бензин, передний  | Казань | 23.01.15
1007261861-e13886 | http://is18.auto.ru/all/images/9c/df/60x45/9cdf7e53.jpg |  ВАЗ Kalina I1.4 MT (89 л.с.)  | #FFFFFF | 193 200 |  2009  |  60 000 км  |  1.4 MT (89 л.с.)универсал, бензин, передний  | Ижевск | 23.01.15
1007262067-b309b5 | /i/all7/img/no-photo-thumb.gif |  ВАЗ Kalina I1.4 MT (89 л.с.)  | #000000 | 202 000 |  2011  |  60 000 км  |  1.4 MT (89 л.с.)хэтчбек, бензин, передний  | Казань | 23.01.15
1007262129-84ef | /i/all7/img/no-photo-thumb.gif |  ВАЗ Kalina I1.6 MT (81 л.с.)  | #FF0000 | 218 900 |  2012  |  54 000 км  |  1.6 MT (81 л.с.)хэтчбек, бензин, передний  | Казань | 23.01.15
1007263039-1f7efe | /i/all7/img/no-photo-thumb.gif |  ВАЗ Kalina I1.4 MT (89 л.с.)  | #CACECB | 219 000 |  2010  |  58 000 км  |  1.4 MT (89 л.с.)седан, бензин, передний  | Уфа | 23.01.15
1007262771-8f32a4 | /i/all7/img/no-photo-thumb.gif |  ВАЗ Kalina I1.6 MT (81 л.с.)  | #CACECB | 233 000 |  2012  |  70 000 км  |  1.6 MT (81 л.с.)универсал, бензин, передний  | Уфа | 23.01.15
1007262201-a48fbe | /i/all7/img/no-photo-thumb.gif |  ВАЗ Kalina I1.6 MT (81 л.с.)  | #FF0000 | 192 000 |  2008  |  43 000 км  |  1.6 MT (81 л.с.)седан, бензин, передний  | Казань | 23.01.15
1007261399-7331af | http://is14.auto.ru/all/images/0b/a4/60x45/0ba4d859.jpg |  ВАЗ Kalina I1.6 MT (81 л.с.)  | #0000FF | 180 500 |  2010  |  86 300 км  |  1.6 MT (81 л.с.)хэтчбек, бензин, передний  | Казань | 23.01.15
1007261583-e2a89 | http://is18.auto.ru/all/images/c7/4c/60x45/c74ca657.jpg |  ВАЗ Kalina I1.6 MT (81 л.с.)  | #FF0000 | 199 500 |  2010  |  53 708 км  |  1.6 MT (81 л.с.)седан, бензин, передний  | Казань | 23.01.15
1007261699-18876b | http://is15.auto.ru/all/images/d4/40/60x45/d44096cb.jpg |  ВАЗ Kalina I1.4 MT (89 л.с.)  | #CACECB | 200 900 |  2010  |  51 358 км  |  1.4 MT (89 л.с.)хэтчбек, бензин, передний  | Йошкар-Ола | 23.01.15
1007261389-a1b0b | http://is7.auto.ru/all/images/d5/7f/60x45/d57f5b9a.jpg |  ВАЗ Kalina I1.6 MT (81 л.с.)  | #9c9999 | 222 000 |  2011  |  44 000 км  |  1.6 MT (81 л.с.)седан, бензин, передний  | Казань | 23.01.15
1007261411-58a11 | http://is14.auto.ru/all/images/28/bc/60x45/28bcf9e4.jpg |  ВАЗ Kalina I1.6 MT (81 л.с.)  | #000000 | 224 500 |  2011  |  44 800 км  |  1.6 MT (81 л.с.)хэтчбек, бензин, передний  | Казань | 23.01.15
1007261421-bdd934 | http://is9.auto.ru/all/images/60/e4/60x45/60e4ff22.jpg |  ВАЗ Kalina I1.6 MT (81 л.с.)  | #CACECB | 226 100 |  2011  |  103 147 км  |  1.6 MT (81 л.с.)универсал, бензин, передний  | Казань | 23.01.15
1007261717-7f9d | http://is18.auto.ru/all/images/ae/23/60x45/ae239e1c.jpg |  ВАЗ Kalina I1.6 MT (81 л.с.)  | #9c9999 | 230 000 |  2011  |  62 459 км  |  1.6 MT (81 л.с.)хэтчбек, бензин, передний  | Йошкар-Ола | 23.01.15
1007261535-3594c6 | http://is18.auto.ru/all/images/ee/69/60x45/ee69dc4e.jpg |  ВАЗ Kalina I1.6 MT (81 л.с.)  | #9c9999 | 231 400 |  2011  |  41 852 км  |  1.6 MT (81 л.с.)хэтчбек, бензин, передний  | Казань | 23.01.15
1007261635-fd3014 | http://is10.auto.ru/all/images/11/d6/60x45/11d6719f.jpg |  ВАЗ Kalina I1.6 MT (98 л.с.)  | #9966CC | 241 000 |  2011  |  61 280 км  |  1.6 MT (98 л.с.)универсал, бензин, передний  | Йошкар-Ола | 23.01.15
1007261715-120f | http://is12.auto.ru/all/images/f2/09/60x45/f2097ab7.jpg |  ВАЗ Kalina I1.6 MT (81 л.с.)  | #000000 | 245 000 |  2011  |  75 221 км  |  1.6 MT (81 л.с.)хэтчбек, бензин, передний  | Йошкар-Ола | 23.01.15
1007261557-e41aa5 | http://is5.auto.ru/all/images/56/11/60x45/5611ace5.jpg |  ВАЗ Kalina I1.6 MT (81 л.с.)  | #ffefd5 | 251 400 |  2012  |  67 224 км  |  1.6 MT (81 л.с.)хэтчбек, бензин, передний  | Казань | 23.01.15
1007261729-e7531 | http://is11.auto.ru/all/images/c8/00/60x45/c80093c6.jpg |  ВАЗ Kalina I1.6 MT (98 л.с.)  | #FF0000 | 264 000 |  2011  |  29 110 км  |  1.6 MT (98 л.с.)хэтчбек, бензин, передний  | Йошкар-Ола | 23.01.15
1002042521-43f3 | http://is1.auto.ru/all/images/c6/09/60x45/c609bebe.jpg |  ВАЗ Kalina II1.6 MT (106 л.с.)  | #FFFFFF | 383 000 |  2014  | Новый |  1.6 MT (106 л.с.)хэтчбек, бензин, передний  | Самара | 23.01.15
1002042515-c6f98 | http://is15.auto.ru/all/images/30/8d/60x45/308d6c9b.jpg |  ВАЗ Kalina II1.6 AT (98 л.с.)  | #ffefd5 | 410 000 |  2014  | Новый |  1.6 AT (98 л.с.)хэтчбек, бензин, передний  | Самара | 23.01.15
1002042533-acda0 | http://is3.auto.ru/all/images/1b/9f/60x45/1b9f3486.jpg |  ВАЗ Kalina II1.6 AT (98 л.с.)  | #0088ff | 420 000 |  2014  | Новый |  1.6 AT (98 л.с.)универсал, бензин, передний  | Самара | 23.01.15
1001915741-5add | http://is4.auto.ru/all/images/80/0b/60x45/800bb69d.jpg |  ВАЗ Kalina II1.6 MT (87 л.с.)  | #FF9966 | 295 000 |  2014  | Новый |  1.6 MT (87 л.с.)хэтчбек, бензин, передний  | Санкт-Петербург | 23.01.15
1001915737-b9226 | http://is14.auto.ru/all/images/f3/94/60x45/f394fd3d.jpg |  ВАЗ Kalina II1.6 MT (87 л.с.)  | #0088ff | 301 000 |  2014  | Новый |  1.6 MT (87 л.с.)универсал, бензин, передний  | Санкт-Петербург | 23.01.15
1001915743-52995 | http://is1.auto.ru/all/images/f4/6f/60x45/f46f1bdf.jpg |  ВАЗ Kalina II1.6 AT (98 л.с.)  | #FFFFFF | 388 000 |  2014  | Новый |  1.6 AT (98 л.с.)хэтчбек, бензин, передний  | Санкт-Петербург | 23.01.15
1001915739-246ed | http://is11.auto.ru/all/images/21/ad/60x45/21ad5505.jpg |  ВАЗ Kalina II1.6 AT (98 л.с.)  | #0088ff | 394 000 |  2014  | Новый |  1.6 AT (98 л.с.)универсал, бензин, передний  | Санкт-Петербург | 23.01.15
1001811201-d545 | http://is3.auto.ru/all/images/c7/78/60x45/c778dcb7.jpg |  ВАЗ Kalina II1.6 MT (87 л.с.)  | #ffefd5 | 348 000 |  2014  | Новый |  1.6 MT (87 л.с.)хэтчбек, бензин, передний  | Химки | 23.01.15
1001811185-f50d4 | http://is17.auto.ru/all/images/dd/1f/60x45/dd1f2bb6.jpg |  ВАЗ Kalina II1.6 MT (106 л.с.)  | #ffefd5 | 419 000 |  2014  | Новый |  1.6 MT (106 л.с.)хэтчбек, бензин, передний  | Химки | 23.01.15
1001811183-3dbe9 | http://is17.auto.ru/all/images/dd/08/60x45/dd085898.jpg |  ВАЗ Kalina II1.6 MT (106 л.с.)  | #ffefd5 | 425 000 |  2014  | Новый |  1.6 MT (106 л.с.)универсал, бензин, передний  | Химки | 23.01.15
1007256259-cd7c85 | http://is5.auto.ru/all/images/14/77/60x45/1477c4ae.jpg |  ВАЗ Kalina I1.6 MT (81 л.с.)  | #34ba2b | 127 000 |  2006  |  92 000 км  |  1.6 MT (81 л.с.)седан, бензин, передний  | Санкт-Петербург | 23.01.15
1002041047-53343 | http://is11.auto.ru/all/images/38/1a/60x45/381a63b0.jpg |  ВАЗ Kalina II1.6 MT (87 л.с.)  | #ffefd5 | 328 000 |  2014  | Новый |  1.6 MT (87 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1002041155-07e7 | http://is12.auto.ru/all/images/8e/d7/60x45/8ed73607.jpg |  ВАЗ Kalina II1.6 MT (87 л.с.)  | #000000 | 338 000 |  2014  | Новый |  1.6 MT (87 л.с.)универсал, бензин, передний  | Москва | 23.01.15
1002041137-0d37ca | http://is3.auto.ru/all/images/5c/bf/60x45/5cbf7bdb.jpg |  ВАЗ Kalina II1.6 MT (106 л.с.)  | #926547 | 389 000 |  2014  | Новый |  1.6 MT (106 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1002041175-d4b2b | http://is9.auto.ru/all/images/5c/30/60x45/5c30d4bb.jpg |  ВАЗ Kalina II1.6 AT (98 л.с.)  | #000000 | 424 000 |  2014  | Новый |  1.6 AT (98 л.с.)универсал, бензин, передний  | Москва | 23.01.15
1002041263-366e06 | http://is13.auto.ru/all/images/aa/45/60x45/aa4586e1.jpg |  ВАЗ Kalina II1.6 AT (98 л.с.)  | #FF9966 | 445 000 |  2014  | Новый |  1.6 AT (98 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1006364141-ce446 | http://is9.auto.ru/all/images/ae/23/60x45/ae2379ac.jpg |  ВАЗ Kalina I1.6 MT (98 л.с.)  | #CACECB | 275 000 |  2012  |  27 569 км  |  1.6 MT (98 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1001911451-0e3256 | http://is15.auto.ru/all/images/92/64/60x45/92640d1c.jpg |  ВАЗ Kalina II1.6 MT (87 л.с.)  | #FF9966 | 325 000 |  2014  | Новый |  1.6 MT (87 л.с.)хэтчбек, бензин, передний  | Санкт-Петербург | 23.01.15
