1007247967-f49f6 | http://is3.auto.ru/all/images/e4/61/60x45/e4614323.jpg |  ВАЗ Priora I Рестайлинг1.6 MT (98 л.с.)  | #FFFFFF | 450 000 |  2014  |  15 000 км  |  1.6 MT (98 л.с.)седан, бензин, передний  | Балашиха | 22.01.15
1007225533-e955c | http://is4.auto.ru/all/images/8a/fc/60x45/8afc8c1c.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #9c9999 | 294 888 |  2012  |  57 000 км  |  1.6 MT (98 л.с.)хэтчбек, бензин, передний  | Санкт-Петербург | 22.01.15
1007225119-b844f8 | http://is7.auto.ru/all/images/2c/60/60x45/2c60dadf.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #9c9999 | 300 000 |  2012  |  29 000 км  |  1.6 MT (98 л.с.)универсал, бензин, передний  | Ярославль | 22.01.15
1007224857-34265 | http://is4.auto.ru/all/images/17/47/60x45/1747741a.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #9c9999 | 335 000 |  2013  |  12 000 км  |  1.6 MT (98 л.с.)хэтчбек, бензин, передний  | Москва | 22.01.15
1007223887-1618 | http://is6.auto.ru/all/images/68/2d/60x45/682d5be0.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #FFFFFF | 275 000 |  2011  |  47 059 км  |  1.6 MT (98 л.с.)универсал, бензин, передний  | Москва | 22.01.15
1007223599-17cb | http://is18.auto.ru/all/images/f9/84/60x45/f9846b4e.jpg |  ВАЗ Priora I Рестайлинг1.6 MT (87 л.с.)  | #FFFFFF | 364 700 |  2014  | Новый |  1.6 MT (87 л.с.)седан, бензин, передний  | Москва | 22.01.15
1007223603-9c5a | http://is7.auto.ru/all/images/d2/1b/60x45/d21b538b.jpg |  ВАЗ Priora I Рестайлинг1.6 MT (87 л.с.)  | #9c9999 | 389 700 |  2014  | Новый |  1.6 MT (87 л.с.)хэтчбек, бензин, передний  | Москва | 22.01.15
1006933335-ea9832 | http://is4.auto.ru/all/images/e7/fd/60x45/e7fd168d.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #9c9999 | 270 000 |  2011  |  47 000 км  |  1.6 MT (98 л.с.)универсал, бензин, передний  | Москва | 22.01.15
1007222799-d956d | http://is16.auto.ru/all/images/e9/4a/60x45/e94abd44.jpg |  ВАЗ Priora I1.6 MT (81 л.с.)  | #9c9999 | 249 999 |  2010  |  90 000 км  |  1.6 MT (81 л.с.)хэтчбек, бензин, передний  | Тюмень | 22.01.15
1007222671-e3f937 | http://is18.auto.ru/all/images/91/df/60x45/91df20da.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #000000 | 244 444 |  2011  |  67 000 км  |  1.6 MT (98 л.с.)седан, бензин, передний  | Москва | 22.01.15
1006754773-1773 | http://is2.auto.ru/all/images/70/74/60x45/70743c16.jpg |  ВАЗ Priora I Рестайлинг1.6 MT (98 л.с.)  | #000000 | 455 000 |  2014  |  1 500 км  |  1.6 MT (98 л.с.)седан, бензин, передний  | Москва | 22.01.15
1007219875-d84c68 | /i/all7/img/no-photo-thumb.gif |  ВАЗ Priora I1.6 MT (98 л.с.)  | #FF0000 | 230 000 |  2008  |  70 000 км  |  1.6 MT (98 л.с.)хэтчбек, бензин, передний  | Санкт-Петербург | 22.01.15
1007219605-b887ae | http://is6.auto.ru/all/images/4e/24/60x45/4e240bed.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #FFFFFF | 280 000 |  2011  |  44 000 км  |  1.6 MT (98 л.с.)универсал, бензин, передний  | Москва | 22.01.15
1007217057-e1eb3f | http://is4.auto.ru/all/images/e7/f0/60x45/e7f0c23f.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #CACECB | 149 990 |  2009  |  89 000 км  |  1.6 MT (98 л.с.)хэтчбек, бензин, передний  | Санкт-Петербург | 22.01.15
1007219345-a3687c | /i/all7/img/no-photo-thumb.gif |  ВАЗ Priora I1.6 MT (98 л.с.)  | #9c9999 | 189 990 |  2007  |  72 000 км  |  1.6 MT (98 л.с.)седан, бензин, передний  | Санкт-Петербург | 22.01.15
1007215561-e03b | http://is6.auto.ru/all/images/7c/85/60x45/7c859dbb.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #9c9999 | 245 000 |  2010  |  84 000 км  |  1.6 MT (98 л.с.)универсал, бензин, передний  | Москва | 22.01.15
1007215791-1642 | http://is4.auto.ru/all/images/cf/9c/60x45/cf9c738c.jpg |  ВАЗ Priora I1.6 MT (81 л.с.)  | #000000 | 204 000 |  2010  |  70 245 км  |  1.6 MT (81 л.с.)седан, бензин, передний  | Москва | 22.01.15
1006263901-ea62dc | http://is10.auto.ru/all/images/7d/e9/60x45/7de9012d.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #CACECB | 255 000 |  2011  |  85 000 км  |  1.6 MT (98 л.с.)хэтчбек, бензин, передний  | Санкт-Петербург | 22.01.15
1007214661-139ed | http://is9.auto.ru/all/images/de/22/60x45/de22e2b7.jpg |  ВАЗ Priora I Рестайлинг1.6 MT (98 л.с.)  | #9966CC | 329 000 |  2013  |  30 000 км  |  1.6 MT (98 л.с.)хэтчбек, бензин, передний  | Тула | 22.01.15
1007213883-a5e23 | http://is5.auto.ru/all/images/ea/0f/60x45/ea0f500d.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #CACECB | 194 444 |  2007  |  130 000 км  |  1.6 MT (98 л.с.)седан, бензин, передний  | Санкт-Петербург | 22.01.15
1007213835-864c3 | http://is11.auto.ru/all/images/69/19/60x45/691999c9.jpg |  ВАЗ Priora I1.6 MT (81 л.с.)  | #34ba2b | 205 000 |  2011  |  58 000 км  |  1.6 MT (81 л.с.)седан, бензин, передний  | Москва | 22.01.15
1007213837-3380a | http://is17.auto.ru/all/images/d8/86/60x45/d8863517.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #CACECB | 265 000 |  2012  |  48 000 км  |  1.6 MT (98 л.с.)седан, бензин, передний  | Москва | 22.01.15
1007213291-bcc2 | http://is18.auto.ru/all/images/d6/72/60x45/d6727de9.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #9c9999 | 214 000 |  2010  |  29 140 км  |  1.6 MT (98 л.с.)универсал, бензин, передний  | Коломна | 22.01.15
1007213477-ba17 | http://is13.auto.ru/all/images/3e/5a/60x45/3e5aeb60.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #CACECB | 319 000 |  2012  |  43 404 км  |  1.6 MT (98 л.с.)хэтчбек, бензин, передний  | Коломна | 22.01.15
1007212949-7423 | http://is9.auto.ru/all/images/8f/c8/60x45/8fc8f739.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #0000FF | 295 000 |  2010  |  46 075 км  |  1.6 MT (98 л.с.)универсал, бензин, передний  | Москва | 22.01.15
1005723209-75636d | http://is15.auto.ru/all/images/4f/05/60x45/4f052de6.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #34ba2b | 199 000 |  2010  |  19 903 км  |  1.6 MT (98 л.с.)седан, бензин, передний  | Воронеж | 22.01.15
1007212639-0180 | http://is16.auto.ru/all/images/c6/1f/60x45/c61f2c95.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #000000 | 260 000 |  2011  |  49 500 км  |  1.6 MT (98 л.с.)универсал, бензин, передний  | Москва | 22.01.15
1007212193-2d195f | http://is4.auto.ru/all/images/60/08/60x45/6008b20b.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #CACECB | 220 000 |  2010  |  74 125 км  |  1.6 MT (98 л.с.)седан, бензин, передний  | Москва | 22.01.15
1005286351-74fe | http://is11.auto.ru/all/images/68/85/60x45/68853488.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #34ba2b | 195 000 |  2008  |  86 000 км  |  1.6 MT (98 л.с.)седан, бензин, передний  | Иваново | 22.01.15
1005635389-9ebbc9 | /i/all7/img/no-photo-thumb.gif |  ВАЗ Priora I Рестайлинг1.6 MT (98 л.с.)  | #ffefd5 | 293 000 |  2014  | Новый |  1.6 MT (98 л.с.)седан, бензин, передний  | Москва | 22.01.15
1005635393-a2ed1 | /i/all7/img/no-photo-thumb.gif |  ВАЗ Priora I Рестайлинг1.6 MT (98 л.с.)  | #ffefd5 | 321 900 |  2014  | Новый |  1.6 MT (98 л.с.)универсал, бензин, передний  | Москва | 22.01.15
1005635391-165661 | /i/all7/img/no-photo-thumb.gif |  ВАЗ Priora I Рестайлинг1.6 MT (98 л.с.)  | #9c9999 | 339 700 |  2014  | Новый |  1.6 MT (98 л.с.)хэтчбек, бензин, передний  | Москва | 22.01.15
1001058412-61f4 | http://is3.auto.ru/all/images/5c/45/60x45/5c45670b.jpg |  ВАЗ Priora I Рестайлинг1.6 MT (98 л.с.)  | #FFFFFF | 360 000 |  2014  | Новый |  1.6 MT (98 л.с.)седан, бензин, передний  | Москва | 22.01.15
1001058411-7acc34 | http://is13.auto.ru/all/images/6e/50/60x45/6e504198.jpg |  ВАЗ Priora I1.6 MT (81 л.с.)  | #FFFFFF | 380 400 |  2014  | Новый |  1.6 MT (81 л.с.)хэтчбек, бензин, передний  | Москва | 22.01.15
1006834749-2ce3e | http://is7.auto.ru/all/images/ca/72/60x45/ca72dcc5.jpg |  ВАЗ Priora I Рестайлинг1.6 MT (106 л.с.)  | #FF0000 | 403 000 |  2014  | Новый |  1.6 MT (106 л.с.)седан, бензин, передний  | Москва | 22.01.15
1006741937-38bae | http://is2.auto.ru/all/images/47/dd/60x45/47ddd707.jpg |  ВАЗ Priora I Рестайлинг1.6 MT (98 л.с.)  | #0000FF | 424 500 |  2014  | Новый |  1.6 MT (98 л.с.)универсал, бензин, передний  | Москва | 22.01.15
1007209549-8553 | http://is11.auto.ru/all/images/c1/4d/60x45/c14d3e75.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #CACECB | 187 000 |  2008  |  97 000 км  |  1.6 MT (98 л.с.)хэтчбек, бензин, передний  | Москва | 22.01.15
1006625739-919173 | http://is6.auto.ru/all/images/46/97/60x45/4697067d.jpg |  ВАЗ Priora I Premier1.6 MT (98 л.с.)  | #34ba2b | 189 000 |  2008  |  82 667 км  |  1.6 MT (98 л.с.)седан, бензин, передний  | Москва | 22.01.15
1007210247-8b9205 | http://is11.auto.ru/all/images/3c/9b/60x45/3c9bb442.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #9c9999 | 198 700 |  2009  |  84 000 км  |  1.6 MT (98 л.с.)седан, бензин, передний  | Санкт-Петербург | 22.01.15
1007209403-29171a | http://is14.auto.ru/all/images/d2/fe/60x45/d2fedfa7.jpg |  ВАЗ Priora I1.6 MT (81 л.с.)  | #CACECB | 199 000 |  2009  |  72 900 км  |  1.6 MT (81 л.с.)хэтчбек, бензин, передний  | Москва | 22.01.15
1002736621-4a78e | http://is11.auto.ru/all/images/a8/02/60x45/a8020c18.jpg |  ВАЗ Priora I Рестайлинг1.6 MT (106 л.с.)  | #9c9999 | 324 900 |  2014  | Новый |  1.6 MT (106 л.с.)седан, бензин, передний  | Москва | 22.01.15
1002704047-76ac | http://is15.auto.ru/all/images/e7/dc/60x45/e7dcf345.jpg |  ВАЗ Priora I Рестайлинг1.6 MT (87 л.с.)  | #0000FF | 330 900 |  2014  | Новый |  1.6 MT (87 л.с.)хэтчбек, бензин, передний  | Москва | 22.01.15
1002704051-4d0f | http://is12.auto.ru/all/images/2b/75/60x45/2b750f39.jpg |  ВАЗ Priora I Рестайлинг1.6 MT (87 л.с.)  | #9c9999 | 358 600 |  2014  | Новый |  1.6 MT (87 л.с.)седан, бензин, передний  | Москва | 22.01.15
1002736623-ac7be | http://is11.auto.ru/all/images/d0/29/60x45/d029661c.jpg |  ВАЗ Priora I Рестайлинг1.6 MT (98 л.с.)  | #9c9999 | 363 200 |  2014  | Новый |  1.6 MT (98 л.с.)хэтчбек, бензин, передний  | Москва | 22.01.15
1007207557-abfc0 | http://is10.auto.ru/all/images/2e/d4/60x45/2ed4f0ab.jpg |  ВАЗ Priora I Рестайлинг1.6 MT (98 л.с.)  | #000000 | 403 300 |  2014  | Новый |  1.6 MT (98 л.с.)универсал, бензин, передний  | Санкт-Петербург | 22.01.15
1006953431-8fd27 | http://is16.auto.ru/all/images/1e/b2/60x45/1eb28137.jpg |  ВАЗ Priora I Рестайлинг1.6 MT (106 л.с.)  | #FF0000 | 403 500 |  2014  | Новый |  1.6 MT (106 л.с.)седан, бензин, передний  | Москва | 22.01.15
1005719557-25ea | http://is18.auto.ru/all/images/8f/4b/60x45/8f4bafa9.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #CACECB | 270 000 |  2010  |  35 500 км  |  1.6 MT (98 л.с.)универсал, бензин, передний  | Москва | 22.01.15
1007207571-a467e2 | http://is17.auto.ru/all/images/a8/e6/60x45/a8e67be9.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #9966CC | 290 000 |  2011  |  68 000 км  |  1.6 MT (98 л.с.)хэтчбек, бензин, передний  | Санкт-Петербург | 22.01.15
1007204511-751c | http://is9.auto.ru/all/images/50/ae/60x45/50ae413b.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #000000 | 245 000 |  2010  |  65 000 км  |  1.6 MT (98 л.с.)универсал, бензин, передний  | Москва | 22.01.15
1007204115-d62b | http://is9.auto.ru/all/images/1b/d4/60x45/1bd4d47e.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #CACECB | 255 000 |  2011  |  75 000 км  |  1.6 MT (98 л.с.)хэтчбек, бензин, передний  | Москва | 22.01.15
1007204121-a6e28 | http://is15.auto.ru/all/images/c5/de/60x45/c5de1c95.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #9c9999 | 265 000 |  2011  |  78 000 км  |  1.6 MT (98 л.с.)седан, бензин, передний  | Москва | 22.01.15
1007201291-c89f | http://is17.auto.ru/all/images/f6/ab/60x45/f6ab3471.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #000000 | 260 000 |  2010  |  79 406 км  |  1.6 MT (98 л.с.)седан, бензин, передний  | Москва | 22.01.15
1007199885-498207 | http://is7.auto.ru/all/images/32/92/60x45/329245ee.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #34ba2b | 280 000 |  2010  |  50 950 км  |  1.6 MT (98 л.с.)хэтчбек, бензин, передний  | Белгород | 22.01.15
1007199881-91f20 | http://is5.auto.ru/all/images/43/d6/60x45/43d63d3b.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #000000 | 285 000 |  2011  |  44 215 км  |  1.6 MT (98 л.с.)седан, бензин, передний  | Белгород | 22.01.15
1007201287-f17a6 | http://is9.auto.ru/all/images/70/f7/60x45/70f713df.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #9c9999 | 225 000 |  2009  |  48 540 км  |  1.6 MT (98 л.с.)седан, бензин, передний  | Москва | 22.01.15
1007200793-d652 | /i/all7/img/no-photo-thumb.gif |  ВАЗ Priora I1.6 MT (98 л.с.)  | #9c9999 | 195 000 |  2009  |  85 000 км  |  1.6 MT (98 л.с.)хэтчбек, бензин, передний  | Москва | 22.01.15
1007199575-48d38 | http://is9.auto.ru/all/images/da/ca/60x45/daca3399.jpg |  ВАЗ Priora I Рестайлинг1.6 MT (87 л.с.)  | #34ba2b | 356 301 |  2014  | Новый |  1.6 MT (87 л.с.)седан, бензин, передний  | Москва | 22.01.15
1007199529-86506b | http://is13.auto.ru/all/images/40/f3/60x45/40f36e1f.jpg |  ВАЗ Priora I Рестайлинг1.6 MT (98 л.с.)  | #000000 | 376 596 |  2014  | Новый |  1.6 MT (98 л.с.)хэтчбек, бензин, передний  | Москва | 22.01.15
1007199437-d3f2b | http://is14.auto.ru/all/images/8a/dd/60x45/8add4962.jpg |  ВАЗ Priora I Рестайлинг1.6 MT (98 л.с.)  | #000000 | 380 160 |  2014  | Новый |  1.6 MT (98 л.с.)универсал, бензин, передний  | Москва | 22.01.15
1007199569-44bf | http://is7.auto.ru/all/images/df/92/60x45/df9234c6.jpg |  ВАЗ Priora I Рестайлинг1.6 MT (98 л.с.)  | #34ba2b | 445 401 |  2014  | Новый |  1.6 MT (98 л.с.)седан, бензин, передний  | Москва | 22.01.15
1007126361-3646 | http://is18.auto.ru/all/images/60/22/60x45/60221150.jpg |  ВАЗ Priora I Рестайлинг1.6 MT (98 л.с.)  | #FFFFFF | 502 900 |  2015  | Новый |  1.6 MT (98 л.с.)универсал, бензин, передний  | Москва | 22.01.15
1005715455-f977 | http://is6.auto.ru/all/images/f0/12/60x45/f012acea.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #9c9999 | 175 100 |  2007  |  157 701 км  |  1.6 MT (98 л.с.)седан, бензин, передний  | Москва | 22.01.15
1007126691-f4df7 | http://is8.auto.ru/all/images/e7/28/60x45/e72818c3.jpg |  ВАЗ Priora I Рестайлинг1.6 MT (98 л.с.)  | #926547 | 431 300 |  2015  | Новый |  1.6 MT (98 л.с.)седан, бензин, передний  | Москва | 22.01.15
1007126685-c06fba | http://is3.auto.ru/all/images/1e/4f/60x45/1e4f9d05.jpg |  ВАЗ Priora I Рестайлинг1.6 MT (98 л.с.)  | #926547 | 442 300 |  2015  | Новый |  1.6 MT (98 л.с.)хэтчбек, бензин, передний  | Москва | 22.01.15
1007126679-79baa4 | http://is10.auto.ru/all/images/37/91/60x45/3791d57b.jpg |  ВАЗ Priora I Рестайлинг1.6 MT (106 л.с.)  | #ffefd5 | 465 000 |  2015  | Новый |  1.6 MT (106 л.с.)седан, бензин, передний  | Москва | 22.01.15
1006894377-cd317 | http://is10.auto.ru/all/images/5c/a6/60x45/5ca6a554.jpg |  ВАЗ Priora I Рестайлинг1.6 MT (98 л.с.)  | #000000 | 412 400 |  2014  | Новый |  1.6 MT (98 л.с.)хэтчбек, бензин, передний  | Москва | 22.01.15
1006894373-aa4925 | http://is4.auto.ru/all/images/51/4c/60x45/514c4b82.jpg |  ВАЗ Priora I Рестайлинг1.6 MT (98 л.с.)  | #FFFFFF | 426 700 |  2014  | Новый |  1.6 MT (98 л.с.)седан, бензин, передний  | Москва | 22.01.15
1007196545-a12443 | http://is13.auto.ru/all/images/0e/66/60x45/0e669ee0.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #CACECB | 185 300 |  2010  |  84 000 км  |  1.6 MT (98 л.с.)универсал, бензин, передний  | Ижевск | 22.01.15
1007196505-f55d | http://is16.auto.ru/all/images/0c/5c/60x45/0c5cafe6.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #9c9999 | 238 200 |  2011  |  45 000 км  |  1.6 MT (98 л.с.)хэтчбек, бензин, передний  | Ижевск | 22.01.15
1007197249-8f7c41 | http://is12.auto.ru/all/images/ae/43/60x45/ae43a3aa.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #CACECB | 243 500 |  2010  |  49 452 км  |  1.6 MT (98 л.с.)хэтчбек, бензин, передний  | Казань | 22.01.15
1007196425-4260 | http://is13.auto.ru/all/images/ea/5c/60x45/ea5cea4b.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #34ba2b | 250 000 |  2011  |  51 324 км  |  1.6 MT (98 л.с.)седан, бензин, передний  | Чебоксары | 22.01.15
1007197195-0dada6 | http://is3.auto.ru/all/images/f9/06/60x45/f906dc8e.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #0000FF | 268 000 |  2010  |  64 000 км  |  1.6 MT (98 л.с.)седан, бензин, передний  | Уфа | 22.01.15
1007196579-e20ea2 | http://is3.auto.ru/all/images/e8/ce/60x45/e8ce9544.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #9c9999 | 295 000 |  2011  |  11 574 км  |  1.6 MT (98 л.с.)универсал, бензин, передний  | Йошкар-Ола | 22.01.15
1005715071-486c8a | http://is3.auto.ru/all/images/f8/c9/60x45/f8c941b6.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #CACECB | 311 000 |  2011  |  39 715 км  |  1.6 MT (98 л.с.)универсал, бензин, передний  | Москва | 22.01.15
