1007301269-1b76c | /i/all7/img/no-photo-thumb.gif |  Volkswagen Polo V1.6 AT (105 л.с.)  | #0000FF | 450 000 |  2011  |  69 000 км  |  1.6 AT (105 л.с.)седан, бензин, передний  | Пушкино | 23.01.15
1007284975-e3601 | http://is12.auto.ru/all/images/3a/0a/60x45/3a0a0734.jpg |  Volkswagen Polo IV Рестайлинг1.2 MT (70 л.с.)  | #0000FF | 295 000 |  2006  |  75 000 км  |  1.2 MT (70 л.с.)хэтчбек, бензин, передний  | Санкт-Петербург | 23.01.15
1007284567-a009c0 | /i/all7/img/no-photo-thumb.gif |  Volkswagen Polo V1.6 MT (105 л.с.)  | #000000 | 477 777 |  2011  |  65 000 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007284213-939c0 | http://is3.auto.ru/all/images/2a/ef/60x45/2aef2d02.jpg |  Volkswagen Polo IV Рестайлинг1.4 AT (80 л.с.)  | #0000FF | 349 000 |  2008  |  96 458 км  |  1.4 AT (80 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1007283337-ee459 | http://is5.auto.ru/all/images/49/37/60x45/4937b4c7.jpg |  Volkswagen Polo V1.6 MT (105 л.с.)  | #9c9999 | 395 000 |  2012  |  32 500 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007283303-b44e98 | http://is16.auto.ru/all/images/9c/ea/60x45/9cea9ea3.jpg |  Volkswagen Polo V1.6 MT (105 л.с.)  | #FF0000 | 415 000 |  2013  |  23 400 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007282365-9eb45 | http://is9.auto.ru/all/images/6f/1d/60x45/6f1d0202.jpg |  Volkswagen Polo V1.6 MT (105 л.с.)  | #9c9999 | 415 000 |  2011  |  75 000 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007282135-b391c6 | http://is18.auto.ru/all/images/27/ce/60x45/27ceea05.jpg |  Volkswagen Polo V1.2 AT (105 л.с.)  | #CACECB | 445 000 |  2012  |  28 000 км  |  1.2 AT (105 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1007282041-ea32d | http://is6.auto.ru/all/images/da/81/60x45/da81fe93.jpg |  Volkswagen Polo V1.6 MT (105 л.с.)  | #FF0000 | 485 000 |  2013  |  58 170 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007281917-7e1cf2 | http://is8.auto.ru/all/images/1f/a2/60x45/1fa25157.jpg |  Volkswagen Polo IV Рестайлинг1.6 MT (105 л.с.)  | #CACECB | 350 000 |  2007  |  80 000 км  |  1.6 MT (105 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1007281363-e14d2 | http://is18.auto.ru/all/images/be/5f/60x45/be5f2ded.jpg |  Volkswagen Polo V1.6 AT (105 л.с.)  | #000000 | 570 000 |  2014  |  21 000 км  |  1.6 AT (105 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007280875-f6ccb | http://is1.auto.ru/all/images/69/a8/60x45/69a8b233.jpg |  Volkswagen Polo III1.6 MT (100 л.с.)  | #0000FF | 225 000 |  2002  |  137 000 км  |  1.6 MT (100 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007280417-9f8551 | http://is1.auto.ru/all/images/11/c2/60x45/11c23a5b.jpg |  Volkswagen Polo V1.6 MT (105 л.с.)  | #FFFFFF | 450 000 |  2013  |  24 000 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007280025-ebbd | http://is2.auto.ru/all/images/5f/80/60x45/5f8056ec.jpg |  Volkswagen Polo V1.6 MT (105 л.с.)  | #ffefd5 | 420 000 |  2011  |  85 490 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007280023-3b3e7 | http://is8.auto.ru/all/images/85/7c/60x45/857ceb36.jpg |  Volkswagen Polo V1.6 MT (105 л.с.)  | #FFFFFF | 480 000 |  2011  |  66 900 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007280019-b41f80 | http://is2.auto.ru/all/images/59/4e/60x45/594e9136.jpg |  Volkswagen Polo V1.4 MT (85 л.с.)  | #0000FF | 510 000 |  2011  |  37 200 км  |  1.4 MT (85 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1007280021-a995 | http://is11.auto.ru/all/images/8c/68/60x45/8c682a6f.jpg |  Volkswagen Polo V1.6 AT (105 л.с.)  | #FFFFFF | 640 000 |  2013  |  5 320 км  |  1.6 AT (105 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007280017-68db | http://is17.auto.ru/all/images/0a/d2/60x45/0ad2cbdc.jpg |  Volkswagen Polo V1.4 AT (85 л.с.)  | #FFFFFF | 670 000 |  2013  |  2 732 км  |  1.4 AT (85 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1006004263-0384d | http://is2.auto.ru/all/images/ce/9c/60x45/ce9c5dee.jpg |  Volkswagen Polo V1.6 MT (105 л.с.)  | #FFFFFF | 435 000 |  2011  |  100 000 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Москва | 23.01.15
1006004269-7a5b36 | http://is9.auto.ru/all/images/12/68/60x45/126896b5.jpg |  Volkswagen Polo V1.6 MT (105 л.с.)  | #FFFFFF | 439 000 |  2011  |  87 405 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Москва | 23.01.15
1006050395-e157bc | http://is14.auto.ru/all/images/02/38/60x45/0238af69.jpg |  Volkswagen Polo V1.6 MT (105 л.с.)  | #FFFFFF | 441 000 |  2011  |  79 717 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007278791-c8c1 | http://is16.auto.ru/all/images/ea/d5/60x45/ead5aa5f.jpg |  Volkswagen Polo V1.6 MT (105 л.с.)  | #9c9999 | 430 800 |  2010  |  68 000 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Коломна | 23.01.15
1007278263-8b5e93 | http://is2.auto.ru/all/images/90/a4/60x45/90a42899.jpg |  Volkswagen Polo V1.4 AT (85 л.с.)  | #FF0000 | 615 000 |  2010  |  35 674 км  |  1.4 AT (85 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1005674317-7bcb00 | http://is3.auto.ru/all/images/14/4b/60x45/144b2f0c.jpg |  Volkswagen Polo V1.6 MT (105 л.с.)  | #FFFFFF | 440 000 |  2011  |  56 681 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Воронеж | 23.01.15
1005286333-e7ff | http://is3.auto.ru/all/images/a0/bb/60x45/a0bbbc2a.jpg |  Volkswagen Polo V1.6 MT (105 л.с.)  | #FF0000 | 420 000 |  2010  |  109 400 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Иваново | 23.01.15
1006837309-a5b9b9 | http://is5.auto.ru/all/images/ae/4f/60x45/ae4fc995.jpg |  Volkswagen Polo V1.6 MT (105 л.с.)  | #000000 | 465 000 |  2012  |  37 000 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Иваново | 23.01.15
1007277729-016c | http://is18.auto.ru/all/images/01/85/60x45/0185416d.jpg |  Volkswagen Polo V1.4 AT (85 л.с.)  | #9c9999 | 505 000 |  2010  |  20 998 км  |  1.4 AT (85 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1006625723-830d | http://is1.auto.ru/all/images/77/a1/60x45/77a123b6.jpg |  Volkswagen Polo V1.6 MT (105 л.с.)  | #CACECB | 250 000 |  2011  |  317 905 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007274967-dca30 | http://is12.auto.ru/all/images/24/cd/60x45/24cdab6f.jpg |  Volkswagen Polo V1.6 MT (105 л.с.)  | #FFFFFF | 420 000 |  2014  |  2 500 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007276225-db79 | http://is7.auto.ru/all/images/b9/cf/60x45/b9cffcbe.jpg |  Volkswagen Polo V1.2 AT (105 л.с.)  | #FF0000 | 495 000 |  2012  |  36 000 км  |  1.2 AT (105 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1006954323-b986a8 | http://is17.auto.ru/all/images/c7/87/60x45/c7872d0a.jpg |  Volkswagen Polo V1.6 AT (105 л.с.)  | #FFFFFF | 550 000 |  2011  |  33 359 км  |  1.6 AT (105 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007272845-f924de | http://is8.auto.ru/all/images/8f/d2/60x45/8fd29953.jpg |  Volkswagen Polo V1.6 MT (105 л.с.)  | #9c9999 | 390 000 |  2014  |  6 985 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007271531-666476 | http://is3.auto.ru/all/images/52/f5/60x45/52f51a4b.jpg |  Volkswagen Polo V1.6 MT (105 л.с.)  | #000000 | 444 000 |  2012  |  45 000 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007270531-6c4d02 | http://is14.auto.ru/all/images/c0/6c/60x45/c06cc91c.jpg |  Volkswagen Polo V1.6 MT (105 л.с.)  | #000000 | 455 000 |  2014  |  25 000 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007271043-01576 | http://is15.auto.ru/all/images/4f/bd/60x45/4fbd800d.jpg |  Volkswagen Polo V1.6 MT (105 л.с.)  | #FFFFFF | 458 000 |  2011  |  65 182 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007269697-a128 | http://is15.auto.ru/all/images/02/f0/60x45/02f086fa.jpg |  Volkswagen Polo V1.6 MT (105 л.с.)  | #000000 | 460 000 |  2012  |  45 000 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007271047-3358 | http://is18.auto.ru/all/images/30/c9/60x45/30c92272.jpg |  Volkswagen Polo V1.6 AT (105 л.с.)  | #000000 | 467 000 |  2011  |  49 000 км  |  1.6 AT (105 л.с.)седан, бензин, передний  | Москва | 23.01.15
1003592468-d130 | http://is8.auto.ru/all/images/24/5c/60x45/245c2a46.jpg |  Volkswagen Polo V1.2 MT (70 л.с.)  | #000000 | 470 000 |  2012  |  22 500 км  |  1.2 MT (70 л.с.)хэтчбек, бензин, передний  | Краснодар | 23.01.15
1007271051-3602 | http://is12.auto.ru/all/images/01/d8/60x45/01d879c7.jpg |  Volkswagen Polo V1.6 AT (105 л.с.)  | #000000 | 478 000 |  2011  |  64 470 км  |  1.6 AT (105 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007270469-01362 | http://is12.auto.ru/all/images/13/70/60x45/1370e273.jpg |  Volkswagen Polo V1.6 MT (105 л.с.)  | #000000 | 490 000 |  2013  |  30 745 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007271055-5d2972 | http://is16.auto.ru/all/images/61/ad/60x45/61ad6ad0.jpg |  Volkswagen Polo V1.6 AT (105 л.с.)  | #FFFFFF | 505 000 |  2012  |  42 572 км  |  1.6 AT (105 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007271167-77d4 | http://is2.auto.ru/all/images/2a/8a/60x45/2a8ab2a0.jpg |  Volkswagen Polo V1.4 MT (85 л.с.)  | #FFFFFF | 505 000 |  2010  |  52 800 км  |  1.4 MT (85 л.с.)хэтчбек, бензин, передний  | Подольск | 23.01.15
1007270475-0c78 | http://is2.auto.ru/all/images/95/2e/60x45/952e8482.jpg |  Volkswagen Polo V1.6 MT (105 л.с.)  | #9c9999 | 509 000 |  2014  |  19 649 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007271165-7ec6 | http://is14.auto.ru/all/images/69/2e/60x45/692e4629.jpg |  Volkswagen Polo V1.6 AT (105 л.с.)  | #CACECB | 520 000 |  2011  |  33 000 км  |  1.6 AT (105 л.с.)седан, бензин, передний  | Подольск | 23.01.15
1007273075-ec6b0 | http://is2.auto.ru/all/images/77/f9/60x45/77f9d19a.jpg |  Volkswagen Polo V1.6 MT (105 л.с.)  | #FFFFFF | 565 000 |  2013  |  5 203 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007136243-7cb5 | http://is11.auto.ru/all/images/6c/65/60x45/6c650532.jpg |  Volkswagen Polo V1.6 MT (105 л.с.)  | #000000 | 570 000 |  2011  |  50 418 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Москва | 23.01.15
1005885931-2af93 | http://is9.auto.ru/all/images/6c/0a/60x45/6c0ace24.jpg |  Volkswagen Polo V1.6 AT (105 л.с.)  | #9c9999 | 580 000 |  2010  |  29 250 км  |  1.6 AT (105 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007127713-a94f7c | http://is15.auto.ru/all/images/66/25/60x45/662555cd.jpg |  Volkswagen Polo V1.6 MT (105 л.с.)  | #000000 | 679 000 |  2013  |  4 745 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007127715-396d | http://is14.auto.ru/all/images/e3/ec/60x45/e3ec1359.jpg |  Volkswagen Polo V1.6 AT (105 л.с.)  | #0000FF | 799 000 |  2014  |  5 500 км  |  1.6 AT (105 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007268553-6ba6 | http://is6.auto.ru/all/images/b2/85/60x45/b2854611.jpg |  Volkswagen Polo V1.6 MT (105 л.с.)  | #0000FF | 345 000 |  2012  |  72 500 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007265813-7d400 | http://is13.auto.ru/all/images/a0/9a/60x45/a09aaa4b.jpg |  Volkswagen Polo V1.6 MT (105 л.с.)  | #CACECB | 360 000 |  2012  |  35 400 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007267899-d797 | http://is2.auto.ru/all/images/85/83/60x45/8583a86c.jpg |  Volkswagen Polo V1.6 MT (105 л.с.)  | #000000 | 389 000 |  2011  |  52 000 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007268561-d5fb6b | http://is6.auto.ru/all/images/06/93/60x45/0693c5cf.jpg |  Volkswagen Polo V1.6 MT (105 л.с.)  | #CACECB | 390 000 |  2012  |  59 000 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007265809-a760 | http://is6.auto.ru/all/images/7a/59/60x45/7a59c7f4.jpg |  Volkswagen Polo V1.6 MT (105 л.с.)  | #FFFFFF | 399 000 |  2012  |  63 200 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007267909-de393 | http://is4.auto.ru/all/images/67/8b/60x45/678be750.jpg |  Volkswagen Polo V1.6 MT (105 л.с.)  | #000000 | 402 000 |  2011  |  41 000 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007266711-0326 | http://is18.auto.ru/all/images/7b/a8/60x45/7ba8ec39.jpg |  Volkswagen Polo V1.6 MT (105 л.с.)  | #FFFFFF | 410 000 |  2013  |  32 550 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007267917-7c69c2 | http://is13.auto.ru/all/images/8e/8f/60x45/8e8f7080.jpg |  Volkswagen Polo V1.6 MT (105 л.с.)  | #FFFFFF | 410 000 |  2011  |  47 000 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007268871-0bb08 | http://is16.auto.ru/all/images/6c/c5/60x45/6cc50427.jpg |  Volkswagen Polo V1.6 MT (105 л.с.)  | #FF0000 | 420 000 |  2012  |  65 000 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007268579-0617 | http://is15.auto.ru/all/images/6b/ab/60x45/6babdba6.jpg |  Volkswagen Polo V1.6 AT (105 л.с.)  | #0000FF | 450 000 |  2013  |  45 000 км  |  1.6 AT (105 л.с.)седан, бензин, передний  | Москва | 23.01.15
1006772457-4c4aa | http://is2.auto.ru/all/images/a3/90/60x45/a3901aef.jpg |  Volkswagen Polo V1.6 MT (105 л.с.)  | #CACECB | 497 000 |  2011  |  66 120 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Санкт-Петербург | 23.01.15
1007178503-e68611 | http://is14.auto.ru/all/images/e4/7c/60x45/e47c60b3.jpg |  Volkswagen Polo V1.6 AT (105 л.с.)  | #FF0000 | 543 000 |  2011  |  70 984 км  |  1.6 AT (105 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007269009-f551c | http://is5.auto.ru/all/images/e2/a5/60x45/e2a53b2d.jpg |  Volkswagen Polo V1.6 AT (105 л.с.)  | #000000 | 555 000 |  2012  |  45 000 км  |  1.6 AT (105 л.с.)седан, бензин, передний  | Москва | 23.01.15
1006772461-dbad | http://is16.auto.ru/all/images/7d/fb/60x45/7dfb9bea.jpg |  Volkswagen Polo V1.6 AT (105 л.с.)  | #000000 | 600 000 |  2012  |  56 800 км  |  1.6 AT (105 л.с.)седан, бензин, передний  | Санкт-Петербург | 23.01.15
1007268587-c399e6 | http://is13.auto.ru/all/images/3e/b0/60x45/3eb02b89.jpg |  Volkswagen Polo V1.4 AT (85 л.с.)  | #0000FF | 650 000 |  2013  |  35 000 км  |  1.4 AT (85 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1007265529-41a31c | http://is18.auto.ru/all/images/5c/0b/60x45/5c0bf737.jpg |  Volkswagen Polo IV Рестайлинг1.2 MT (70 л.с.)  | #9c9999 | 305 000 |  2008  |  61 000 км  |  1.2 MT (70 л.с.)хэтчбек, бензин, передний  | Санкт-Петербург | 23.01.15
1007266425-f1eab2 | /i/all7/img/no-photo-thumb.gif |  Volkswagen Polo V1.6 MT (105 л.с.)  | #FFFFFF | 355 000 |  2012  |  41 965 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007198993-40395 | /i/all7/img/no-photo-thumb.gif |  Volkswagen Polo V1.6 AT (105 л.с.)  | #FFFFFF | 635 000 |  2013  |  9 000 км  |  1.6 AT (105 л.с.)седан, бензин, передний  | Минводы | 23.01.15
1006944249-ba225 | http://is8.auto.ru/all/images/c0/1d/60x45/c01dbb0d.jpg |  Volkswagen Polo V1.6 AT (105 л.с.)  | #000000 | 525 300 |  2011  |  17 190 км  |  1.6 AT (105 л.с.)седан, бензин, передний  | Москва | 23.01.15
1006336457-f4641 | http://is14.auto.ru/all/images/0b/cc/60x45/0bcc2585.jpg |  Volkswagen Polo V1.6 MT (105 л.с.)  | #000000 | 557 000 |  2013  |  5 244 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Москва | 23.01.15
1006762633-fe7ac | http://is3.auto.ru/all/images/15/cb/60x45/15cbed42.jpg |  Volkswagen Polo V1.6 AT (105 л.с.)  | #000000 | 558 625 |  2011  |  43 374 км  |  1.6 AT (105 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007263817-a1fc | http://is1.auto.ru/all/images/38/f1/60x45/38f16875.jpg |  Volkswagen Polo V1.6 MT (105 л.с.)  | #CACECB | 460 000 |  2011  |  45 598 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Липецк | 23.01.15
1007262409-86b5 | http://is16.auto.ru/all/images/36/d0/60x45/36d04e76.jpg |  Volkswagen Polo V1.6 MT (105 л.с.)  | #FFFFFF | 417 200 |  2010  |  40 360 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Казань | 23.01.15
1007261849-2c1f4 | http://is12.auto.ru/all/images/86/3f/60x45/863fafa0.jpg |  Volkswagen Polo V1.6 AT (105 л.с.)  | #FFCC00 | 477 800 |  2011  |  85 000 км  |  1.6 AT (105 л.с.)седан, бензин, передний  | Ижевск | 23.01.15
1007262279-6529 | http://is1.auto.ru/all/images/42/b1/60x45/42b17a41.jpg |  Volkswagen Polo V1.6 AT (105 л.с.)  | #0000FF | 495 000 |  2012  |  80 000 км  |  1.6 AT (105 л.с.)седан, бензин, передний  | Набережные Челны | 23.01.15
