1006805051-16db | http://is7.auto.ru/all/images/34/30/60x45/34300528.jpg |  Audi A4 IV (B8)2.0 AT (211 л.с.) 4WD  | #CACECB | 880 000 |  2009  |  118 000 км  |  2.0 AT (211 л.с.) 4WDседан, бензин, полный  | Ростов-на-Дону | 22.01.15
1005574041-0215e | http://is3.auto.ru/all/images/2b/e0/60x45/2be0b03f.jpg |  Audi A4 I (B5)1.9d MT (110 л.с.) 4WD  | #0000FF | 300 000 |  1997  |  345 000 км  |  1.9d MT (110 л.с.) 4WDуниверсал, дизель, полный  | Железнодорожный | 22.01.15
1006869413-9d324 | http://is14.auto.ru/all/images/24/33/60x45/2433dfa2.jpg |  Audi A4 IV (B8)1.8 CVT (160 л.с.)  | #000000 | 990 000 |  2011  |  49 500 км  |  1.8 CVT (160 л.с.)седан, бензин, передний  | Москва | 22.01.15
1007041509-0014c7 | http://is17.auto.ru/all/images/d1/23/60x45/d1230e0a.jpg |  Audi A4 I (B5)1.6 MT (101 л.с.)  | #0000FF | 195 000 |  1995  |  187 000 км  |  1.6 MT (101 л.с.)седан, бензин, передний  | Москва | 22.01.15
1007232437-52ab9 | http://is5.auto.ru/all/images/e3/58/60x45/e3580083.jpg |  Audi A4 II (B6)2.0 MT (130 л.с.) 4WD  | #9c9999 | 350 000 |  2004  |  270 000 км  |  2.0 MT (130 л.с.) 4WDседан, бензин, полный  | Москва | 22.01.15
1006864625-15cbd | http://is3.auto.ru/all/images/c5/e0/60x45/c5e068ce.jpg |  Audi A4 III (B7)2.0 CVT (130 л.с.)  | #FF0000 | 540 000 |  2006  |  121 000 км  |  2.0 CVT (130 л.с.)седан, бензин, передний  | Озеры | 22.01.15
1006977305-5abf | http://is6.auto.ru/all/images/4c/35/60x45/4c356333.jpg |  Audi A4 IV (B8)2.0d CVT (143 л.с.)  | #000000 | 786 000 |  2008  |  127 000 км  |  2.0d CVT (143 л.с.)седан, дизель, передний  | Суворов | 22.01.15
1007103195-c35f | http://is8.auto.ru/all/images/37/81/60x45/3781d906.jpg |  Audi A4 IV (B8)2.0 AT (211 л.с.) 4WD  | #0000FF | 890 000 |  2010  |  59 000 км  |  2.0 AT (211 л.с.) 4WDседан, бензин, полный  | Москва | 22.01.15
1005744865-9272 | http://is13.auto.ru/all/images/94/e0/60x45/94e0d3c3.jpg |  Audi A4 II (B6)1.8 CVT (150 л.с.)  | #000000 | 320 000 |  2002  |  225 000 км  |  1.8 CVT (150 л.с.)седан, бензин, передний  | Киров | 22.01.15
1007184037-ac96 | http://is15.auto.ru/all/images/e5/d5/60x45/e5d53ebb.jpg |  Audi A4 II (B6)2.0 CVT (130 л.с.)  | #9c9999 | 379 000 |  2001  |  200 651 км  |  2.0 CVT (130 л.с.)седан, бензин, передний  | Чебоксары | 22.01.15
1007231313-cc5af7 | http://is5.auto.ru/all/images/a6/42/60x45/a642aabb.jpg |  Audi A4 IV (B8) Рестайлинг1.8 CVT (170 л.с.)  | #CACECB | 1 077 777 |  2013  |  36 258 км  |  1.8 CVT (170 л.с.)седан, бензин, передний  | Москва | 22.01.15
1007230357-a90f5 | http://is8.auto.ru/all/images/08/3b/60x45/083b0c83.jpg |  Audi A4 IV (B8)2.0d CVT (143 л.с.)  | #9c9999 | 639 000 |  2009  |  84 367 км  |  2.0d CVT (143 л.с.)универсал, дизель, передний  | Москва | 22.01.15
1007231057-a6654 | http://is16.auto.ru/all/images/eb/cb/60x45/ebcbc312.jpg |  Audi A4 IV (B8)2.0d CVT (143 л.с.)  | #9c9999 | 655 555 |  2009  |  76 500 км  |  2.0d CVT (143 л.с.)универсал, дизель, передний  | Москва | 22.01.15
1007230873-8747ce | http://is13.auto.ru/all/images/b5/11/60x45/b51154c8.jpg |  Audi A4 IV (B8) Рестайлинг1.8 CVT (170 л.с.)  | #FFFFFF | 1 098 888 |  2013  |  21 800 км  |  1.8 CVT (170 л.с.)седан, бензин, передний  | Москва | 22.01.15
1007230535-75e84c | http://is4.auto.ru/all/images/d7/51/60x45/d75174d6.jpg |  Audi A4 IV (B8)1.8 CVT (160 л.с.)  | #000000 | 599 999 |  2009  |  110 000 км  |  1.8 CVT (160 л.с.)седан, бензин, передний  | Москва | 22.01.15
1007230247-25df3 | http://is17.auto.ru/all/images/8f/de/60x45/8fde63f4.jpg |  Audi A4 IV (B8)1.8 MT (160 л.с.)  | #000000 | 680 000 |  2008  |  140 000 км  |  1.8 MT (160 л.с.)седан, бензин, передний  | Ярославль | 22.01.15
1007226425-5b26 | http://is1.auto.ru/all/images/42/15/60x45/4215f35b.jpg |  Audi A4 III (B7)2.0d CVT (140 л.с.) 8V  | #0000FF | 499 000 |  2006  |  95 000 км  |  2.0d CVT (140 л.с.) 8Vуниверсал, дизель, передний  | Москва | 22.01.15
1007226769-4bebe | http://is3.auto.ru/all/images/18/47/60x45/1847eb64.jpg |  Audi A4 I (B5) Рестайлинг1.8 MT (150 л.с.)  | #CACECB | 270 000 |  1999  |  175 000 км  |  1.8 MT (150 л.с.)седан, бензин, передний  | Краснодар | 22.01.15
1007228927-82c8f1 | http://is12.auto.ru/all/images/5d/c9/60x45/5dc9d58b.jpg |  Audi A4 IV (B8)2.0d CVT (143 л.с.)  | #FF0000 | 929 000 |  2008  |  47 000 км  |  2.0d CVT (143 л.с.)седан, дизель, передний  | Санкт-Петербург | 22.01.15
1007227671-a451df | http://is9.auto.ru/all/images/49/f5/60x45/49f53a04.jpg |  Audi A4 IV (B8)1.8 CVT (160 л.с.)  | #FF0000 | 722 222 |  2009  |  67 474 км  |  1.8 CVT (160 л.с.)седан, бензин, передний  | Москва | 22.01.15
1006740815-75bbcf | http://is14.auto.ru/all/images/83/4f/60x45/834ffa55.jpg |  Audi A4 IV (B8)1.8 CVT (160 л.с.)  | #FF0000 | 790 000 |  2010  |  100 000 км  |  1.8 CVT (160 л.с.)седан, бензин, передний  | Москва | 22.01.15
1007227111-5d724 | http://is11.auto.ru/all/images/08/f7/60x45/08f711f7.jpg |  Audi A4 III (B7)2.0 CVT (130 л.с.)  | #CACECB | 439 000 |  2005  |  94 000 км  |  2.0 CVT (130 л.с.)седан, бензин, передний  | Санкт-Петербург | 22.01.15
1007226977-15c721 | http://is17.auto.ru/all/images/be/60/60x45/be609f21.jpg |  Audi A4 II (B6)1.8 AT (170 л.с.) 4WD  | #CACECB | 433 333 |  2004  |  112 000 км  |  1.8 AT (170 л.с.) 4WDседан, бензин, полный  | Москва | 22.01.15
1007226073-dfe6b4 | http://is5.auto.ru/all/images/0d/d7/60x45/0dd7a732.jpg |  Audi A4 IV (B8)1.8 CVT (160 л.с.)  | #000000 | 989 000 |  2011  |  45 000 км  |  1.8 CVT (160 л.с.)седан, бензин, передний  | Москва | 22.01.15
1007222983-9fa530 | http://is9.auto.ru/all/images/60/6a/60x45/606a47e5.jpg |  Audi A4 IV (B8)1.8 CVT (160 л.с.)  | #FFFFFF | 737 700 |  2009  |  89 532 км  |  1.8 CVT (160 л.с.)универсал, бензин, передний  | Москва | 22.01.15
1007221457-556f65 | http://is2.auto.ru/all/images/a1/29/60x45/a129b1e3.jpg |  Audi A4 II (B6)2.0 CVT (130 л.с.)  | #000000 | 409 000 |  2003  |  91 123 км  |  2.0 CVT (130 л.с.)универсал, бензин, передний  | Санкт-Петербург | 22.01.15
1007224507-c2d043 | http://is9.auto.ru/all/images/86/5c/60x45/865c98cf.jpg |  Audi A4 III (B7)2.0 AT (200 л.с.) 4WD  | #9c9999 | 599 999 |  2008  |  97 000 км  |  2.0 AT (200 л.с.) 4WDседан, бензин, полный  | Москва | 22.01.15
1007224371-22d5b6 | http://is11.auto.ru/all/images/c9/a9/60x45/c9a985ed.jpg |  Audi A4 IV (B8)2.0d CVT (143 л.с.)  | #9c9999 | 949 900 |  2010  |  62 000 км  |  2.0d CVT (143 л.с.)универсал, дизель, передний  | Санкт-Петербург | 22.01.15
1007223895-cbddc | http://is3.auto.ru/all/images/ef/c8/60x45/efc8f380.jpg |  Audi A4 I (B5)1.8 AT (125 л.с.)  | #9c9999 | 225 000 |  1995  |  153 000 км  |  1.8 AT (125 л.с.)седан, бензин, передний  | Москва | 22.01.15
1007222655-aec0 | http://is15.auto.ru/all/images/ef/a1/60x45/efa121de.jpg |  Audi A4 IV (B8) Рестайлинг1.8 CVT (170 л.с.)  | #FFFFFF | 1 350 000 |  2013  |  18 060 км  |  1.8 CVT (170 л.с.)седан, бензин, передний  | Москва | 22.01.15
1007222441-1d12 | http://is12.auto.ru/all/images/f6/79/60x45/f679d35c.jpg |  Audi A4 I (B5) Рестайлинг2.4 MT (165 л.с.) 4WD  | #FF0000 | 265 555 |  1999  |  120 000 км  |  2.4 MT (165 л.с.) 4WDуниверсал, бензин, полный  | Москва | 22.01.15
1007221811-ed4405 | http://is3.auto.ru/all/images/59/e9/60x45/59e92fa3.jpg |  Audi A4 II (B6)1.9d CVT (130 л.с.)  | #9c9999 | 399 777 |  2004  |  167 000 км  |  1.9d CVT (130 л.с.)седан, дизель, передний  | Санкт-Петербург | 22.01.15
1007221577-af75 | http://is18.auto.ru/all/images/a7/51/60x45/a75120b3.jpg |  Audi A4 III (B7)2.0 CVT (130 л.с.)  | #FF0000 | 590 000 |  2006  |  130 000 км  |  2.0 CVT (130 л.с.)седан, бензин, передний  | Санкт-Петербург | 22.01.15
1007221005-9c85ca | http://is6.auto.ru/all/images/81/0b/60x45/810bbebd.jpg |  Audi A4 IV (B8)2.0 AT (211 л.с.) 4WD  | #9c9999 | 1 050 000 |  2010  |  85 000 км  |  2.0 AT (211 л.с.) 4WDседан, бензин, полный  | Санкт-Петербург | 22.01.15
1007220883-947f | http://is11.auto.ru/all/images/c6/86/60x45/c6865002.jpg |  Audi A4 III (B7)2.0 CVT (200 л.с.)  | #0000FF | 660 000 |  2007  |  80 125 км  |  2.0 CVT (200 л.с.)седан, бензин, передний  | Санкт-Петербург | 22.01.15
1007217271-bb45 | http://is18.auto.ru/all/images/5b/fd/60x45/5bfdbf39.jpg |  Audi A4 I (B5)2.6 MT (150 л.с.)  | #000000 | 198 888 |  1996  |  187 000 км  |  2.6 MT (150 л.с.)седан, бензин, передний  | Санкт-Петербург | 22.01.15
1007219151-3bdcfd | http://is3.auto.ru/all/images/c7/02/60x45/c70258f7.jpg |  Audi A4 III (B7)2.0 AT (200 л.с.) 4WD  | #FF0000 | 565 000 |  2007  |  85 000 км  |  2.0 AT (200 л.с.) 4WDседан, бензин, полный  | Москва | 22.01.15
1007218845-aa2e | http://is12.auto.ru/all/images/26/9c/60x45/269cc0ef.jpg |  Audi A4 II (B6)2.4 CVT (170 л.с.)  | #CC0033 | 425 000 |  2004  |  102 000 км  |  2.4 CVT (170 л.с.)седан, бензин, передний  | Москва | 22.01.15
1007218783-d30fa | http://is3.auto.ru/all/images/12/5c/60x45/125c4252.jpg |  Audi A4 I (B5)1.8 MT (125 л.с.)  | #0000FF | 165 000 |  1998  |  233 000 км  |  1.8 MT (125 л.с.)седан, бензин, передний  | Москва | 22.01.15
1007218487-5572 | http://is6.auto.ru/all/images/7f/83/60x45/7f838887.jpg |  Audi A4 III (B7)2.0 CVT (130 л.с.)  | #CC0033 | 525 000 |  2007  |  123 000 км  |  2.0 CVT (130 л.с.)седан, бензин, передний  | Москва | 22.01.15
1007215461-5caa8d | http://is6.auto.ru/all/images/7d/0f/60x45/7d0fa47b.jpg |  Audi A4 III (B7)2.0 MT (130 л.с.)  | #ffefd5 | 545 000 |  2005  |  93 000 км  |  2.0 MT (130 л.с.)седан, бензин, передний  | Москва | 22.01.15
1007217077-06cfa | http://is8.auto.ru/all/images/43/4e/60x45/434e01c1.jpg |  Audi A4 III (B7)1.8 CVT (163 л.с.)  | #000000 | 600 000 |  2007  |  116 000 км  |  1.8 CVT (163 л.с.)седан, бензин, передний  | Москва | 22.01.15
1007217379-3e1b6c | http://is3.auto.ru/all/images/42/25/60x45/42250b83.jpg |  Audi A4 III (B7)1.8 CVT (163 л.с.)  | #CACECB | 480 000 |  2007  |  68 000 км  |  1.8 CVT (163 л.с.)седан, бензин, передний  | Москва | 22.01.15
1007217399-f7e74 | http://is6.auto.ru/all/images/cf/35/60x45/cf3533f3.jpg |  Audi A4 III (B7)2.0d AT (140 л.с.) 4WD 8V  | #0000FF | 485 000 |  2007  |  93 000 км  |  2.0d AT (140 л.с.) 4WD 8Vседан, дизель, полный  | Москва | 22.01.15
1007215923-00f2f | http://is3.auto.ru/all/images/a7/67/60x45/a7675c57.jpg |  Audi A4 IV (B8) Рестайлинг1.8 CVT (170 л.с.)  | #FFFFFF | 1 090 000 |  2013  |  21 000 км  |  1.8 CVT (170 л.с.)седан, бензин, передний  | Москва | 22.01.15
1007215359-e71e68 | http://is3.auto.ru/all/images/46/61/60x45/466167d7.jpg |  Audi A4 III (B7)2.0d MT (140 л.с.) 8V  | #CACECB | 479 888 |  2006  |  99 000 км  |  2.0d MT (140 л.с.) 8Vуниверсал, дизель, передний  | Санкт-Петербург | 22.01.15
1005674813-7d0c5d | http://is2.auto.ru/all/images/0e/d2/60x45/0ed29e13.jpg |  Audi A4 IV (B8)1.8 CVT (160 л.с.)  | #FFFFFF | 899 000 |  2010  |  86 000 км  |  1.8 CVT (160 л.с.)седан, бензин, передний  | Москва | 22.01.15
1005969161-50018 | http://is14.auto.ru/all/images/2d/51/60x45/2d517f16.jpg |  Audi A4 IV (B8) Рестайлинг1.8 CVT (120 л.с.)  | #9c9999 | 949 000 |  2011  |  72 353 км  |  1.8 CVT (120 л.с.)седан, бензин, передний  | Москва | 22.01.15
1006004277-84dab | http://is4.auto.ru/all/images/12/a7/60x45/12a774e7.jpg |  Audi A4 IV (B8) Рестайлинг1.8 CVT (120 л.с.)  | #FF0000 | 999 000 |  2011  |  18 900 км  |  1.8 CVT (120 л.с.)седан, бензин, передний  | Москва | 22.01.15
1005948257-25ee8 | http://is18.auto.ru/all/images/03/ed/60x45/03ed12d8.jpg |  Audi A4 IV (B8) Рестайлинг2.0 AT (225 л.с.) 4WD  | #FFFFFF | 1 932 699 |  2014  |  7 584 км  |  2.0 AT (225 л.с.) 4WDседан, бензин, полный  | Москва | 22.01.15
1005420765-4d61b | http://is14.auto.ru/all/images/03/a3/60x45/03a3e659.jpg |  Audi A4 III (B7)2.0 CVT (130 л.с.)  | #FF0000 | 599 000 |  2006  |  134 000 км  |  2.0 CVT (130 л.с.)седан, бензин, передний  | Москва | 22.01.15
1005613405-0b74 | http://is8.auto.ru/all/images/c5/82/60x45/c582e225.jpg |  Audi A4 III (B7)2.0 CVT (130 л.с.)  | #ffefd5 | 668 745 |  2006  |  100 716 км  |  2.0 CVT (130 л.с.)седан, бензин, передний  | Москва | 22.01.15
1006136795-d55e9 | http://is11.auto.ru/all/images/5b/d5/60x45/5bd53666.jpg |  Audi A4 IV (B8)2.0 CVT (211 л.с.)  | #000000 | 789 249 |  2008  |  109 953 км  |  2.0 CVT (211 л.с.)седан, бензин, передний  | Москва | 22.01.15
1005785589-4c85ba | http://is1.auto.ru/all/images/03/91/60x45/0391d3fa.jpg |  Audi A4 IV (B8)1.8 CVT (160 л.с.)  | #FF0000 | 899 000 |  2009  |  66 180 км  |  1.8 CVT (160 л.с.)седан, бензин, передний  | Москва | 22.01.15
1005357467-d0a9 | http://is7.auto.ru/all/images/5f/28/60x45/5f282d1f.jpg |  Audi A4 II (B6)1.8 AT (170 л.с.) 4WD  | #000000 | 417 000 |  2002  |  164 936 км  |  1.8 AT (170 л.с.) 4WDседан, бензин, полный  | Москва | 22.01.15
1006688791-12ac | http://is15.auto.ru/all/images/1e/d9/60x45/1ed9231a.jpg |  Audi A4 III (B7)2.0 MT (200 л.с.) 4WD  | #FFFFFF | 700 000 |  2008  |  140 000 км  |  2.0 MT (200 л.с.) 4WDседан, бензин, полный  | Тула | 22.01.15
1007213575-7c457 | http://is16.auto.ru/all/images/25/29/60x45/2529e4bb.jpg |  Audi A4 III (B7)2.0 CVT (130 л.с.)  | #000000 | 550 000 |  2008  |  92 000 км  |  2.0 CVT (130 л.с.)седан, бензин, передний  | Москва | 22.01.15
1007212659-ea762e | http://is1.auto.ru/all/images/29/58/60x45/295815d6.jpg |  Audi A4 I (B5) Рестайлинг2.4 MT (165 л.с.)  | #9c9999 | 230 000 |  1999  |  127 800 км  |  2.4 MT (165 л.с.)универсал, бензин, передний  | Москва | 22.01.15
1007212611-86c2 | http://is9.auto.ru/all/images/ca/91/60x45/ca91a402.jpg |  Audi A4 I (B5) Рестайлинг1.8 MT (125 л.с.)  | #000000 | 270 000 |  2001  |  130 000 км  |  1.8 MT (125 л.с.)универсал, бензин, передний  | Москва | 22.01.15
1007212499-eb8bb1 | http://is2.auto.ru/all/images/75/a9/60x45/75a92c7c.jpg |  Audi A4 III (B7)2.0 CVT (130 л.с.)  | #CACECB | 360 000 |  2005  |  120 700 км  |  2.0 CVT (130 л.с.)седан, бензин, передний  | Москва | 22.01.15
1007211005-d375 | http://is6.auto.ru/all/images/1c/18/60x45/1c18973a.jpg |  Audi A4 II (B6)2.0 AT (130 л.с.) 4WD  | #000000 | 335 000 |  2003  |  120 000 км  |  2.0 AT (130 л.с.) 4WDседан, бензин, полный  | Москва | 22.01.15
1007211025-65295 | http://is11.auto.ru/all/images/1a/f0/60x45/1af0e9eb.jpg |  Audi A4 III (B7)2.0 CVT (130 л.с.)  | #9c9999 | 505 000 |  2006  |  91 000 км  |  2.0 CVT (130 л.с.)седан, бензин, передний  | Москва | 22.01.15
1007211087-c6c1 | http://is3.auto.ru/all/images/a8/46/60x45/a846dd51.jpg |  Audi A4 III (B7)2.0 CVT (200 л.с.)  | #000000 | 585 000 |  2006  |  109 528 км  |  2.0 CVT (200 л.с.)седан, бензин, передний  | Москва | 22.01.15
1006335717-c4e8 | http://is11.auto.ru/all/images/8e/3a/60x45/8e3a4dfc.jpg |  Audi A4 IV (B8)2.0 AT (211 л.с.) 4WD  | #FFFFFF | 1 177 000 |  2011  |  57 673 км  |  2.0 AT (211 л.с.) 4WDседан, бензин, полный  | Москва | 22.01.15
1007209469-24fd | http://is2.auto.ru/all/images/2f/37/60x45/2f372dc7.jpg |  Audi A4 II (B6)1.8 CVT (163 л.с.)  | #CACECB | 365 000 |  2003  |  147 000 км  |  1.8 CVT (163 л.с.)универсал, бензин, передний  | Москва | 22.01.15
1007208557-f04f3 | http://is7.auto.ru/all/images/df/7d/60x45/df7d6b8b.jpg |  Audi A4 III (B7)2.0 AT (200 л.с.) 4WD  | #ffefd5 | 535 000 |  2007  |  79 000 км  |  2.0 AT (200 л.с.) 4WDседан, бензин, полный  | Москва | 22.01.15
1007209453-9909 | http://is11.auto.ru/all/images/f4/0b/60x45/f40b2a36.jpg |  Audi A4 I (B5)1.6 MT (101 л.с.)  | #FF0000 | 199 000 |  1996  |  251 000 км  |  1.6 MT (101 л.с.)седан, бензин, передний  | Москва | 22.01.15
1007208597-cb58da | http://is8.auto.ru/all/images/83/35/60x45/83356ddf.jpg |  Audi A4 I (B5) Рестайлинг1.6 AT (101 л.с.)  | #000000 | 220 000 |  1998  |  178 500 км  |  1.6 AT (101 л.с.)седан, бензин, передний  | Москва | 22.01.15
1007208581-4c5ef | http://is17.auto.ru/all/images/ea/10/60x45/ea1011f9.jpg |  Audi A4 II (B6)1.8 MT (170 л.с.) 4WD  | #CACECB | 385 000 |  2004  |  117 550 км  |  1.8 MT (170 л.с.) 4WDседан, бензин, полный  | Москва | 22.01.15
1005287867-2bd10 | http://is6.auto.ru/all/images/5d/f1/60x45/5df1530a.jpg |  Audi A4 IV (B8) Рестайлинг1.8 MT (170 л.с.)  | #000000 | 1 150 000 |  2013  |  37 950 км  |  1.8 MT (170 л.с.)универсал, бензин, передний  | Москва | 22.01.15
1006949105-f911e8 | http://is18.auto.ru/all/images/09/0e/60x45/090e4d52.jpg |  Audi A4 IV (B8)1.8 CVT (160 л.с.)  | #000000 | 860 000 |  2010  |  60 000 км  |  1.8 CVT (160 л.с.)седан, бензин, передний  | Москва | 22.01.15
1007204583-1f51 | http://is11.auto.ru/all/images/77/a2/60x45/77a28efe.jpg |  Audi A4 II (B6)1.8 AT (170 л.с.) 4WD  | #0088ff | 250 000 |  2002  |  136 000 км  |  1.8 AT (170 л.с.) 4WDседан, бензин, полный  | Москва | 22.01.15
1006738145-fcd0d | http://is18.auto.ru/all/images/35/8c/60x45/358cce2e.jpg |  Audi A4 II (B6)2.0 CVT (130 л.с.)  | #000000 | 360 000 |  2003  |  185 500 км  |  2.0 CVT (130 л.с.)седан, бензин, передний  | Москва | 22.01.15
