36596518-52dc | http://is7.auto.ru/all/images/1f/5f/60x45/1f5fb583.jpg |  Renault Logan I Рестайлинг1.6 MT (84 л.с.)  | #0000FF | 260 000 |  2007  |  150 000 км  |  1.6 MT (84 л.с.)седан, бензин, передний  | Сургут | 29.07.14
1005814151-fe480 | http://is13.auto.ru/all/images/12/33/60x45/12336156.jpg |  Renault Logan I Рестайлинг1.6 MT (84 л.с.)  | #ffefd5 | 345 000 |  2012  |  50 000 км  |  1.6 MT (84 л.с.)седан, бензин, передний  | Псков | 29.12.14
1005814793-1ac38 | http://is5.auto.ru/all/images/82/1f/60x45/821ffc6d.jpg |  Renault Logan I1.4 MT (75 л.с.)  | #9c9999 | 195 000 |  2007  |  120 000 км  |  1.4 MT (75 л.с.)седан, бензин, передний  | Калуга | 30.12.14
1005924765-7d1aaf | http://is17.auto.ru/all/images/64/c8/60x45/64c83e3e.jpg |  Renault Logan I Рестайлинг1.4 MT (75 л.с.)  | #FFFFFF | 310 000 |  2011  |  63 000 км  |  1.4 MT (75 л.с.)седан, бензин, передний  | Белгород | 30.12.14
1005970311-e4d9a | http://is15.auto.ru/all/images/51/f5/60x45/51f50052.jpg |  Renault Logan I Рестайлинг1.6 MT (102 л.с.)  | #9c9999 | 339 000 |  2010  |  50 000 км  |  1.6 MT (102 л.с.)седан, бензин, передний  | Тула | 30.12.14
1005970279-71c3c | http://is6.auto.ru/all/images/ff/f6/60x45/fff6349b.jpg |  Renault Logan I Рестайлинг1.6 MT (84 л.с.)  | #CACECB | 160 000 |  2009  |  158 000 км  |  1.6 MT (84 л.с.)седан, бензин, передний  | Москва | 30.12.14
1003356408-d43a | http://is12.auto.ru/all/images/bc/17/60x45/bc173b88.jpg |  Renault Logan I1.6 MT (90 л.с.)  | #9c9999 | 260 000 |  2009  |  117 000 км  |  1.6 MT (90 л.с.)седан, бензин, передний  | Санкт-Петербург | 30.12.14
1005922997-23aa | /i/all7/img/no-photo-thumb.gif |  Renault Logan I Рестайлинг1.6 MT (84 л.с.)  | #FF0000 | 399 999 |  2011  |  38 500 км  |  1.6 MT (84 л.с.)седан, бензин, передний  | Стародуб | 30.12.14
1002789855-f688c | http://is4.auto.ru/all/images/a1/47/60x45/a147bf89.jpg |  Renault Logan I Рестайлинг1.6 MT (102 л.с.)  | #000000 | 255 000 |  2010  |  64 000 км  |  1.6 MT (102 л.с.)седан, бензин, передний  | Москва | 30.12.14
1002789851-6516 | http://is13.auto.ru/all/images/15/a5/60x45/15a53f7e.jpg |  Renault Logan I Рестайлинг1.6 MT (102 л.с.)  | #000000 | 320 000 |  2012  |  34 000 км  |  1.6 MT (102 л.с.)седан, бензин, передний  | Москва | 30.12.14
1002789923-65ce | http://is10.auto.ru/all/images/7d/ff/60x45/7dff54a8.jpg |  Renault Logan I1.6 MT (90 л.с.)  | #9c9999 | 215 000 |  2007  |  82 000 км  |  1.6 MT (90 л.с.)седан, бензин, передний  | Москва | 30.12.14
1005744579-8f2c08 | http://is18.auto.ru/all/images/75/d8/60x45/75d81180.jpg |  Renault Logan II1.6 MT (82 л.с.)  | #FFFFFF | 519 000 |  2014  |  11 км  |  1.6 MT (82 л.с.)седан, бензин, передний  | Москва | 30.12.14
1005980197-cecfb9 | http://is14.auto.ru/all/images/31/b8/60x45/31b8401c.jpg |  Renault Logan I1.6 MT (90 л.с.)  | #0000FF | 185 000 |  2007  |  130 000 км  |  1.6 MT (90 л.с.)седан, бензин, передний  | Ковров | 30.12.14
1002886089-6ec6 | http://is6.auto.ru/all/images/07/8a/60x45/078aed9a.jpg |  Renault Logan I Рестайлинг1.6 MT (84 л.с.)  | #000000 | 349 000 |  2012  |  56 000 км  |  1.6 MT (84 л.с.)седан, бензин, передний  | Ростов-на-Дону | 31.12.14
1005980541-def410 | http://is4.auto.ru/all/images/39/4a/60x45/394a6988.jpg |  Renault Logan I Рестайлинг1.6 MT (102 л.с.)  | #000000 | 420 000 |  2012  |  39 000 км  |  1.6 MT (102 л.с.)седан, бензин, передний  | Липецк | 31.12.14
1006022653-b7d42c | http://is2.auto.ru/all/images/1e/28/60x45/1e28353a.jpg |  Renault Logan I Рестайлинг1.6 MT (84 л.с.)  | #ffefd5 | 330 000 |  2010  |  64 000 км  |  1.6 MT (84 л.с.)седан, бензин, передний  | Владимир | 31.12.14
1005710619-5d3a | http://is10.auto.ru/all/images/19/58/60x45/195807d1.jpg |  Renault Logan I1.6 MT (90 л.с.)  | #9c9999 | 245 000 |  2007  |  94 000 км  |  1.6 MT (90 л.с.)седан, бензин, передний  | Владимир | 31.12.14
1002221697-65d51 | /i/all7/img/no-photo-thumb.gif |  Renault Logan I1.4 MT (75 л.с.)  | #0000FF | 120 000 |  2006  |  206 000 км  |  1.4 MT (75 л.с.)седан, бензин, передний  | Выборг | 01.01.15
1006067987-2225 | http://is18.auto.ru/all/images/b1/70/60x45/b170ad2d.jpg |  Renault Logan I Рестайлинг1.4 MT (75 л.с.)  | #000000 | 250 000 |  2010  |  220 000 км  |  1.4 MT (75 л.с.)седан, бензин, передний  | Белгород | 01.01.15
1006107875-cdb84 | /i/all7/img/no-photo-thumb.gif |  Renault Logan I1.4 MT (75 л.с.)  | #CACECB | 190 000 |  2007  |  212 000 км  |  1.4 MT (75 л.с.)седан, бензин, передний  | Кировск | 02.01.15
1006108465-129d46 | http://is5.auto.ru/all/images/30/3b/60x45/303ba135.jpg |  Renault Logan I1.4 MT (75 л.с.)  | #CACECB | 215 000 |  2006  |  250 км  |  1.4 MT (75 л.с.)седан, бензин, передний  | Лыткарино | 02.01.15
1001390283-d5bb18 | http://is17.auto.ru/all/images/d1/b2/60x45/d1b2c2a2.jpg |  Renault Logan I Рестайлинг1.6 MT (102 л.с.)  | #000000 | 315 000 |  2011  |  25 000 км  |  1.6 MT (102 л.с.)седан, бензин, передний  | Кирово-Чепецк | 02.01.15
1006114641-2a528 | http://is18.auto.ru/all/images/70/aa/60x45/70aab455.jpg |  Renault Logan I1.4 MT (75 л.с.)  | #9c9999 | 207 000 |  2006  |  193 000 км  |  1.4 MT (75 л.с.)седан, бензин, передний  | Смоленск | 02.01.15
1006156635-7efe6a | http://is13.auto.ru/all/images/00/5c/60x45/005c139b.jpg |  Renault Logan II1.6 MT (102 л.с.)  | #FFFFFF | 622 000 |  2014  |  488 км  |  1.6 MT (102 л.с.)седан, бензин, передний  | Москва | 03.01.15
1006112793-b642 | http://is6.auto.ru/all/images/56/ab/60x45/56ab578b.jpg |  Renault Logan I Рестайлинг1.4 MT (75 л.с.)  | #0000FF | 290 000 |  2010  |  62 000 км  |  1.4 MT (75 л.с.)седан, бензин, передний  | Рязань | 03.01.15
1006158465-584d | http://is17.auto.ru/all/images/ef/32/60x45/ef321533.jpg |  Renault Logan I Рестайлинг1.6 MT (84 л.с.)  | #CACECB | 350 000 |  2012  |  35 000 км  |  1.6 MT (84 л.с.)седан, бензин, передний  | Вологда | 03.01.15
1006162115-a774 | http://is13.auto.ru/all/images/4b/e5/60x45/4be5bf2e.jpg |  Renault Logan I Рестайлинг1.6 MT (84 л.с.)  | #FFFFFF | 350 000 |  2012  |  38 955 км  |  1.6 MT (84 л.с.)седан, бензин, передний  | Саратов | 03.01.15
1006110493-572c15 | http://is13.auto.ru/all/images/8a/07/60x45/8a07cf5f.jpg |  Renault Logan I1.6 MT (90 л.с.)  | #0000FF | 220 000 |  2008  |  132 000 км  |  1.6 MT (90 л.с.)седан, бензин, передний  | Санкт-Петербург | 03.01.15
1006155265-6385 | http://is1.auto.ru/all/images/43/83/60x45/4383ec0e.jpg |  Renault Logan I1.4 MT (75 л.с.)  | #CACECB | 220 000 |  2008  |  80 000 км  |  1.4 MT (75 л.с.)седан, бензин, передний  | Москва | 03.01.15
1005443033-1eeef | http://is18.auto.ru/all/images/db/90/60x45/db90b662.jpg |  Renault Logan I1.4 MT (75 л.с.)  | #9c9999 | 235 000 |  2008  |  70 000 км  |  1.4 MT (75 л.с.)седан, бензин, передний  | Ярославль | 03.01.15
1006114829-6ddd6 | http://is15.auto.ru/all/images/63/55/60x45/6355557c.jpg |  Renault Logan I1.4 MT (75 л.с.)  | #0000FF | 245 000 |  2007  |  135 000 км  |  1.4 MT (75 л.с.)седан, бензин, передний  | Смоленск | 03.01.15
1005438175-3216 | http://is11.auto.ru/all/images/82/0f/60x45/820f9aec.jpg |  Renault Logan I1.6 MT (90 л.с.)  | #CACECB | 279 000 |  2009  |  101 000 км  |  1.6 MT (90 л.с.)седан, бензин, передний  | Курск | 03.01.15
1006156991-74212 | http://is3.auto.ru/all/images/29/7b/60x45/297b6e57.jpg |  Renault Logan I1.4 MT (75 л.с.)  | #9c9999 | 280 000 |  2009  |  120 000 км  |  1.4 MT (75 л.с.)седан, бензин, передний  | Тула | 03.01.15
1006159045-e6343 | http://is13.auto.ru/all/images/30/1d/60x45/301d44f5.jpg |  Renault Logan I Рестайлинг1.6 MT (84 л.с.)  | #000000 | 299 000 |  2011  |  70 000 км  |  1.6 MT (84 л.с.)седан, бензин, передний  | Архангельск | 03.01.15
1006157303-c99a | http://is1.auto.ru/all/images/bc/14/60x45/bc1414bd.jpg |  Renault Logan I1.4 MT (75 л.с.)  | #0000FF | 185 000 |  2008  |  230 000 км  |  1.4 MT (75 л.с.)седан, бензин, передний  | Белгород | 03.01.15
1006158237-4f672 | http://is12.auto.ru/all/images/22/17/60x45/2217e270.jpg |  Renault Logan I1.4 MT (75 л.с.)  | #34ba2b | 220 000 |  2006  |  90 000 км  |  1.4 MT (75 л.с.)седан, бензин, передний  | Ковров | 03.01.15
1006154709-9ca8a1 | /i/all7/img/no-photo-thumb.gif |  Renault Logan I Рестайлинг1.4 MT (75 л.с.)  | #ffefd5 | 316 200 |  2011  |  91 724 км  |  1.4 MT (75 л.с.)седан, бензин, передний  | Москва | 03.01.15
1006155511-31e6e | /i/all7/img/no-photo-thumb.gif |  Renault Logan I1.4 MT (75 л.с.)  | #9c9999 | 220 000 |  2007  |  97 000 км  |  1.4 MT (75 л.с.)седан, бензин, передний  | Санкт-Петербург | 03.01.15
1006206223-3d1067 | /i/all7/img/no-photo-thumb.gif |  Renault Logan I Рестайлинг1.4 MT (75 л.с.)  | #000000 | 350 000 |  2010  |  44 000 км  |  1.4 MT (75 л.с.)седан, бензин, передний  | Москва | 04.01.15
1005857077-fd805a | http://is12.auto.ru/all/images/6e/7a/60x45/6e7aaca8.jpg |  Renault Logan I Рестайлинг1.4 MT (75 л.с.)  | #0000FF | 340 000 |  2011  |  54 500 км  |  1.4 MT (75 л.с.)седан, бензин, передний  | Вологда | 04.01.15
1005643555-c35f | http://is2.auto.ru/all/images/4f/10/60x45/4f10e64a.jpg |  Renault Logan I Рестайлинг1.4 MT (75 л.с.)  | #ffefd5 | 295 000 |  2011  |  51 000 км  |  1.4 MT (75 л.с.)седан, бензин, передний  | Иваново | 04.01.15
1006209939-c0713 | http://is18.auto.ru/all/images/ee/25/60x45/ee2590a0.jpg |  Renault Logan I1.4 MT (75 л.с.)  | #9c9999 | 258 000 |  2008  |  120 000 км  |  1.4 MT (75 л.с.)седан, бензин, передний  | Великие Луки | 04.01.15
1006213145-4a565 | http://is12.auto.ru/all/images/44/8e/60x45/448e88a6.jpg |  Renault Logan I1.4 MT (75 л.с.)  | #9c9999 | 145 000 |  2008  |  90 000 км  |  1.4 MT (75 л.с.)седан, бензин, передний  | Киров | 04.01.15
1006213155-0028 | http://is10.auto.ru/all/images/43/7b/60x45/437b468f.jpg |  Renault Logan I Рестайлинг1.6 MT (102 л.с.)  | #9c9999 | 370 000 |  2011  |  28 000 км  |  1.6 MT (102 л.с.)седан, бензин, передний  | Курск | 04.01.15
1006214977-a01d61 | /i/all7/img/no-photo-thumb.gif |  Renault Logan I1.4 MT (75 л.с.)  | #34ba2b | 160 000 |  2005  |  160 000 км  |  1.4 MT (75 л.с.)седан, бензин, передний  | Белгород | 04.01.15
1006215473-f9899c | http://is14.auto.ru/all/images/bf/c3/60x45/bfc34328.jpg |  Renault Logan I1.4 MT (75 л.с.)  | #34ba2b | 160 000 |  2005  |  160 000 км  |  1.4 MT (75 л.с.)седан, бензин, передний  | Белгород | 05.01.15
1006215771-389e | http://is8.auto.ru/all/images/54/03/60x45/54037b7c.jpg |  Renault Logan I Рестайлинг1.4 MT (75 л.с.)  | #FF0000 | 290 000 |  2009  |  62 000 км  |  1.4 MT (75 л.с.)седан, бензин, передний  | Тула | 05.01.15
1004711373-4927 | http://is10.auto.ru/all/images/2b/3a/60x45/2b3a0ba5.jpg |  Renault Logan I Рестайлинг1.6 MT (84 л.с.)  | #0000FF | 225 000 |  2010  |  4 000 км  |  1.6 MT (84 л.с.)седан, бензин, передний  | Москва | 05.01.15
1004299017-677fa3 | http://is11.auto.ru/all/images/18/bb/60x45/18bb49d5.jpg |  Renault Logan I1.4 MT (75 л.с.)  | #000000 | 195 000 |  2008  |  100 000 км  |  1.4 MT (75 л.с.)седан, бензин, передний  | Великий Новгород | 05.01.15
1006259211-d4b5c | http://is16.auto.ru/all/images/a3/75/60x45/a375196a.jpg |  Renault Logan I1.6 MT (90 л.с.)  | #9c9999 | 260 000 |  2006  |  43 000 км  |  1.6 MT (90 л.с.)седан, бензин, передний  | Кирсанов | 05.01.15
1006259535-815f2 | http://is5.auto.ru/all/images/2f/92/60x45/2f92e957.jpg |  Renault Logan I1.6 MT (90 л.с.)  | #FF0000 | 285 000 |  2008  |  67 000 км  |  1.6 MT (90 л.с.)седан, бензин, передний  | Сосновый Бор | 05.01.15
1006259155-e91f8 | http://is17.auto.ru/all/images/55/3c/60x45/553c3f9e.jpg |  Renault Logan I1.6 MT (90 л.с.)  | #000000 | 250 000 |  2007  |  108 000 км  |  1.6 MT (90 л.с.)седан, бензин, передний  | Великий Новгород | 05.01.15
1006261055-2381 | http://is7.auto.ru/all/images/70/6f/60x45/706fc9ed.jpg |  Renault Logan I1.6 MT (90 л.с.)  | #CACECB | 250 000 |  2008  |  65 000 км  |  1.6 MT (90 л.с.)седан, бензин, передний  | Москва | 05.01.15
1004170743-eaf3 | http://is8.auto.ru/all/images/72/7b/60x45/727b8699.jpg |  Renault Logan I1.6 MT (90 л.с.)  | #000000 | 305 000 |  2009  |  100 000 км  |  1.6 MT (90 л.с.)седан, бензин, передний  | Москва | 05.01.15
1006261909-c5f17 | http://is17.auto.ru/all/images/00/42/60x45/0042daca.jpg |  Renault Logan I Рестайлинг1.4 MT (75 л.с.)  | #ffefd5 | 255 000 |  2011  |  138 000 км  |  1.4 MT (75 л.с.)седан, бензин, передний  | Ростов-на-Дону | 05.01.15
1006261939-f3f0f7 | /i/all7/img/no-photo-thumb.gif |  Renault Logan I Рестайлинг1.6 MT (84 л.с.)  | #9c9999 | 310 000 |  2009  |  55 555 км  |  1.6 MT (84 л.с.)седан, бензин, передний  | Североморск | 05.01.15
1006262419-714ce | http://is18.auto.ru/all/images/a8/1a/60x45/a81a7288.jpg |  Renault Logan I1.4 MT (75 л.с.)  | #CACECB | 300 000 |  2009  |  74 000 км  |  1.4 MT (75 л.с.)седан, бензин, передний  | Тверь | 05.01.15
1001752263-c4e796 | http://is12.auto.ru/all/images/f8/95/60x45/f895bebb.jpg |  Renault Logan I1.4 MT (75 л.с.)  | #9c9999 | 255 000 |  2008  |  95 000 км  |  1.4 MT (75 л.с.)седан, бензин, передний  | Липецк | 05.01.15
1006263189-3b9c | http://is7.auto.ru/all/images/b4/cc/60x45/b4cc95cd.jpg |  Renault Logan I1.6 MT (90 л.с.)  | #0000FF | 260 000 |  2008  |  119 000 км  |  1.6 MT (90 л.с.)седан, бензин, передний  | Санкт-Петербург | 05.01.15
1006263127-46db | http://is16.auto.ru/all/images/8f/b6/60x45/8fb6066e.jpg |  Renault Logan I1.4 MT (75 л.с.)  | #9c9999 | 230 000 |  2007  |  86 105 км  |  1.4 MT (75 л.с.)седан, бензин, передний  | Саратов | 05.01.15
1006265761-6c77 | http://is3.auto.ru/all/images/4f/19/60x45/4f19d0ad.jpg |  Renault Logan I Рестайлинг1.6 MT (84 л.с.)  | #CACECB | 370 000 |  2011  |  70 000 км  |  1.6 MT (84 л.с.)седан, бензин, передний  | Липки | 05.01.15
1006266985-b532 | http://is3.auto.ru/all/images/c8/da/60x45/c8da687f.jpg |  Renault Logan I1.4 MT (75 л.с.)  | #9c9999 | 185 000 |  2008  |  88 000 км  |  1.4 MT (75 л.с.)седан, бензин, передний  | Рязань | 05.01.15
1006267103-a00990 | http://is3.auto.ru/all/images/55/b1/60x45/55b16bee.jpg |  Renault Logan I1.6 MT (90 л.с.)  | #ffefd5 | 286 000 |  2009  |  73 000 км  |  1.6 MT (90 л.с.)седан, бензин, передний  | Пенза | 05.01.15
1006267963-d523 | http://is14.auto.ru/all/images/e0/45/60x45/e04587d4.jpg |  Renault Logan I Рестайлинг1.4 MT (75 л.с.)  | #FFFFFF | 320 000 |  2012  |  38 000 км  |  1.4 MT (75 л.с.)седан, бензин, передний  | Санкт-Петербург | 05.01.15
48468008-95805f | http://is18.auto.ru/all/images/10/94/60x45/1094a3e3.jpg |  Renault Logan I Рестайлинг1.4 MT (75 л.с.)  | #ffefd5 | 240 000 |  2010  |  184 700 км  |  1.4 MT (75 л.с.)седан, бензин, передний  | Белгород | 06.01.15
1006265369-da61 | http://is18.auto.ru/all/images/a3/f8/60x45/a3f84f1a.jpg |  Renault Logan I Рестайлинг1.6 MT (84 л.с.)  | #0000FF | 355 000 |  2010  |  54 000 км  |  1.6 MT (84 л.с.)седан, бензин, передний  | Кострома | 06.01.15
1006306503-ebb5 | http://is2.auto.ru/all/images/84/22/60x45/8422ef74.jpg |  Renault Logan I1.6 MT (90 л.с.)  | #0000FF | 240 000 |  2007  |  108 000 км  |  1.6 MT (90 л.с.)седан, бензин, передний  | Ставрополь | 06.01.15
1006306109-c4cc3 | http://is9.auto.ru/all/images/4c/f3/60x45/4cf3380f.jpg |  Renault Logan I1.4 MT (75 л.с.)  | #0000FF | 230 000 |  2006  |  114 000 км  |  1.4 MT (75 л.с.)седан, бензин, передний  | Магнитогорск | 06.01.15
1006308979-21c9c | http://is12.auto.ru/all/images/2b/78/60x45/2b78771d.jpg |  Renault Logan I Рестайлинг1.6 MT (102 л.с.)  | #0000FF | 490 000 |  2010  |  83 000 км  |  1.6 MT (102 л.с.)седан, бензин, передний  | Астрахань | 06.01.15
1001838497-4ad6a | http://is8.auto.ru/all/images/53/e8/60x45/53e83b22.jpg |  Renault Logan I1.6 MT (90 л.с.)  | #000000 | 300 000 |  2009  |  93 000 км  |  1.6 MT (90 л.с.)седан, бензин, передний  | Белгород | 06.01.15
